Protein ID,H53_EL_RM_vs_H53_LL_RM,H53_EL_RM_vs_H53_LL_RM_PEP,2174_EL_RM_vs_2174_LL_RM,2174_EL_RM_vs_2174_LL_RM_PEP,2176_EL_RM_vs_2176_LL_RM,2176_EL_RM_vs_2176_LL_RM_PEP,H53_EL_RM_vs_2174_EL_RM,H53_EL_RM_vs_2174_EL_RM_PEP,2176_LL_RM_vs_H53_LL_RM,2176_LL_RM_vs_H53_LL_RM_PEP,H53_EL_RM_vs_H53_EL_CM,H53_EL_RM_vs_H53_EL_CM_PEP,2176_EL_RM_vs_2176_EL_CM,2176_EL_RM_vs_2176_EL_CM_PEP,H53_EL_RM_vs_2176_EL_RM,H53_EL_RM_vs_2176_EL_RM_PEP,H53_EL_CM_vs_2176_EL_CM,H53_EL_CM_vs_2176_EL_CM_PEP,H53_LL_RM_vs_H53_EL_CM,H53_LL_RM_vs_H53_EL_CM_PEP
HVO_B0043 [D4GP45] (iucB) probable N4-hydroxy-1-aminopropane O-acetyltransferase,0.367956831,0.418303772,0.244928753,0.450904536,-0.611255894,0.42055859,-0.146916682,0.840691615,0.566887594,0.895568276,-0.011162791,0.808994476,-0.794852717,0.88131601,0.481303989,0.919616474,-0.496348134,0.9611599,-0.322745678,0.482957928
"HVO_B0042 [D4GP44] (iucD) probable 1,3-diaminopropane N-3-monooxygenase",0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.917466417,1,0,1
HVO_B0041 [D4GP43] (iucC) siderophore biosynthesis protein IucC,1.22337213,1,-0.338880515,0.587455996,0.704700984,0.460981618,0.59668738,0.704592652,3.537976024,1,2.394932076,0.001299785,0.971222372,0.663941869,0.248674023,0.9349593,-1.557035634,0.008625803,0,1
HVO_B0040 [D4GP42] (xacR) IclR family transcription regulator XacR,0.571344013,0.000290921,0.406338188,0.014363445,0.545768151,0.000314563,0.124865184,0.918583983,-0.123354013,0.95928689,0.072646761,0.940763657,-0.016258187,0.976435406,0.119498544,0.961142951,0.027027342,0.989697341,-0.477850055,0.000315019
HVO_B0039 [D4GP41] (xacF) alpha-ketoglutarate semialdehyde dehydrogenase,2.097334382,0.179765886,0.760506756,0.287101467,2.149616286,0.322609506,0.808804632,0.811777121,-0.449856731,0.896982274,1.572844925,0.680217928,1.246692155,0.777014201,0.651313421,0.923013828,-0.229195885,0.96722783,-0.256144395,0.499287856
HVO_B0038A [D4GP40] (xacD) D-xylonate dehydratase / D-gluconate dehydratase,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
HVO_B0034 [D4GP35] (tsgA7) ABC-type transport system periplasmic substrate-binding protein (probable substrate sugar),0,1,0,1,0,1,0,1,0.078184402,0.936837223,0,1,0,1,0,1,0,1,0.755004423,1
HVO_B0032 [D4GP33] (xacB) L-arabinose 1-dehydrogenase (NAD(P)),1.324789217,0.254394917,1.602350511,0.109990922,1.423759761,0.22705772,-0.262745835,0.848226212,0.300364644,0.926477751,0.219529785,0.778223484,0.406614021,0.876628484,-0.240833499,0.926088522,-0.041652079,0.95550013,-1.081356296,0.306592021
HVO_B0031 [D4GP32] probable oxidoreductase (short-chain dehydrogenase family),0.84654001,0.000290921,0.967178101,0.000270027,0.75380697,0.000314563,-0.348258217,0.683378855,0.058683682,0.969350992,-0.394594904,0.614608902,-0.267882943,0.885031577,-0.008120745,0.969342727,0.108050102,0.97451729,-1.323161653,0.000315019
HVO_B0030 [D4GP31] (xacC) D-xylonolactonase / L-arabinonolactonase,0,1,1.243957306,0.289255888,1.182211493,0.402396757,0,1,0.79448104,0.876471061,0,1,0.301954084,0.858745564,0,1,0,1,0.905509815,1
HVO_B0029 [D4GP30] probable sugar dehydrogenase (NADP),0.339468897,0.049534234,0.486000184,0.000270027,0.05824533,0.82517258,-0.050017292,0.95456851,0.064179438,0.98504256,-0.024270036,0.947906118,-0.017756725,0.988458142,0.218601751,0.839688767,0.184315099,0.952230146,-0.3846256,0.023666211
HVO_B0026 [D4GP27] probable oxidoreductase (short-chain dehydrogenase family),1.195455628,0.000290921,0.716230901,0.000270027,0.976704854,0.000314563,0.347515335,0.36275382,0.233115372,0.854074175,0.458981726,0.11322641,0.485125706,0.071200599,-0.022793439,0.974845392,0.040614499,0.990552379,-0.687074893,0.000315019
HVO_B0025 [D4GP26] oxidoreductase (homolog to zinc-containing alcohol dehydrogenase),1.980699557,0.106382979,1.444886904,0.000270027,1.345018538,0.088568334,0.381042819,0.843178745,0.146556282,0.943437811,0.678816414,0.748850305,0.363858447,0.940398168,0.365437673,0.2338022,-0.10709982,0.968273155,-1.042350369,0.036314685
HVO_B0021 [D4GP22] (dppA10) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide),-0.035190316,0.390247585,0.13276373,0.477463808,0.768205352,0.34125872,0.081431755,0.815073924,-0.066013172,0.950402292,-0.542616795,0.723839221,0.545510219,0.888776119,-0.485229447,0.855248556,1.50669546,0.881632844,-0.719533929,0.485955056
HVO_B0020 [D4GP21] HTH-10 family transcription regulator,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
HVO_B0018 [D4GP19] (parA2) ParA domain protein,-0.314950966,0.08932017,-0.056587716,0.761591384,-0.228334976,0.261710062,-0.397378653,0.07998866,-0.00935396,0.981120524,-0.434331128,0.016708896,-0.316635147,0.536233981,-0.001666004,0.986725408,0.096676358,0.986028368,-0.080804927,0.711947658
HVO_B0017 [D4GP18] conserved hypothetical protein,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
HVO_B0016 [D4GP17] conserved hypothetical protein,-0.004958004,0.470417647,0.856085036,0.287409117,0.408258187,0.501260625,-0.481985838,0.82773576,0.0599562,0.93691657,0.791360816,0.719089868,1.421334796,0.794091149,-0.507992221,0.92109022,0.369228541,0.964361422,0.835729756,0.362910065
HVO_B0005 [D4GP06] (ilvA2) threonine ammonia-lyase,0,1,0,1,0,1,0,1,-0.312126552,0.926930574,0,1,0,1,0,1,0,1,4.116795466,1
HVO_B0002 [D4GP03] M20 family amidohydrolase (homolog to succinyl-diaminopimelate desuccinylase),0.974401734,0.000290921,1.076115514,0.258366614,0.476793643,0.448370566,-0.249043141,0.84667459,0.296773119,0.929942762,-0.282773183,0.801248249,0.033845503,0.867666033,-0.061656265,0.941103296,0.144611031,0.967858658,-1.12861421,0.349124763
HVO_B0001 [D4GP02] (orc6) Orc1-type DNA replication protein,-0.69467286,0.000290921,-0.470254086,0.005408843,-0.524778855,0.005665816,-0.017001977,0.963055626,-0.368035684,0.197024174,-0.14703001,0.874392826,-0.100835954,0.95632189,0.134281805,0.951002306,0.254008947,0.935452236,0.523953855,0.00063026
HVO_A0637 [D4GRU5] (tif1A2) translation initiation factor aIF-1A,-3.420806297,0.000290921,-2.50740864,0.000270027,-2.902351214,0.000314563,-0.355535784,0.727541411,-0.509246967,0.923139575,-0.488192213,0.352422945,-0.423638695,0.862637711,-0.265648201,0.915862327,-0.269579506,0.970353825,3.171012395,0.000315019
HVO_A0636 [D4GRU4] (ybaK) YbaK domain protein,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
HVO_A0635 [D4GRU3] (sufS2) probable cysteine desulfurase,0.793546982,0.000290921,1.215436538,0.000270027,0.577893774,0.000314563,-0.549574678,0.001899474,0.127912602,0.959856804,-0.698731024,0.001299785,-0.678610149,0.002611017,0.105035576,0.969579441,0.009720552,0.987302199,-1.441639833,0.000315019
HVO_A0633 [D4GRU1] (pilA6) pilin PilA,1.169754608,0.184365221,0.802855644,0.228192653,0.95136303,0.247767469,-0.073956081,0.889072904,0.298923429,0.911904813,0.794159752,0.642987205,0.836939236,0.818651642,-0.104617568,0.937902739,-0.070005798,0.961948881,-0.401002435,0.464996353
HVO_A0631 [D4GRT9] conserved hypothetical protein,-1.037174193,0.000290921,-0.966314428,0.000270027,-0.759602403,0.000314668,-0.21118844,0.870318181,-0.047446604,0.972741013,-0.180368228,0.737663992,-0.101451981,0.942975657,-0.217686324,0.930352941,-0.107211479,0.981888329,0.858309104,0.000315019
HVO_A0630 [D4GRT8] glyoxalase domain protein,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
HVO_A0629 [D4GRT7] sensor box histidine kinase,-0.092027964,0.493410607,0.369804038,0.430197281,0.363932158,0.444723426,-1.28298809,0.777249913,-0.244948414,0.92237866,-0.163340916,0.814104505,-0.184530725,0.896572967,-0.330130239,0.917098891,0.12985759,0.965356593,-0.203163465,0.589472792
HVO_A0628 [-] spurious ORF,-0.027018826,0.452853598,0.245729703,0.44233662,-0.566198436,0.411307791,0.11670544,0.863835802,0.108085865,0.92547239,0.134129249,0.797613503,-0.137062805,0.887850097,0.386064321,0.925630379,0.160558803,0.96214366,0.199357499,0.485955056
HVO_A0627 [D4GRT5] conserved hypothetical protein,0.069991247,0.623009187,-0.140586956,0.60569835,0.438773111,0.069193866,0.078724728,0.930072359,-0.165537787,0.946070835,-0.041062858,0.887682345,0.090714084,0.939552695,-0.12838451,0.962707759,-0.083762405,0.982397232,-0.160028766,0.607687086
HVO_A0625 [D4GRT3] conserved hypothetical protein,-0.092831441,0.452523008,-0.440747198,0.391574981,-0.562109582,0.409987057,0.06887415,0.851627557,0.044778379,0.937783833,0.287288469,0.777298862,0.17577986,0.898662316,0.260421395,0.915445979,0.37351218,0.959010697,0.287145621,0.523337337
HVO_A0624 [D4GRT2] (cadA) P-type transport ATPase (probable substrate zinc/cadmium),-0.451472174,0.201897521,-0.212182317,0.481473487,-0.308668416,0.341913814,-0.147277557,0.911956991,-0.209921051,0.929681586,-0.021728153,0.900808181,-0.004121521,0.955962921,-0.042739761,0.970978903,0.125889603,0.982661502,0.302160589,0.435472065
HVO_A0623 [D4GRT1] HiPIP domain protein,4.189176013,0.006116548,5.220655959,0.000270027,5.924237936,0.000314563,-0.660659535,0.841048969,-0.118815004,0.943219963,-0.410452217,0.73792891,1.524323074,0.798718004,-1.386296633,0.913652817,0.484974053,0.961309049,-4.526639805,0.295175902
HVO_A0622 [D4GRT0] conserved hypothetical protein,0.751409352,0.392848353,1.076552761,0.246852959,1.094754248,0.345845426,-0.276375284,0.843707377,-0.433202032,0.892140349,-0.567057887,0.768361924,0.343626192,0.891901208,-0.04790074,0.933150998,0.851916337,0.95033733,-1.436370992,0.349780718
HVO_A0619 [D4GRS7] conserved hypothetical protein,1.050984105,0.000290921,1.201865983,0.000270027,1.475407557,0.000314563,-0.176488055,0.878017399,-0.326147585,0.794967543,0.122627518,0.894632401,0.333315805,0.772065274,-0.154522387,0.944731552,0.086412988,0.987257744,-0.709848301,0.00063026
HVO_A0618 [D4GRS6] flavin-dependent pyridine nucleotide oxidoreductase (homolog to coenzyme A disulfide reductase),2.405574782,0.000290921,2.243478253,0.000270027,2.136535806,0.000314563,0.044687147,0.962894587,0.354127816,0.004205146,0.309145136,0.381314517,-0.00365527,0.972450161,0.020382426,0.980218749,-0.352983496,0.571791301,-2.063907026,0.000315019
HVO_A0617 [D4GRS5] DMT superfamily transport protein,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
HVO_A0616 [D4GRS4] TetR family transcription regulator,0.104485696,0.469421207,0,1,0,1,9.077577198,1,0,1,-0.400790141,0.768122936,0,1,3.594379947,1,3.194902993,1,-0.434487825,0.399446525
HVO_A0611 [D4GRS0] (znuA2) ABC-type transport system periplasmic substrate-binding protein (probable substrate zinc),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
HVO_A0610 [D4GRR9] (znuC2) ABC-type transport system ATP-binding protein (probable substrate zinc),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
HVO_A0606 [D4GRR5] major facilitator superfamily transport protein,-0.060575106,0.489735422,0,1,-0.691342959,0.422542194,1.652526675,1,2.096894257,1,1.68984219,1,-0.11086894,0.901672053,0.388862153,0.924891683,0,1,4.603187669,1
HVO_A0605 [D4GRR4] F420-dependent NADP oxidoreductase family protein,0,1,0,1,0,1,0,1,0.040134299,0.951314217,0,1,0,1,0,1,0,1,-0.748239868,1
HVO_A0601 [D4GRR1] (nosL2) NosL family protein,-0.643420524,0.390247585,0.312623526,0.453877614,0.359246727,0.48959042,-0.608329322,0.831903878,-0.35330099,0.916846045,-0.220915355,0.786635409,5.380841225,1,-0.55768449,0.90595734,1.820826548,1,0.466902769,0.454037685
HVO_A0591 [D4GRQ1] DICT domain protein,0.304067315,0.372740964,0.483652855,0.231191948,0.058282137,0.574640883,-0.105620037,0.86695302,-0.094184741,0.94055278,0.411319583,0.767883749,0.110744439,0.905419234,0.180770107,0.931126502,-0.169920008,0.96253031,0.188711594,0.507631012
HVO_A0590 [D4GRQ0] conserved hypothetical protein,-3.033847699,0.000290921,0,1,-2.013569907,0.000314563,0.192245544,1,-1.084824512,0.004205146,-1.702756233,1,-1.942582615,0.002611017,0.206549382,0.9093885,0,1,0.610666872,1
HVO_A0589 [D4GRP9] HxlR family transcription regulator,4.59151217,1,0,1,0,1,4.295767654,1,0,1,2.19073902,1,0,1,3.751961863,1,0,1,0,1
HVO_A0587 [D4GRP7] receiver/sensor box protein,-0.856907217,0.017797276,-0.476925293,0.372660443,-0.471135973,0.158492919,-0.420250519,0.675659596,-0.286361421,0.911034807,-0.941221082,0.709369647,-0.124504255,0.920140515,-0.065325118,0.960317199,0.665425675,0.957456879,-0.065984118,0.659496256
HVO_A0586 [D4GRP6] (graD3) sugar nucleotidyltransferase,0.81068721,0.000290921,0.889477419,0.000270027,0.468767814,0.003147205,-0.275253087,0.31850631,0.128074952,0.96036535,-0.150233916,0.793274544,-0.191801513,0.878352133,0.076558576,0.980985764,0.03501876,0.990434826,-0.989371288,0.000315019
HVO_A0583 [D4GRP3] IclR family transcription regulator,0.719975575,0.000290921,0.583691442,0.000810454,0.81389388,0.000314563,0.170725395,0.857918097,-0.172866477,0.921706992,0.335117184,0.207001094,0.125547013,0.9387858,0.095336,0.9663716,-0.126660604,0.982661502,-0.386373938,0.028407225
HVO_A0582 [D4GRP2] PrpD family protein,1.831179507,0.114494578,0.488616055,0.410319711,1.339216904,0.242585325,-0.122321825,0.860501587,0.509312396,0.65567025,-0.397171422,0.803153027,0.098407796,0.892158207,-0.143531252,0.936007189,0.333072085,0.963620793,-1.972529841,0.260691504
HVO_A0581 [D4GRP1] PrpD family protein,0.553471961,0.392523155,1.377966265,0.290179835,0.456942732,0.435115606,-0.14454141,0.849594418,0.528371342,0.20264696,-0.002915842,0.76596308,3.026733452,1,0.005550181,0.934224916,-0.318040621,0.964039176,-0.8631705,0.307897664
HVO_A0580 [D4GRP0] (livF5) ABC-type transport system ATP-binding protein (probable substrate branched-chain amino acids),-0.256080951,0.398381174,-0.040677204,0.457516464,-0.150072475,0.485925883,-0.175841916,0.832652031,0.384556729,0.824119786,-0.256035216,0.772865333,1.298956992,0.822032562,-0.341672206,0.908599989,1.125588542,0.930780401,-0.104261948,0.530364015
HVO_A0579 [D4GRN9] (livG5) ABC-type transport system ATP-binding protein (probable substrate branched-chain amino acids),-0.154959175,0.450870507,0,1,0.324321284,0.489257217,2.065497385,1,0.700355527,0.20264696,2.422679901,1,2.633470043,1,-0.477442359,0.92470591,0,1,0.221183393,1
HVO_A0578 [D4GRN8] (livM5) ABC-type transport system permease protein (probable substrate branched-chain amino acids),0,1,0,1,0,1,0,1,0.773564475,0.860611464,0,1,0,1,0,1,0,1,1.90724173,1
HVO_A0577 [D4GRN7] (livH5) ABC-type transport system permease protein (probable substrate branched-chain amino acids),0,1,0,1,0,1,0,1,0.243464976,0.911144034,0,1,0,1,0,1,0,1,1.953795732,1
HVO_A0576 [D4GRN6] (livJ5) ABC-type transport system periplasmic substrate-binding protein (probable substrate branched-chain amino acids),0,1,0,1,0,1,0,1,0.718285286,0.036720686,0,1,0,1,0,1,0,1,0.508859359,1
HVO_A0575 [D4GRN5] homolog to succinate dehydrogenase flavoprotein,-0.472895562,0.469753324,-0.270700424,0.46680433,-0.548951596,0.464967876,-1.079691933,0.214576953,0.711861625,0.004205146,-0.542717531,0.718526337,0.142991741,0.889039477,-0.973576648,0.457280895,-0.345406882,0.950977292,-0.196253857,0.610726409
HVO_A0571 [D4GRN2] isochorismatase family protein,0,1,0,1,0,1,0,1,0.697763667,0.008380614,0,1,0,1,0,1,0.231553873,0.960405574,-2.868626405,0.476966702
HVO_A0570 [D4GRN1] probable metal-dependent hydrolase,2.655112084,0.088722989,2.44295523,0.207308951,1.597293743,0.122979701,0.361146756,0.840691615,0.858600798,0.004205146,0.145727286,0.790417095,-0.193456746,0.886649652,0.185021673,0.926271023,-0.140469018,0.960201972,-2.15721053,0.351748876
HVO_A0569 [D4GRN0] family 3 CoA transferase,2.12692436,0.162342938,0,1,0.875556547,0.356010417,2.059733958,0.725094506,0.939945899,0.004205146,0.545960395,0.738722278,0.752759987,0.840006761,-0.331783198,0.937118986,0.541805864,0.960405574,-2.28723582,0.117704341
HVO_A0568 [D4GRM9] hydroxymethylglutaryl-CoA lyase,0,1,0,1,0,1,0,1,0.7517763,0.783641532,0,1,0,1,0,1,0,1,-1.908119116,1
HVO_A0567 [D4GRM8] (leuC2) 3-isopropylmalate dehydratase large subunit,0,1,0,1,0,1,0,1,1.324684876,0.004205146,0,1,0,1,0,1,0,1,0.50437776,1
HVO_A0564 [D4GRM5] glyoxalase domain protein,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
HVO_A0562 [D4GRM3] (hutU) urocanate hydratase,-0.017070541,0.937124236,-0.246014441,0.013004277,-0.216554871,0.057780534,0.081562962,0.945667436,0.074106066,0.985078845,-0.304949041,0.001299785,-0.394226041,0.002611017,0.064533133,0.987762057,-0.004424938,0.997689662,-0.307474429,0.000315019
HVO_A0561 [D4GRM2] (hutG) formimidoylglutamase,0.078162454,0.657084725,-0.043056126,0.789495398,0.055149709,0.792686702,0.049186314,0.931100293,0.182647085,0.900118988,-0.354302346,0.220804344,-0.257992181,0.807615977,-0.168045065,0.954750329,-0.021597734,0.989453405,-0.424638382,0.002836531
HVO_A0560 [D4GRM1] (hutI) imidazolonepropionase,-0.086256558,0.775582902,-0.21341465,0.142341431,-0.377754474,0.003461991,0.043876622,0.969865075,0.223373669,0.868999193,-0.313901462,0.218983301,-0.432167388,0.071200599,0.118339804,0.965107707,0.034286479,0.991227106,-0.234210696,0.205022393
HVO_A0559 [D4GRM0] (hutH) histidine ammonia-lyase,-0.036649565,0.877094072,-0.177692687,0.213255916,-0.074148284,0.765133048,0.021833643,0.986394529,0.154439177,0.91265899,-0.419383819,0.001299785,-0.331359825,0.095946429,-0.088557334,0.977357232,0.018949263,0.993665246,-0.349416167,0.002836531
HVO_A0555 [D4GRL6] DUF162 family protein,0.826036231,0.034510997,1.467842488,0.000270027,1.019680493,0.037844206,-0.746705032,0.700554954,-0.017445363,0.957014018,-0.766916693,0.736069608,-0.423067536,0.886783586,-0.216199715,0.93069773,-0.160053898,0.967565641,-1.369964372,0.058811273
HVO_A0554 [D4GRL5] major facilitator superfamily transport protein,-0.905603889,0.294361068,-1.32158115,0.256241271,-0.796312178,0.353386043,0.390681479,0.823279398,0.250229179,0.928980815,0.67464756,0.670877813,0.574305036,0.861513443,0.056174282,0.947772126,-0.043205896,0.968723624,1.275597042,0.204054552
HVO_A0553 [D4GRL4] (cbiP) adenosylcobyrate synthase,0.627932027,0.000873127,0.468832656,0.026087978,0.74244832,0.000314668,0.122460892,0.911254335,0.00053187,0.975418703,0.262648759,0.748594846,0.091621217,0.941403635,-0.042256642,0.965768392,-0.289464771,0.956350004,-0.40517217,0.081684419
HVO_A0551 [D4GRL3] (acs9) acyl-CoA synthetase,1.61193159,0.000290921,1.542239928,0.000270027,1.661185433,0.000314563,0.248646496,0.679730902,-0.210480608,0.790665404,1.138017563,0.001299785,0.924011446,0.002611017,0.133487102,0.959872126,-0.1013953,0.985224381,-0.459950949,0.000315019
HVO_A0550 [D4GRL2] receiver/sensor box histidine kinase,1.129434415,0.000290921,0.976713741,0.000270027,1.172554382,0.000314563,0.147039859,0.915991332,0.015226262,0.989284254,0.38616438,0.284273672,0.157552818,0.925109618,0.013141782,0.98151576,-0.212812141,0.94030145,-0.759988968,0.000315019
HVO_A0549 [D4GRL1] (nosL1) NosL family protein,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
HVO_A0548 [D4GRL0] DoxX domain protein,-2.077514544,0.304502055,-0.913377417,0.362783658,-0.787957662,0.42816488,-0.582715529,0.802204493,-0.840740331,0.905742278,-0.243566443,0.778223484,0.505046213,0.876628484,-0.681679994,0.893858842,-0.290029165,0.960910055,2.022653934,0.388897994
HVO_A0547 [D4GRK9] DUF1028 family protein,0.784294025,0.000290921,0.779886162,0.000270027,0.670178809,0.001573456,0.139919336,0.41617955,0.256167094,0.868662204,0.187630236,0.360853076,0.023215176,0.951997634,-0.053351452,0.941696754,-0.256519797,0.963574021,-0.581292284,0.000315019
HVO_A0546 [D4GRK8] probable oxidoreductase (short-chain dehydrogenase family),-0.174446754,0.54491206,0.112622655,0.565883058,-0.135050444,0.543403728,-0.155353353,0.882162501,0.003636644,0.950794628,-0.293644962,0.822473192,0.026737675,0.915261217,-0.241597967,0.936882182,0.483746557,0.953985288,-0.128298059,0.56356455
HVO_A0545 [D4GRK7] TetR family transcription regulator,-0.804010111,0.339902052,0.111529544,0.522966496,0.560294373,0.234494509,-0.663616935,0.746827958,-0.551149868,0.768900282,-0.600055058,0.712547333,0.200095128,0.908492624,-0.906280666,0.789931674,-0.323336695,0.919711489,0.154088563,0.557518896
HVO_A0541 [D4GRK3] ABC-type transport system periplasmic substrate-binding protein,4.858461043,1,0,1,0,1,2.836639775,1,0,1,2.286695269,1,0,1,2.196481764,1,0,1,0,1
HVO_A0539 [D4GRK1] CopG domain protein,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
HVO_A0538 [D4GRK0] (mntH2) NRAMP family transport protein (probable substrate divalent metal cation),-0.186699248,0.580332553,-0.374033544,0.227892943,-0.084514185,0.704816876,0.192541122,0.848226212,-0.068229767,0.970598387,0.418408716,0.252603808,0.056865111,0.946999365,-0.008131971,0.976241784,-0.301098018,0.960506986,0.613512559,0.017033147
HVO_A0537 [D4GRJ9] (hyuA1) N-methylhydantoinase (ATP-hydrolyzing) A,0.400254004,0.000290921,0.108307802,0.612044967,0.26008459,0.030261773,0.258575718,0.144198903,0.092445394,0.974805327,0.438957354,0.001299785,0.01869694,0.985487101,0.06367944,0.986759208,-0.332136954,0.255843177,0.026761631,0.894130493
HVO_A0536 [D4GRJ8] (hyuB1) N-methylhydantoinase (ATP-hydrolyzing) B,0.328407981,0.013704513,-0.021312787,0.885310287,0.098592081,0.729099201,0.394839737,0.001899474,0.064119107,0.984860744,0.542489443,0.001299785,-0.022398649,0.984402373,0.201874551,0.723307594,-0.392391724,0.136114454,0.10757723,0.717756531
HVO_A0535 [D4GRJ7] peptidase M24 family protein,2.109760637,0.000290921,2.034072957,0.000270027,2.213073968,0.000314563,-0.067048056,0.933436366,0.034388336,0.988613563,0.189484164,0.765480911,-0.147062823,0.93706101,-0.094946647,0.964954163,-0.428792819,0.420063271,-1.841223989,0.000315019
HVO_A0534 [D4GRJ6] EthD domain protein,2.260977253,0.275738531,2.613661648,0.111127975,2.416311127,0.081257999,3.825644238,1,-0.303045901,0.900978669,6.571818392,1,2.617220417,1,0.323901237,0.930266496,0,1,-2.813588558,0.275314582
HVO_A0533 [D4GRJ5] HD family hydrolase,0,1,0,1,0,1,0,1,-0.370037995,0.915091563,0,1,0,1,0,1,0,1,4.255025769,1
HVO_A0530 [D4GRJ2] GalE family epimerase/dehydratase,1.554081671,0.000290921,1.466280004,0.000270027,1.66379362,0.000314563,-0.432175493,0.03151159,0.032139888,0.980963564,-0.159268567,0.872797159,-0.549215367,0.007800098,-0.079689898,0.972746454,-0.428345069,0.585481353,-1.709996331,0.000315019
HVO_A0529 [D4GRJ1] (ilvB2) acetolactate synthase large subunit,1.466679617,0.000290921,1.160505701,0.000270027,1.519857764,0.000314563,0.082601525,0.942310676,-0.0524687,0.986685003,0.354405088,0.001299785,-0.196680432,0.818224058,-0.015878583,0.988743769,-0.576369636,0.008625803,-1.109941191,0.000315019
HVO_A0528 [D4GRJ0] EthD domain protein,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
HVO_A0527 [D4GRI9] IclR family transcription regulator,0.08368515,0.770181219,-0.0041198,0.672086362,0.213950313,0.618156029,-0.063708567,0.948761971,0.006710753,0.968422199,0.17317083,0.871351764,0.110885414,0.951922641,-0.104208494,0.934388751,-0.165828121,0.971985134,0.079335572,0.766080803
HVO_A0525 [D4GRI7] (fadA5) enoyl-CoA hydratase,1.16589447,0.000290921,1.071226843,0.000270027,1.103223006,0.000314563,-0.21410117,0.621458751,-0.124097322,0.959172287,0.075359977,0.937810281,-0.484632026,0.012941436,0.178795002,0.896747277,-0.37174458,0.250865748,-1.061780974,0.000315019
HVO_A0524 [D4GRI6] (hbd4) 3-hydroxyacyl-CoA dehydrogenase,1.250508096,0.000290921,1.191351903,0.000270027,1.383421682,0.000314563,-0.183338815,0.793984049,-0.050414795,0.98727851,0.002040758,0.969012048,-0.573052611,0.002611017,-0.031593925,0.988190021,-0.543884067,0.008625803,-1.304937792,0.000315019
HVO_A0523 [D4GRI5] UPF0219 family protein,1.553207434,0.000290921,1.66442183,0.000270027,1.450688848,0.000314563,-0.346695308,0.003794265,0.160791334,0.898375395,-0.134098153,0.811254973,-0.294496122,0.23512073,-0.06180674,0.990178144,-0.284406026,0.423138921,-1.691203906,0.000315019
HVO_A0522 [D4GRI4] (acaB4) acetyl-CoA C-acyltransferase,1.570945302,0.000290921,1.664181755,0.000270027,1.702686093,0.000314563,-0.286408388,0.213286247,-0.107453145,0.957073317,-0.114234267,0.909692197,-0.410538552,0.040408607,-0.010684137,0.992501877,-0.151911428,0.977153112,-1.659493058,0.000315019
HVO_A0521 [D4GRI3] (paaK) phenylacetyl-coenzyme A ligase,2.001441263,0.000290921,1.954514009,0.000270027,2.153168331,0.000314563,-0.048141375,0.965997786,-0.168624238,0.91265899,0.138041676,0.827714959,-0.296005372,0.641146432,-0.023300768,0.991263276,-0.481629303,0.080290244,-1.851659613,0.000315019
HVO_A0520 [D4GRI2] PaaI family protein,1.438440738,0.000290921,1.204892415,0.000270027,1.556567694,0.000314563,-0.056074478,0.96755941,0.086309885,0.966008364,0.05107671,0.950156508,-0.160731955,0.924133374,-0.145762921,0.937746673,-0.325371297,0.951545482,-1.382223547,0.000315019
HVO_A0519 [D4GRI1] (maoC2) MaoC domain protein,0.585350821,0.02922423,0.746138527,0.000270027,0.956979315,0.000314563,-0.183949809,0.835615446,-0.097931434,0.964078789,0.166213509,0.816522824,-0.306124293,0.655938333,-0.166099451,0.888226813,-0.655906826,0.072823521,-0.532412079,0.003782247
HVO_A0517 [D4GRH9] luciferase-type oxidoreductase,1.273269954,0.000290921,1.001205264,0.000270027,1.174874902,0.000314563,0.024714122,0.968178531,0.138447457,0.931321063,0.314326709,0.24569381,-0.166250389,0.927608086,-0.06774179,0.98010268,-0.607655257,0.008625803,-1.011643469,0.000315019
HVO_A0513 [D4GRH5] PaaI family protein,2.599630218,0.000290921,2.321502548,0.000270027,2.640313174,0.000314563,-0.262019627,0.857102958,0.086094018,0.972695283,0.233131495,0.824426944,0.203669292,0.911049405,-0.405677621,0.916173215,-0.316948867,0.962385768,-2.049150266,0.000315019
