"Protein.ID","H53_EL_RM_vs_H53_LL_RM_PEP","X2174_EL_RM_vs_2174_LL_RM_PEP","X2176_EL_RM_vs_2176_LL_RM_PEP","H53_EL_RM_vs_2174_EL_RM_PEP","X2176_LL_RM_vs_H53_LL_RM_PEP","H53_EL_RM_vs_H53_EL_CM_PEP","X2176_EL_RM_vs_2176_EL_CM_PEP","H53_EL_RM_vs_2176_EL_RM_PEP","H53_EL_CM_vs_2176_EL_CM_PEP","H53_LL_RM_vs_H53_EL_CM_PEP"
"301","HVO_A0499 [D4GRG2] conserved hypothetical protein",0.318492847,0.28556384,0.28705939,0.918807289,0.923234191,0.884049859,0.884351403,0.962814171,0.960910055,0.425872977
"302","HVO_A0498 [D4GRG1] conserved hypothetical protein",0.406206572,0.018718581,0.712675633,0.972500717,0.979327129,0.932872024,0.189991693,0.941326435,0.992305453,0.156119392
"303","HVO_A0496 [D4GRF9] UspA domain protein",0.000290921,0.000270027,0.000314563,0.874211612,0.984089891,0.511798615,0.835846693,0.92599711,0.830454043,0.000315019
"304","HVO_A0488 [D4GRF1] (cobA) cob(I)alamin adenosyltransferase",0.544573112,0.591303566,0.556825329,0.882726187,0.952405163,0.799116039,0.93424079,0.915758436,0.974756741,0.387580312
"305","HVO_A0487 [D4GRF0] (cbiA) cobyrinate a,c-diamide synthase",0.000290921,0.194871519,0.005036093,0.880887132,0.968863995,0.484476476,0.847469011,0.923013828,0.839564824,0.000315019
"306","HVO_A0486 [D4GRE9] (hypE1) HypE family protein",1,1,1,1,1,1,1,1,1,1
"307","HVO_A0485 [D4GRE8] pyridoxal phosphate-dependent aminotransferase",0.476734712,0.445298917,0.458989177,1,0.929244341,0.750124322,0.866581401,1,0.951982409,0.354045614
"308","HVO_A0477 [D4GRE2] (pstS2) ABC-type transport system periplasmic substrate-binding protein (probable substrate phosphate)",0.362728934,0.353265395,0.481264165,0.921241431,0.924918642,0.835103146,0.817150192,0.963185109,0.963197766,0.183754579
"309","HVO_A0476 [D4GRE1] conserved hypothetical protein",0.000290921,0.000270027,0.000314563,0.916332096,0.975505775,0.475872336,0.816502488,0.97824869,0.986237241,0.005673991
"310","HVO_A0472 [D4GRD7] (trxB6) oxidoreductase (homolog to thioredoxin-disulfide reductase)",0.177621581,0.000270027,0.000314563,0.842825481,0.943654993,0.859968915,0.93207513,0.702142773,0.901529147,0.001575735
"311","HVO_A0471 [D4GRD6] alpha/beta hydrolase fold protein",1,1,1,1,1,1,1,1,1,1
"312","HVO_A0470 [D4GRD5] glyoxalase domain protein",0.011076016,0.507026204,0.26268365,0.887850459,0.534163794,0.829820425,0.899754329,0.961524444,0.974722642,0.267837523
"313","HVO_A0469 [D4GRD4] pirin domain protein",0.485730309,0.595858558,0.48959042,0.901686376,0.909491151,0.8469581,0.892029773,0.951578642,0.969047691,0.548793505
"314","HVO_A0466 [D4GRD1] conserved hypothetical protein",1,1,1,1,1,1,1,1,1,1
"315","HVO_A0465 [D4GRD0] TetR family transcription regulator",0.301647004,0.032385611,0.002832432,0.870771993,0.955087139,0.807130668,0.907703387,0.784675383,0.977342249,0.423888256
"316","HVO_A0464 [D4GRC9] conserved hypothetical protein",0.589240579,0.556893246,0.62120008,0.864150053,0.953666165,0.829247911,0.941902688,0.951833154,0.953146844,0.625261867
"317","HVO_A0459 [D4GRC4] conserved hypothetical protein",0.29657696,0.05028347,0.348139697,0.754282709,0.932591249,0.539308925,0.903560127,0.705395204,0.96798351,0.507631012
"318","HVO_A0458 [D4GRC3] ParA domain protein",0.794367976,0.388036866,0.682304652,0.922116595,0.98405289,0.81632214,0.921754788,0.978409127,0.980730748,0.385933485
"319","HVO_A0452 [D4GRB7] UspA domain protein",0.000290921,0.171955754,0.002832432,0.013176828,0.945439381,0.616139535,0.88651558,0.960868959,0.977373661,0.042012526
"320","HVO_A0451 [D4GRB6] DASS family transport protein",0.625779302,0.862188208,0.622891678,0.018736763,0.969592971,0.001299785,0.915895817,0.974154855,0.947132606,0.001260565
"321","HVO_A0443 [D4GRA9] conserved hypothetical protein",1,0.414541809,1,1,0.919262408,1,1,1,1,1
"322","HVO_A0441 [D4GRA7] (rad25a) DNA repair helicase Rad25",0.457153982,0.422030359,0.436440188,0.845980728,0.903866624,0.762814545,1,0.921768791,1,0.482624977
"323","HVO_A0440 [D4GRA6] DUF790 family protein",0.371770847,0.479801965,0.472280786,0.879171235,0.926749754,0.836221074,0.893816106,0.939139128,0.97008081,0.38527484
"324","HVO_A0439 [D4GRA5] DUF2800 family protein",0.000290921,0.000270027,0.000314563,0.756176609,0.96827419,0.856908795,0.933343785,0.946819503,0.979555231,0.000315019
"325","HVO_A0432 [D4GR98] conserved hypothetical protein",1,1,1,1,1,1,1,1,1,1
"326","HVO_A0430 [D4GR95] DUF1611 family protein",0.253456221,0.000270117,0.502261659,0.849764721,0.803776725,0.720213893,0.891127079,0.947569133,0.973963299,0.18922771
"327","HVO_A0429_A [D4GR94] homolog to dipeptide epimerase",0.145916184,0.000270027,0.647626361,0.123108366,0.921320696,0.560661457,0.942316708,0.961578745,0.963197766,0.000315019
"328","HVO_A0429 [D4GR93] homolog to D-aminoacylase",1,1,1,1,1,1,1,1,1,1
"329","HVO_A0428 [D4GR92] (dppA9) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",0.000290921,0.000270027,0.000314563,0.900557631,0.888028193,0.878335141,0.95632189,0.965362712,0.984172505,0.000315019
"330","HVO_A0426 [D4GR89] (dppD9) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.33221845,0.428888664,0.297480852,0.835615446,0.924825978,0.825398344,0.909164962,0.932061239,0.965844402,0.455033369
"331","HVO_A0425 [D4GR88] (dppF9) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.541523973,0.256241271,0.462974518,0.848226212,0.911688125,0.81471116,0.870265399,0.942285194,0.96253031,0.447402646
"332","HVO_A0424 [D4GR87] (boa6) HTH-10 family transcription regulator",0.31499004,0.326195135,0.000314563,0.871525676,0.977007576,0.818122817,0.914195733,0.948041823,0.970002411,0.110360757
"333","HVO_A0419 [D4GR83] HTH domain protein",0.48206278,0.103464303,0.583730757,0.953878349,0.964920782,0.836963636,0.949568733,0.980218749,0.982582477,0.66629086
"334","HVO_A0417 [D4GR81] conserved hypothetical protein",1,1,1,1,1,1,1,1,1,1
"335","HVO_A0406 [D4GR72] conserved hypothetical protein<|>HVO_A0432 [D4GR98] conserved hypothetical protein",0.664776947,0.358019634,0.316728682,0.940886953,0.81629334,0.580490572,0.968712244,0.978288846,0.988154281,0.762645012
"336","HVO_A0406 [D4GR72] conserved hypothetical protein",0.588211644,0.564844064,0.598564221,0.916785231,0.950598745,0.868597256,0.91192586,0.964800211,0.97981726,0.62221761
"337","HVO_A0401 [D4GR67] Fido domain protein",0.461459416,0.386430406,0.539046163,0.91802423,0.962249989,0.910506859,0.902028305,0.970609165,0.975464677,0.583746328
"338","HVO_A0394 [D4GR60] HTH domain protein",0.583413693,0.712573185,0.63508086,0.916785231,0.968076263,0.274473006,0.85907399,0.326368417,0.980448284,0.644566203
"339","HVO_A0388 [D4GR56] Lrp/AsnC family transcription regulator",0.155032678,0.102048045,0.376376489,0.943063905,0.9472482,0.525543538,0.952520967,0.972433398,0.904393248,0.706142529
"340","HVO_A0386 [D4GR54] (hyuB3) N-methylhydantoinase (ATP-hydrolyzing) B",0.432084533,0.134568305,1,0.835247551,0.884755252,0.781892014,1,1,1,0.519324578
"341","HVO_A0385 [D4GR53] (hyuA3) N-methylhydantoinase (ATP-hydrolyzing) A",0.363696631,0.000810454,0.007870218,0.807153642,0.004205146,0.677987218,0.902028305,0.784340552,0.972280219,0.097604045
"342","HVO_A0384 [D4GR52] (dppF8) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.000290921,0.000270117,0.000314563,0.855790909,0.976965236,0.814104505,0.893435439,0.961197599,0.973998199,0.000315019
"343","HVO_A0383 [D4GR51] (dppD8) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.448888488,0.000270027,0.000314563,0.874359589,0.979851508,0.793493127,0.884214942,0.929745736,0.977654953,0.023982198
"344","HVO_A0382 [D4GR50] (dppC8) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",0.115096187,0.000270027,0.39580192,0.809268385,0.927739198,0.740827813,0.849058594,0.922823553,0.924612236,0.00819696
"345","HVO_A0381 [D4GR49] (dppB8) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",0.112389761,0.01681212,0.075858761,0.843531334,0.931150111,0.78143605,0.894448005,0.932984382,0.959894603,0.185042066
"346","HVO_A0380 [D4GR48] (dppA8) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",0.000290921,0.000270027,0.000314563,0.783292792,0.975287838,0.867453698,0.918605874,0.982337346,0.983053379,0.000315019
"347","HVO_A0379 [D4GR47] (hyuA2) N-methylhydantoinase (ATP-hydrolyzing) A",0.000290921,0.000270027,0.000314563,0.061426567,0.822143919,0.961352874,0.892670648,0.986351996,0.9959171,0.000315019
"348","HVO_A0378 [D4GR46] (hyuB2) N-methylhydantoinase (ATP-hydrolyzing) B",0.000290921,0.000270027,0.000314563,0.580875811,0.905742278,0.989259567,0.93706101,0.873448387,0.993267294,0.000315019
"349","HVO_A0377 [D4GR45] (hyuE) hydantoin racemase",0.000290921,0.000270027,0.000314563,0.896992926,0.971352807,0.827330294,0.912904086,0.970469871,0.974858827,0.000315019
"350","HVO_A0376 [D4GR44] (pepQ2) probable Xaa-Pro dipeptidase",1,1,1,0.816904638,1,0.744995261,0.857755758,0.919019337,0.95612505,1
"351","HVO_A0372 [D4GR41] beta-lactamase domain protein",1,1,1,1,1,1,1,1,1,1
"352","HVO_A0362 [D4GR31] PQQ repeat protein",1,1,1,1,0.894526532,1,1,1,1,0.343223362
"353","HVO_A0351 [D4GR25] hypothetical protein",0.083651086,1,1,1,0.912120962,0.159447991,1,1,0.951419846,0.541417139
"354","HVO_A0350 [D4GR24] conserved hypothetical protein",0.378567122,0.007305176,0.258141189,0.823671003,0.92547239,1,0.721448675,0.922057847,0.976546552,0.33143239
"355","HVO_A0348A [A0A1C9J6T8] hypothetical protein",1,1,1,1,1,1,1,1,1,1
"356","HVO_A0346 [D4GR21] XerC/D-like integrase",0.583071219,0.579430719,0.548434403,0.834139543,0.882413755,0.828099052,0.921654573,0.936246876,0.971349439,0.646939778
"357","HVO_A0342 [D4GR19] IclR family transcription regulator",0.242834918,0.516849154,0.731154306,0.944650647,0.957545751,0.919660595,0.936450528,0.97661626,0.987257744,0.793269579
"358","HVO_A0339 [D4GR16] (dppA7) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",0.240028693,0.275747542,0.238377145,0.82773576,0.954842214,0.504243707,0.833529517,0.922249968,0.968149308,0.546445818
"359","HVO_A0335 [D4GR12] DUF1028 family protein",0.544234195,0.407401174,0.561191809,0.867877341,0.902554268,0.849086604,0.906223654,0.949374083,0.975464677,0.323907517
"360","HVO_A0332 [D4GR09] IclR family transcription regulator",0.484729711,0.423661473,0.324243783,0.870469586,0.925195993,0.818322134,0.872965251,0.932229939,0.963339296,0.498620741
"361","HVO_A0331 [D4GR08] (dgoD1) D-galactonate dehydratase",0.794730132,0.064430965,0.619847038,0.974641518,0.866100988,0.849615887,0.866736866,0.980180089,0.991585707,0.643549149
"362","HVO_A0330 [D4GR07] GFO family oxidoreductase",1,1,1,1,1,1,1,1,1,1
"363","HVO_A0329 [D4GR06] (kdgA3) 2-dehydro-3-deoxy-phosphogluconate aldolase, bacterial-type",0.610568946,0.498253623,0.593504524,0.887577548,0.942488962,0.837148938,0.917467144,0.949374083,0.956012118,0.564572557
"364","HVO_A0328 [D4GR05] (kdgK2) 2-keto-3-deoxygalactonate kinase",0.660579243,0.54828065,0.666308381,0.935436414,0.96978583,0.906678741,0.934952962,0.95636729,0.953388066,0.717756531
"365","HVO_A0326 [D4GR03] (bgaH) beta-D-galactosidase",0.001164218,0.000270027,0.00220292,0.821902543,0.966975626,0.362244186,0.79135564,0.934224916,0.969007344,0.000315019
"366","HVO_A0324 [D4GR01] conserved hypothetical protein",1,1,1,1,0.929156597,1,1,1,1,1
"367","HVO_A0323 [D4GR00] ABC-type transport system ATP-binding protein",0.410125589,0.406429137,0.457993129,0.84771047,0.945439381,0.785513302,0.865331421,0.922057847,0.95503975,0.507297135
"368","HVO_A0322 [D4GQZ9] ABC-type transport system permease protein",1,1,1,1,1,1,1,1,1,1
"369","HVO_A0316 [D4GQZ3] conserved hypothetical protein",0.453845546,0.207012017,0.307262488,0.816093074,0.924267745,0.781207791,0.878637265,0.926271023,0.956573752,0.451714857
"370","HVO_A0314 [D4GQZ1] hypothetical protein",1,0.371702786,0.470950706,1,0.87584185,1,0.838695264,1,0.952044474,0.311162618
"371","HVO_A0307 [D4GQY5] Lrp/AsnC family transcription regulator",0.00058206,0.086248372,0.003461991,0.918918814,0.937469637,0.697238535,0.876048989,0.964594306,0.97343533,0.143615927
"372","HVO_A0303 [D4GQY1] (pucH2) probable allantoinase",0.387973438,0.395763323,0.000314563,0.854800493,0.939946455,1,0.882842462,0.918518336,1,1
"373","HVO_A0302 [D4GQY0] (ansB) asparaginase/glutaminase family protein",0.267562665,1,0.266254419,1,0.928804638,0.753913872,0.882427906,0.912038029,0.963574021,0.374414277
"374","HVO_A0300 [D4GQX8] ABC-type transport system permease protein",1,1,1,1,1,1,1,1,1,1
"375","HVO_A0296 [D4GQX4] probable oxidoreductase (short-chain dehydrogenase family)",0.001455334,0.010017142,0.00724033,0.901060306,0.957780669,0.855880144,0.922652713,0.950355878,0.975564555,0.023034271
"376","HVO_A0295 [D4GQX2] (amaB2) amidase (hydantoinase/carbamoylase family)",0.382132166,0.422356491,0.480265552,0.840691615,0.885619467,1,0.866581401,0.920209221,1,1
"377","HVO_A0288 [D4GQW5] probable oxidoreductase (short-chain dehydrogenase family)",0.000290921,0.000270027,0.000314563,0.863835802,0.958131436,0.001299785,0.411214243,0.967412145,0.978026093,0.000315019
"378","HVO_A0287 [D4GQW4] homolog to mandelate racemase / homolog to muconate lactonizing enzyme",0.000290921,0.000270027,0.000944038,0.918918814,0.88344484,0.894923458,0.935041647,0.975569366,0.985794369,0.00063026
"379","HVO_A0286 [D4GQW3] DUF187 family protein",0.000290921,0.000270027,0.000314563,0.899293811,0.967528507,0.758645132,0.94073442,0.968095403,0.973328719,0.000315019
"380","HVO_A0283 [D4GQW0] (tsgA5) ABC-type transport system periplasmic substrate-binding protein (probable substrate sugar)",0.000290921,0.000270027,0.00251767,0.806728028,0.95478084,0.133620798,0.061910416,0.933896146,0.985152286,0.000315019
"381","HVO_A0281 [D4GQV8] (tsgD5) ABC-type transport system ATP-binding protein (probable substrate sugar)",1,1,1,1,0.935797962,1,1,1,1,0.45669309
"382","HVO_A0280 [D4GQV7] IclR family transcription regulator",0.715516637,0.68296374,0.633048149,0.933234771,0.955270232,0.886477904,0.94444281,0.967998298,0.979261392,0.80292576
"383","HVO_A0279_A [D4GQV6] (tfs3) transcription elongation factor TFS",0.309901132,0.335287995,0.321629089,0.768242939,0.012522589,0.742136353,0.877061475,0.9267254,0.964223653,0.129850801
"384","HVO_A0278 [D4GQV4] (sfsA) SfsA family DNA-binding protein",1,1,1,1,1,1,1,1,0.953207276,1
"385","HVO_A0276 [D4GQV3] FGGY family carbohydrate kinase",0.648362592,0.025267906,0.62120008,0.461827733,0.956358099,0.263649038,0.599345414,0.96751026,0.963853796,0.029039556
"386","HVO_A0275 [D4GQV2] conserved hypothetical protein",1,0.376495027,0.465964728,0.860821877,1,0.746800475,0.845502915,0.923108793,0.965222436,1
"387","HVO_A0274 [D4GQV1] (suhB2) probable inositol-1(or 4)-monophosphatase / fructose-1,6-bisphosphatase, archaeal-type",0.724750842,0.312467414,0.852219895,0.890688575,0.930548785,0.509797292,0.935836465,0.982040163,0.988261528,0.125373819
"388","HVO_A0273 [D4GQV0] ThuA family protein",0.000290921,0.026087978,0.000314563,0.052786566,0.959800044,0.001299785,0.002611017,0.954446274,0.973576948,0.645583373
"389","HVO_A0272 [D4GQU9] DUF336 family protein",0.000290921,0.000270027,0.000314563,0.001899474,0.878182097,0.001299785,0.002611017,0.916996552,0.96214366,0.000315019
"390","HVO_A0271 [D4GQU8] (glpC2) glycerol-3-phosphate dehydrogenase subunit C",0.546607265,0.506350245,0.531676793,0.821507365,0.913936749,0.42407409,0.037966746,0.923676197,0.96851957,0.318022965
"391","HVO_A0270 [D4GQU7] (glpB2) glycerol-3-phosphate dehydrogenase subunit B",0.569056785,0.439378042,0.230290311,0.001899474,0.88690194,0.001299785,0.028090469,0.983616788,0.97727933,0.001890917
"392","HVO_A0269 [D4GQU6] (glpA2) glycerol-3-phosphate dehydrogenase subunit A",0.555094922,0.53730126,0.584404459,0.715054797,0.938018607,0.001299785,0.015494725,0.962011379,0.947614182,0.000315019
"393","HVO_A0268 [D4GQU5] class II aldolase (homolog to L-fuculose-phosphate aldolase)",0.000290921,0.004325979,0.000314563,0.536679954,0.977134399,0.744218255,0.845502915,0.68971937,0.987168609,0.000315019
"394","HVO_A0267 [D4GQU4] (dgoD2) D-galactonate dehydratase<|>HVO_A0331 [D4GR08] (dgoD1) D-galactonate dehydratase",0.408492152,0.364373845,0.498925328,0.687690975,0.922091477,0.766684829,0.865644964,0.905840603,0.959584852,0.488286854
"395","HVO_A0267 [D4GQU4] (dgoD2) D-galactonate dehydratase",0.538477338,0.617346446,0.633048149,0.918136351,0.966110923,0.459266565,0.913444018,0.969342727,0.97168746,0.614442537
"396","HVO_A0266 [D4GQU3] IclR family transcription regulator",0.000290921,0.000270027,0.000314668,0.950548965,0.818101264,0.889626103,0.966429695,0.984190679,0.992414282,0.000315019
"397","HVO_A0257 [D4GQT6] (orc7) Orc1-type DNA replication protein",0.680911565,0.652985935,0.683326682,0.936721135,0.943219963,0.826559243,0.943385339,0.953339433,0.981942322,0.552819549
"398","HVO_A0256 [D4GQT5] conserved hypothetical protein",1,0.379054936,0.417584038,0.849253331,0.936995832,0.798043643,0.881176363,0.926634738,0.954044557,1
"399","HVO_A0254 [D4GQT3] DUF234 domain protein",0.142882605,0.000270027,0.232230453,0.915421645,0.92464033,0.889923675,0.881734069,0.954263136,0.975630969,0.067699228
"400","HVO_A0253 [D4GQT2] HTH domain protein",1,1,1,1,1,1,1,1,1,1
"401","HVO_A0251 [D4GQT0] HTH domain protein",0.363374036,0.505336664,0.478268671,0.838532961,0.9195596,0.765722096,0.896820604,0.939215693,0.968231921,0.542087466
"402","HVO_A0245 [D4GQS4] HTH domain protein",0.421252415,0.367557496,0.340603676,0.880744816,0.944588504,0.830201395,0.918914469,0.927177114,0.973858378,0.311815754
"403","HVO_A0242 [D4GQS1] conserved hypothetical protein",0.284879877,0.443652737,0.115001678,0.895049526,0.895826941,0.871190618,0.864544486,0.96500539,0.972096092,0.370797053
"404","HVO_A0230 [D4GQQ9] (msrA1) peptide methionine sulfoxide reductase MsrA (S-form specific)",0.523955676,0.498590434,0.575313882,0.90093479,0.928451092,0.762814545,0.912034957,0.960150681,0.968601332,0.559869497
"405","HVO_A0229 [D4GQQ8] CBS domain protein",0.042161748,0.028002697,0.098113045,0.827160293,0.938641044,0.656875273,0.887184559,0.927894377,0.95380699,0.168962092
"406","HVO_A0228 [D4GQQ7] (surE2) 5'-nucleotidase SurE",0.454506995,0.064152673,0.236112059,0.8674158,0.96208598,0.91009991,0.936187798,0.971483265,0.974654335,0.575668147
"407","HVO_A0225 [D4GQQ4] FemAB family protein",1,1,1,1,1,1,1,1,1,1
"408","HVO_A0211 [D4GQP0] (cas1) CRISPR-associated endonuclease Cas1",1,1,0.300414171,1,0.928184885,1,1,1,1,1
"409","HVO_A0209 [D4GQN8] (cas3) CRISPR-associated nuclease/helicase Cas3",0.425187649,0.419097208,0.440415152,0.823475299,0.930029626,0.768600715,0.860704916,0.90238611,0.968025032,0.520661963
"410","HVO_A0208 [D4GQN7] (cas5) CRISPR-associated protein Cas5, Hmari subtype",0.000290921,0.000270027,0.000314563,0.907811294,0.965544665,0.047701199,0.073498316,0.947365521,0.98849591,0.222138588
"411","HVO_A0207 [D4GQN6] (cas7) CRISPR-associated protein Cas7",0.000290921,0.000270027,0.000314563,0.934139661,0.984163813,0.001299785,0.010376587,0.939292175,0.994965608,0.000315019
"412","HVO_A0206 [D4GQN5] (cas8b) CRISPR-associated protein Cas8b",0.000290921,0.000270027,0.000314563,0.963377081,0.982167825,0.001299785,0.002611017,0.756470666,0.993179873,0.020506975
"413","HVO_A0205 [D4GQN4] (cas6) CRISPR-associated endoribonuclease Cas6",0.039217147,0.000270027,0.000314563,0.958383008,0.520768823,0.665942871,0.79678477,0.955534074,0.990237654,0.5945286
"414","HVO_A0189 [D4GQL8] conserved hypothetical protein",0.010492179,0.498253623,0.536365669,0.327720723,0.939027409,0.031768008,0.883804704,0.115348633,0.964177618,0.523671815
"415","HVO_A0181 [D4GQL0] conserved hypothetical protein",0.215490898,0.067773259,0.085707016,0.839255293,0.946488656,0.79085863,0.861674599,0.906538701,0.957945454,0.087093822
"416","HVO_A0180 [D4GQK9] (sph1) Smc-like protein Sph1",0.643835062,0.128254859,0.551118619,0.790556793,0.975375116,0.908327605,0.93706101,0.976864426,0.985055863,0.58913584
"417","HVO_A0179 [D4GQK8] conserved hypothetical protein",0.529689993,0.44266558,0.35437009,0.915193156,0.839790158,0.644753824,0.840379421,0.957072712,0.969726622,0.376058959
"418","HVO_A0178 [D4GQK7] (atpD2) A-type ATP synthase subunit D",1,1,1,1,0.933260173,1,1,1,0.958321468,0.472642216
"419","HVO_A0167 [D4GQJ6] small CPxCG-related zinc finger protein",1,1,1,1,1,1,1,1,1,1
"420","HVO_A0165 [D4GQJ4] SNF family transport protein",1,0.124532684,0.290314736,1,0.898501023,1,0.480421316,1,0.954044557,0.3092035
"421","HVO_A0164 [D4GQJ3] conserved hypothetical protein",1,1,1,1,0.91715192,1,1,1,1,1
"422","HVO_A0163 [D4GQJ2] (prr) proline racemase",1,1,1,1,0.875999507,1,1,1,1,1
"423","HVO_A0162 [D4GQJ1] MATE efflux family protein",1,1,1,0.850444338,1,0.785063193,0.870869972,0.924519694,0.960859896,1
"424","HVO_A0160 [D4GQI9] sensor box histidine kinase",0.410779168,0.442994587,0.351418288,0.863520983,0.9472482,0.81471116,0.910498279,0.937040138,0.963433359,0.38527484
"425","HVO_A0159 [D4GQI8] (aspC4) pyridoxal phosphate-dependent aminotransferase",0.180685274,0.013004277,0.433791227,0.885515991,0.935636786,0.914667761,0.902383518,0.974716597,0.958534788,0.256471589
"426","HVO_A0158 [D4GQI7] (acs8) acyl-CoA synthetase",0.221686984,0.058039272,0.300740158,0.833768759,0.946419193,0.812072245,0.895076744,0.939139128,0.966369322,0.062936692
"427","HVO_A0157 [D4GQI6] (boa4) integrase family protein / bat box HTH-10 family transcription regulator",0.535095123,0.504661182,0.321955882,0.871525676,0.943437811,0.837888792,0.928648189,0.944448236,0.969047691,0.533042303
"428","HVO_A0156 [D4GQI5] (acs7) acyl-CoA synthetase",0.000290921,0.000270027,0.000314563,0.899926999,0.966519405,0.166483312,0.277686195,0.975229907,0.984983322,0.000315019
"429","HVO_A0155 [D4GQI4] DUF4212 family protein",1,1,1,1,0.905858222,1,1,1,1,0.336998384
"430","HVO_A0154 [D4GQI3] SSSF family transport protein",1,1,1,1,0.904926463,1,1,1,1,1
"431","HVO_A0153 [D4GQI2] UspA domain protein",0.505799555,0.467469145,0.243880566,0.879314905,0.960869802,0.829820425,0.897560572,0.937902739,0.962722195,0.544434007
"432","HVO_A0150 [D4GQH9] (trmB1) TrmB family transcription regulator",0.405553812,0.335916415,0.619847038,0.894919114,0.960758053,0.944481933,0.97557213,0.96297343,0.989595989,0.249659085
"433","HVO_A0145 [D4GQH4] (tsgD4) ABC-type transport system ATP-binding protein (probable substrate sugar)",0.370154563,0.345363326,0.446712585,0.789170116,0.625161563,0.760614632,0.897314405,0.811170377,0.959324887,0.422565356
"434","HVO_A0140 [D4GQG9] HD family hydrolase",1,1,1,1,1,1,1,1,1,1
"435","HVO_A0135 [D4GQG4] HTH domain protein",0.398055481,0.447935196,0.548098934,0.856448143,0.914042378,0.780979347,0.896572967,0.940203563,0.964085379,0.569278094
"436","HVO_A0133 [D4GQG3] conserved hypothetical protein",0.000290921,0.000270027,0.000314563,0.001899474,0.004205146,0.001299785,0.002611017,0.955593959,0.990336437,0.305286572
"437","HVO_A0131_A [A0A1C9J6T7] conserved hypothetical protein",0.457816027,0.38225879,1,0.850444338,0.92237866,0.698141874,1,1,0.955385504,0.408686816
"438","HVO_A0130 [D4GQG1] conserved hypothetical protein",1,1,1,1,1,1,1,1,1,1
"439","HVO_A0129 [D4GQG0] conserved hypothetical protein",0.293728208,0.456854438,0.429819308,0.350427706,0.92015081,0.400941879,0.784196698,0.349504087,0.960809672,0.520327598
"440","HVO_A0127 [D4GQF8] (trpS2) tryptophan--tRNA ligase",1,1,1,1,1,1,1,1,1,1
"441","HVO_A0126 [D4GQF7] XerC/D-like integrase",0.459802881,0.40416262,0.552461038,0.837626104,0.926204815,0.81632214,0.889956997,0.931722688,0.96722783,0.534046868
"442","HVO_A0123 [D4GQF5] conserved hypothetical protein<|>HVO_A0411 [D4GR75] conserved hypothetical protein",1,1,1,1,1,1,1,1,1,1
"443","HVO_A0121 [D4GQF3] HTH-10 family transcription regulator_NumberOfIdenticalSequences_2",0.070261054,0.196053059,0.529333303,0.815073924,0.939411749,0.755416192,0.887184559,0.937824749,0.971612633,0.469317119
"444","HVO_A0120 [D4GQF2] conserved hypothetical protein_NumberOfIdenticalSequences_2",0.414375954,1,1,1,0.911034807,0.772630068,1,1,1,0.468319832
"445","HVO_A0119 [D4GQF1] cyclase family protein<|>HVO_A0415 [D4GR79] cyclase family protein",0.24408284,0.607459644,0.367501471,0.911956991,0.95303866,0.882211857,0.944523696,0.952402158,0.98001949,0.185042066
"446","HVO_A0118 [D4GQF0] PadR family transcription regulator_NumberOfIdenticalSequences_2",1,1,1,1,1,1,1,1,1,1
"447","HVO_A0115 [D4GQE7] conserved hypothetical protein<|>HVO_A0417 [D4GR81] conserved hypothetical protein",0.456161137,0.321506003,0.442734725,0.841583713,0.920835259,0.787976004,1,0.919913393,0.954865808,0.479296144
"448","HVO_A0115 [D4GQE7] conserved hypothetical protein",1,1,1,1,1,1,1,1,1,1
"449","HVO_A0114 [D4GQE6] HTH domain protein_NumberOfIdenticalSequences_2",0.437018863,0.000270027,0.249063496,0.791017001,0.94009851,0.780750717,0.880335374,0.920601972,0.956740778,0.399116693
"450","HVO_A0097A [L9UXM8] acyl-CoA synthetase",0.138639995,1,0.102570925,1,0.778319502,1,1,0.922728244,1,0.496619697
"451","HVO_A0097 [D4GQC9] (hbd2) 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase",0.002620046,0.000270027,0.000314563,0.866334046,0.889831384,0.794800992,0.910277103,0.923013828,0.963150473,0.00063026
"452","HVO_A0095 [D4GQC7] amidohydrolase domain protein",1,1,1,1,1,1,1,1,1,1
"453","HVO_A0093 [D4GQC5] IclR family transcription regulator",0.617820732,0.468466718,0.557496952,0.912073782,0.971305946,0.88004888,0.885437986,0.958402674,0.976026585,0.662553191
"454","HVO_A0092 [D4GQC4] (acd6) acyl-CoA dehydrogenase",0.010200297,0.108570436,0.000314563,0.929555569,0.968863995,0.558443906,0.037966746,0.945853151,0.98836833,0.247389425
"455","HVO_A0090 [D4GQC2] (gdoA) gentisate 1,2-dioxygenase",1,1,1,1,0.886048792,1,1,1,1,1
