Protein ID,H26_vs_DksgA,H26_vs_DksgA_PEP,H26_vs_DksgA_KsgA,H26_vs_DksgA_KsgA_PEP,H26_vs_DksgA_ksgA_E84A,H26_vs_DksgA_ksgA_E84A_PEP,Row_Number
HVO_2852 [D4GXD7] AstE domain protein,-0.034081195,0.900871675,-1.489977868,0.000244843,-1.818748484,0.000241787,557
HVO_2851 [D4GXD5] UPF0179 family protein,-0.040160853,0.847999728,0.543366538,0.068255407,0.552339352,0.0674606,558
HVO_2850 [D4GXD2] conserved hypothetical protein,-0.140461163,0.813105144,0.184131909,0.532611866,0.097166392,0.520449179,559
HVO_2836 [D4GXA3] sensor/bat box HTH-10 family transcription regulator,-0.11425758,0.700132608,-1.365210553,0.356604734,0.106459584,1,560
HVO_2835 [D4GXA1] histidine kinase,-0.291195561,0.704872558,4.255618169,1,2.225110623,1,561
HVO_2833 [D4GX97] ArsR family transcription regulator,0.824342679,0.591460507,-0.292429219,0.369450655,-0.417999164,0.382605251,562
HVO_2828 [D4GX87] conserved hypothetical protein,-0.067001037,0.716387962,-1.134157234,0.239182657,-1.243017996,0.222617981,563
HVO_2827 [D4GX82] UvrD/REP family helicase,0.26955191,0.67953374,-0.969428357,0.344173054,-0.462421039,0.340109518,564
HVO_2826 [D4GX78] conserved hypothetical protein,-0.125605961,0.734202977,-0.58900914,0.429078341,-1.072697067,0.380388441,565
HVO_2825 [D4GX76] conserved hypothetical protein,0.018006965,0.710390355,1.502228235,1,0.821333905,1,566
HVO_2815 [D4GX56] (hbd1) 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase,0.078062554,0.873416858,-1.640657323,0.000244843,-1.993627276,0.000241787,567
HVO_2814 [D4GX55] DNA N-glycosylase,-0.42166253,0.083994346,0.01469214,0.527744825,-0.279264663,0.413661912,568
HVO_2813 [D4GX49] RimK family protein,-0.141142488,0.831332508,-0.2541686,0.292123844,-0.359471559,0.046012217,569
HVO_2812 [D4GX45] AstE domain protein,0.182135669,0.800209384,-1.10254544,0.000244843,-1.016970408,0.000241787,570
HVO_2811 [D4GX42] (sdhC) succinate dehydrogenase subunit C,1.299717774,0.389982752,0.542127091,0.398343014,0.69816916,0.359333586,571
HVO_2809 [D4GX40] (sdhB) succinate dehydrogenase subunit B,0.077713374,0.876249547,-0.690655253,0.0098309,-0.821317363,0.006545986,572
HVO_2808 [D4GX38] (sdhA) succinate dehydrogenase subunit A,0.008896575,0.948332761,-0.247580909,0.202918069,-0.359662613,0.014835341,573
HVO_2806 [D4GX37] HTH domain protein,-0.979589531,0.513569731,-0.516352858,0.264540359,-0.600221424,0.277966789,574
HVO_2805A [D4GX35] small CPxCG-related zinc finger protein,-0.509983197,0.728162411,-0.659854478,0.398983985,0.991623758,1,575
HVO_2798 [D4GX20] (livJ3) ABC-type transport system periplasmic substrate-binding protein (probable substrate branched-chain amino acids),0.561224311,0.702368923,2.434157989,1,3.754116069,1,576
HVO_2797 [D4GX19] (udk) uridine kinase,-0.139656482,0.821779732,-0.051995448,0.648658935,-0.140797896,0.566494579,577
HVO_2796 [D4GX17] conserved hypothetical protein,-0.372153023,0.390955156,1.454989673,0.000244843,1.033981797,0.000241787,578
HVO_2793 [D4GX15] conserved hypothetical protein,-0.385520607,0.515554069,-0.326704717,0.266893578,-0.645160234,0.013613068,579
HVO_2792 [D4GX13] (udg2) uracil-DNA glycosylase superfamily protein,0.244914943,0.754127218,0.172351739,0.486947081,0.5102156,0.202293956,580
HVO_2791 [D4GX12] conserved hypothetical protein,-0.578131071,0.628558774,1.321911922,0.037984101,1.197735235,0.024161499,581
HVO_2790 [D4GX09] (apbC1) Fe-S cluster carrier protein ApbC,-0.105306639,0.850212587,0.816602213,0.000244843,0.535756092,0.001451867,582
"HVO_2789 [D4GX07] (moaA) GTP 3',8-cyclase",-0.065048705,0.824134753,0.074713888,0.646794651,-0.127767422,0.563288322,583
HVO_2787 [D4GX01] small CPxCG-related zinc finger protein,-0.176135196,0.708466272,0.167287724,0.464752055,0.032111779,0.442723309,584
HVO_2786 [D4GX00] (trxA5) thioredoxin,-0.120706803,0.795216487,2.276926511,0.000244843,2.529106009,0.000241787,585
HVO_2784 [D4GWZ7] (rps13) 30S ribosomal protein S13,-0.035230481,0.85875054,0.370141571,0.218800424,0.173312474,0.530528223,586
HVO_2783 [D4GWZ3] (rps4) 30S ribosomal protein S4,0.163334231,0.726573847,-0.370200002,0.018986827,-0.510410578,0.000725734,587
HVO_2782 [D4GWZ1] (rps11) 30S ribosomal protein S11,0.331011019,0.612166885,-0.431955353,0.069541608,-0.405110911,0.116399863,588
HVO_2781 [D4GWY4] (rpoD) DNA-directed RNA polymerase subunit D,0.358476753,0.120423919,-0.000203962,0.712503709,-0.007861111,0.722031248,589
HVO_2779 [D4GWY3] (rpl18e) 50S ribosomal protein L18e,0.246869073,0.207776481,-0.712784783,0.000244843,-0.711085183,0.000241787,590
HVO_2778 [D4GWY1] (rpl13) 50S ribosomal protein L13,0.202953101,0.553494535,-0.024512229,0.71482802,0.03419127,0.702932121,591
HVO_2777 [D4GWX7] (rps9) 30S ribosomal protein S9,0.224828242,0.494579831,-0.724423919,0.001225057,-0.70716975,0.000241867,592
HVO_2776 [D4GWX5] (rpoN) DNA-directed RNA polymerase subunit N,0.077068495,0.789473189,0.50298657,0.191396553,0.706479816,0.042012773,593
HVO_2775 [D4GWX4] (rpoK) DNA-directed RNA polymerase subunit K,-0.330754879,0.60882675,-1.177923859,0.284957623,-0.59116068,0.345665294,594
HVO_2774 [D4GWX0] (eno) enolase,-0.286470722,0.190450724,0.039752472,0.764365555,0.004057867,0.777416329,595
HVO_2773 [D4GWW8] (rps2) 30S ribosomal protein S2,-0.280316269,0.686783958,0.583454523,0.014525069,0.758448482,0.000241787,596
HVO_2772 [D4GWW6] rhodanese domain protein / beta-lactamase domain protein,0.182069179,0.719628088,-1.073555544,0.206024479,-0.380813539,0.385460215,597
HVO_2771 [D4GWW4] glyoxalase domain protein,-0.3770079,0.70625791,-0.516937439,0.422558283,-1.077631167,0.265613265,598
HVO_2770 [D4GWW1] DUF2342 family protein,-0.090009303,0.850613655,-0.190617164,0.534702143,-0.327653073,0.375649056,599
HVO_2769 [D4GWV8] conserved hypothetical protein,0.496734435,0.691368987,1.497387512,0.296920036,1.385612725,0.29909045,600
HVO_2767 [D4GWV5] (dna2) ATP-dependent DNA helicase Dna2,1.209582127,0.000825727,-0.66130162,0.070571408,-0.629994267,0.068732928,601
HVO_2766 [D4GWV3] (lhr1) ATP-dependent DNA helicase,0.676004597,0.645391538,-1.206081139,0.333376161,-1.29815474,0.237190702,602
HVO_2763 [D4GWU3] homolog to ribonuclease Z,-0.753634439,0.650985924,-1.113204481,0.206589979,-0.907440333,0.143284074,603
HVO_2762 [D4GWT7] isopentenyl phosphate kinase,0.044637475,0.793386744,0.585224289,0.038487526,0.65497127,0.000241787,604
HVO_2761 [D4GWT5] (mvk) mevalonate kinase,-0.131620552,0.824561545,0.368419684,0.049862502,0.578814716,0.000241867,605
HVO_2760 [D4GWT3] conserved hypothetical protein,1.142801295,0.634974959,4.192345549,0.090541701,3.96788996,0.001694,606
HVO_2759 [D4GWT1] peptidase M42 family protein,-0.226756387,0.317510216,0.489604618,0.000244843,0.254028529,0.253363777,607
HVO_2758 [P41200] (rpl11) 50S ribosomal protein L11,-0.130413011,0.817897848,1.006254392,0.000244843,1.147224844,0.000241787,608
HVO_2757 [P41199] (rpl1) 50S ribosomal protein L1,0.124871091,0.837583209,0.560187303,0.000244843,0.539555807,0.000241787,609
HVO_2756 [P41198] (rpl10) 50S ribosomal protein L10,-0.409784197,0.677191173,0.623855525,0.006628211,0.485071763,0.040266755,610
HVO_2753 [D4GWB3] small CPxCG-related zinc finger protein,-0.406087365,0.410099031,1.252391035,0.000244843,1.409112272,0.000241787,611
HVO_2752 [D4GWB1] (tef1b) translation elongation factor aEF-1 beta,-0.613927463,0.637202094,-0.344199508,0.439894866,0.018342338,0.43450434,612
HVO_2751 [D4GWA9] conserved hypothetical protein,-0.913731865,0.66830758,2.342510412,1,2.836039906,1,613
"HVO_2750 [D4GWA7] (metB1) cystathionine synthase/lyase (cystathionine gamma-synthase, cystathionine gamma-lyase, cystathionine beta-lyase)",-0.309945538,0.607484816,-0.061376411,0.609931422,0.096385094,0.574717551,614
HVO_2749 [D4GWA6] (rpl21e) 50S ribosomal protein L21e,-0.030110797,0.81419909,1.01809117,0.000244843,0.554334276,0.01044041,615
HVO_2748 [D4GWA3] (rpoF) DNA-directed RNA polymerase subunit F,-0.347853562,0.229643274,1.329500028,0.000244843,1.249551177,0.000241787,616
HVO_2747 [D4GWA2] putative tRNA-specific adenosine deaminase,-0.149161753,0.759842377,1.89742517,0.000244843,1.714881082,0.000241787,617
"HVO_2746 [D4GWA1] (ksgA) ribosome biogenesis protein KsgA, 16S rRNA-methylating",-4.057004482,0.349842197,-0.81535086,0.000244843,-0.715549755,0.004360392,618
HVO_2745 [D4GW98] (mscS5) mechanosensitive channel protein MscS,0.543223231,0.625645616,-0.448300231,0.387167845,-0.091932,0.417548339,619
HVO_2744 [D4GW96] (prmC) release factor glutamine methyltransferase PrmC,-0.337524753,0.700972429,-0.639523654,0.342935321,-0.955466451,0.168779904,620
HVO_2743 [D4GW95] (metE2) 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase (methionine synthase II),-0.090184084,0.876249547,0.425354689,0.102869988,0.912144244,0.000241787,621
HVO_2742 [D4GW90] (metE1) 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase (methionine synthase II),-0.17210088,0.775378831,0.613003485,0.033963195,1.029132396,0.000241787,622
HVO_2740 [D4GW84] (ndk) nucleoside-diphosphate kinase,-0.182100282,0.758358309,-0.256660771,0.377335478,-0.882330696,0.000241787,623
HVO_2739 [D4GW81] (rpl24e) 50S ribosomal protein L24e,-0.341152673,0.35909077,0.607302761,0.0140302,0.487830344,0.020717943,624
HVO_2738 [D4GW78] (rps28e) 30S ribosomal protein S28e,-0.168472212,0.816813278,0.94355638,0.003187405,0.984011418,0.000241787,625
HVO_2737 [D4GW76] (rpl8e) 50S ribosomal protein L8e,-0.629601551,0.702368923,1.289675191,0.000244843,1.172154482,0.007761765,626
HVO_2736 [D4GW73] (tmcA) tRNA(Met) cytidine acetyltransferase TmcA,0.566166563,0.001651191,-0.90245273,0.000244925,-0.792755949,0.003147729,627
HVO_2735 [D4GW70] conserved hypothetical protein,-0.68055983,0.660479652,0.161375687,0.405086176,0.141529934,0.374387728,628
HVO_2730 [D4GW61] (etfB2) electron transfer flavoprotein beta subunit,0,1,0,1,0,1,629
"HVO_2729 [D4GW59] (ferB2) ferredoxin (3Fe-4S)(4Fe-4S), zinc-containing",0.010783993,0.76888911,0.173334758,0.461415539,0.094363506,0.512156182,630
HVO_2727 [D4GW54] cyclase family protein,-0.039433582,0.785057941,0.834953602,0.051386132,0.776379475,0.100412655,631
HVO_2726 [D4GW53] (gltS) glutamate--tRNA(Glu/Gln) ligase,-0.036725677,0.942522611,-0.263342915,0.10947099,-0.201250789,0.318698641,632
HVO_2725 [D4GW51] (idsA1) bifunctional short chain isoprenyl diphosphate synthase,0.559327108,0.000825727,-0.371730096,0.065686499,0.161208348,0.581902283,633
HVO_2724 [D4GW49] (rnj) ribonuclease J,0.683734318,0.000825727,-1.289213001,0.000244843,-0.952189938,0.000241787,634
HVO_2723 [D4GW47] (lsm) RNA-binding protein Lsm,0.535267623,0.191748123,1.308304994,0.000244843,1.362062702,0.000241787,635
HVO_2722 [D4GW44] (rpl37e) 50S ribosomal protein L37e,0.031497764,0.815943646,-0.630729807,0.236583618,-0.820356115,0.195025382,636
HVO_2721 [D4GW43] (purF) amidophosphoribosyltransferase,0.565323736,0.1260985,-1.200267436,0.000244843,-1.098176207,0.000241787,637
HVO_2718 [D4GW38] cro/C1 family transcription regulator,0.118353029,0.820704959,0.940840576,0.000734904,0.943579469,0.000241787,638
HVO_2717 [D4GW34] (alaS2) alanine--tRNA ligase,0.022466429,0.895173415,-2.58211009,0.000244843,-3.003705418,0.000241787,639
HVO_2716 [D4GW32] (acd5) acyl-CoA dehydrogenase,-0.049215264,0.913564665,-1.743542618,0.000244843,-1.944850697,0.000241787,640
HVO_2715 [D4GW29] HAD superfamily hydrolase,-0.27761629,0.780598495,1.555093973,0.000244843,1.542746905,0.000241787,641
HVO_2714 [D4GW27] conserved hypothetical protein,0.024242551,0.785758006,1.740893995,0.000244843,1.552348824,0.000241787,642
HVO_2712 [D4GW23] (rtcB) tRNA-splicing ligase RtcB,-0.011030907,0.907531268,-0.675877025,0.000244843,-0.540468894,0.005088523,643
HVO_2711 [D4GW21] DoxX domain protein,1.767357021,0.549401885,1.726896942,0.215951853,1.852064067,0.204257244,644
HVO_2710 [D4GW19] homolog to archaease,0.04641554,0.782481586,1.079669312,0.004415285,0.844266745,0.027613969,645
HVO_2709 [D4GW16] GNAT family acetyltransferase,1.060717631,0.000825727,-0.947871361,0.357853364,-0.760792204,0.329671426,646
HVO_2708 [D4GW14] YfiH family protein,0.267908201,0.675132373,-1.540209449,0.000244843,-1.889596884,0.000241787,647
HVO_2707 [D4GW10] GFO family oxidoreductase,0.554673883,0.000825727,-2.160509025,0.000244843,-2.285066101,0.000241787,648
HVO_2706 [D4GW08] eIF-2B domain protein,0.00381138,0.905615288,0.064398126,0.662142081,-0.089981577,0.687885008,649
HVO_2704 [D4GW04] DUF1628 domain protein,0.410955562,0.654681896,0.195262631,0.395142043,0.153563437,0.364961255,650
HVO_2703 [D4GW03] (panB2) 3-methyl-2-oxobutanoate hydroxymethyltransferase,-0.547809675,0.050495225,1.231071254,0.000244843,1.090784311,0.000241787,651
HVO_2702 [D4GVT1] alpha/beta hydrolase fold protein,0.553492775,0.532728441,0.412767776,0.351620168,0.663702186,0.083065029,652
HVO_2700 [D4GVS7] (cdc48b) AAA-type ATPase (CDC48 subfamily),-0.68973217,0.000825727,0.940800811,0.000244843,0.955770898,0.000241787,653
HVO_2699 [D4GVS5] (bcp1) peroxiredoxin,-0.245327456,0.578503481,0.836556308,0.004415285,0.697548975,0.001209779,654
HVO_2698 [D4GVS3] (ginS) DNA replication factor GINS,-0.679560143,0.104602394,1.00643443,0.000244843,0.881286822,0.000241867,655
HVO_2697 [D4GVS1] (priS) DNA primase small subunit,-0.174978076,0.749856931,0.432743206,0.067998307,0.189077072,0.500139861,656
HVO_2695 [D4GVR7] (tsgA3) ABC-type transport system periplasmic substrate-binding protein (probable substrate sugar),0.702531296,0.000825727,-2.501885238,0.000244843,-3.259221052,0.000241787,657
HVO_2694 [D4GVR5] (tsgB3) ABC-type transport system permease protein (probable substrate sugar),0.721917708,0.680117666,0.483878859,1,1.158880731,1,658
HVO_2693 [D4GVR3] (tsgC3) ABC-type transport system permease protein (probable substrate sugar)<|>HVO_A0146 [D4GQH5] (tsgB4) ABC-type transport system permease protein (probable substrate sugar),0.968101651,0.525764378,-2.501370354,0.269545316,0.221056077,1,659
HVO_2693 [D4GVR3] (tsgC3) ABC-type transport system permease protein (probable substrate sugar),0.93253369,0.316967045,-1.963365134,0.28019875,-3.026008165,0.25307338,660
HVO_2692 [D4GVR2] (tsgD3) ABC-type transport system ATP-binding protein (probable substrate sugar)<|>HVO_A0145 [D4GQH4] (tsgD4) ABC-type transport system ATP-binding protein (probable substrate sugar),0.084894672,0.885732902,-1.908699171,0.000979959,-2.309852949,0.000241787,661
HVO_2692 [D4GVR2] (tsgD3) ABC-type transport system ATP-binding protein (probable substrate sugar),0.151869214,0.804476101,-2.543317877,0.000244843,-2.789783715,0.000241787,662
HVO_2690 [D4GVQ6] GFO family oxidoreductase,0.655714209,0.000825727,-1.313251594,0.000244843,-1.511225016,0.000241787,663
HVO_2689 [D4GVQ4] conserved hypothetical protein,0.182273507,0.745037198,0.091244755,0.568865962,-0.113890547,0.430901846,664
HVO_2688 [D4GVQ2] (trmB) TrmB family transcription regulator TrmB,0.096518639,0.837169375,-0.542869784,0.041511868,-0.728821629,0.006545986,665
HVO_2685 [D4GVP5] (mscS3) mechanosensitive channel protein MscS,0.768403989,0.652837248,2.603620344,1,3.646883302,1,666
HVO_2684 [D4GVP1] UspA domain protein,0.381129808,0.705149945,-1.019233241,0.070313888,-1.051295262,0.088737026,667
HVO_2683 [D4GVN9] 5'-nucleotidase family hydrolase,0.228551218,0.64695165,-1.550314492,0.000244843,-1.433360809,0.000241787,668
HVO_2682 [D4GVN8] dodecin,0.159823018,0.703483242,-0.29004596,0.399625216,-0.769873323,0.328753923,669
HVO_2681 [D4GVN6] HTH domain protein,0.826021018,0.517531643,-0.154360886,0.430712519,-0.222262664,0.159232447,670
HVO_2679 [D4GVN1] conserved hypothetical protein,-0.534324472,0.643199416,6.356764758,1,9.254746335,1,671
HVO_2677 [D4GV54] conserved hypothetical protein,0.03738743,0.839852017,0.3909217,0.316256023,0.339322235,0.372182938,672
HVO_2676 [D4GV53] HesB/IscA family iron-sulfur cluster assembly accessory protein,-0.184923805,0.709841398,0.804077575,0.363798005,0.523634532,0.418197038,673
HVO_2675 [D4GV52] (hisD) histidinol dehydrogenase,0.17106871,0.777521485,-0.386044157,0.041764191,-0.032016949,0.722031248,674
HVO_2671 [D4GV47] pyridoxal phosphate-dependent aminotransferase,-0.468670128,0.471127464,-1.081046283,0.000734904,-1.524005668,0.000241787,675
HVO_2670 [D4GV46] FAD-dependent oxidoreductase (GlcD/DLD_GlcF/GlpC domain fusion protein),0.164145988,0.738101169,0.215405468,0.422558283,1.07682671,1,676
HVO_2668 [D4GV42] (thiE) thiamine-phosphate synthase,-0.084811255,0.786456973,0.471360356,0.219656055,0.110297407,0.543129833,677
HVO_2667 [D4GV40] (thiM) hydroxyethylthiazole kinase,-0.434625725,0.680117666,-0.200577247,0.424511508,-0.05431682,0.440417576,678
HVO_2666 [D4GV38] (thiD) phosphomethylpyrimidine kinase / phosphomethylpyrimidine phosphate kinase,-0.184756219,0.69165414,-0.609332013,0.416388802,-0.522145713,0.409462738,679
HVO_2665 [D4GV36] HpcH/HpaI aldolase family protein,0.356874106,0.50797731,0.595090986,0.02072582,0.797737381,0.001451867,680
HVO_2664 [D4GV35] probable S-adenosylmethionine-dependent methyltransferase,0.737911679,0.637836669,2.461162684,1,2.750456355,1,681
HVO_2663 [D4GV33] probable oxidoreductase (aldo-keto reductase family protein),-0.151679001,0.799305799,0.801566259,0.000244843,0.529874311,0.00727532,682
HVO_2662 [D4GV31] glyoxalase domain protein,0.547433827,0.120423919,0.957553358,0.003924003,1.221440918,0.000241787,683
HVO_2661 [D4GV29] pyridoxal phosphate-dependent aminotransferase,-0.024647124,0.870182122,0.339311934,0.182187814,0.301371873,0.237477923,684
HVO_2660 [D4GV24] receiver/sensor box histidine kinase,0.390308308,0.714759652,-0.065299726,0.371969496,-0.582388584,0.37407256,685
HVO_2659 [D4GV27] probable tautomerase,0.052402088,0.719089588,-0.879274305,0.000244843,-1.115157122,0.367469219,686
HVO_2655 [D4GV15] (narB2) Rieske-type (2Fe-2S) iron-sulfur protein,-1.217001063,0.042684235,-1.808509243,0.000244843,-1.910929111,0.000241787,687
HVO_2654 [D4GV13] (narC2) homolog to respiratory nitrate reductase b-type cytochrome subunit,-0.067189247,0.72444746,1.982833462,1,3.910322294,1,688
HVO_2650 [D4GV06] FAD-dependent oxidoreductase (homolog to geranylgeranyl reductase),0.482393242,0.000825727,-1.176346408,0.000244843,-0.962637512,0.000241787,689
HVO_2648 [D4GV02] (serA2) probable D-2-hydroxyacid dehydrogenase,-0.100246776,0.856780762,0.011942699,0.603743646,-0.092591779,0.615002028,690
HVO_2646 [D4GUY2] (ilvD) dihydroxy-acid dehydratase,0.056232295,0.8969631,0.248230526,0.160373632,0.531016312,0.000241787,691
HVO_2645 [D4GUY1] (moaB) molybdopterin adenylyltransferase,0.331439108,0.723914374,-0.34169418,0.369136084,-0.012310366,0.501508521,692
HVO_2644 [D4GUX8] HTH domain protein,0,1,0,1,0,1,693
HVO_2643 [D4GUX6] (qor1) NADPH:quinone reductase,-0.435889229,0.117571018,-1.131281905,0.000244843,-1.127103256,0.000241787,694
HVO_2640 [D4GUX0] conserved hypothetical protein,0.570042356,0.091416123,-0.631031966,0.147547883,-0.761307137,0.012880243,695
HVO_2639 [D4GUW8] DUF1611 family protein,-0.100989279,0.804476101,0.224064743,0.497477503,0.479279879,0.168232583,696
HVO_2638 [D4GUW6] homolog to dipeptide epimerase,0.229085111,0.713943423,-0.856810872,0.000244843,-0.660609077,0.001936178,697
HVO_2637 [D4GUW4] conserved hypothetical protein,0.033874146,0.703204901,1.308906179,1,3.265109888,1,698
HVO_2636 [D4GUW2] (pspA) PspA domain protein,0.211593001,0.600383926,1.588437008,0.000244843,1.732231393,0.000241787,699
HVO_2635 [D4GUJ4] alpha/beta hydrolase fold protein,0.130088286,0.823065901,0.715994937,0.009337698,0.730147277,0.004603057,700
HVO_2634 [D4GUJ2] conserved hypothetical protein,1.553208725,0.594221904,1.781696321,0.284361952,1.470150086,0.332120871,701
HVO_2632 [D4GUI9] (tfs2) transcription elongation factor TFS,-0.367844587,0.690798184,1.549135864,0.176357472,1.395634568,0.083065029,702
HVO_2631 [D4GUI6] conserved hypothetical protein,0.187559662,0.824987908,0.943997277,0.298121433,0.746758165,0.326310015,703
HVO_2630 [D4GUI4] conserved hypothetical protein,0.346468018,0.385588661,1.4296331,0.000244843,1.236971178,0.000241787,704
HVO_2629 [D4GUI2] conserved hypothetical protein,0.240140335,0.742736615,-0.639367475,0.325098156,-1.014774121,0.090805426,705
HVO_2628 [D4GUI0] GHMP family kinase (homolog to beta-ribofuranosylaminobenzene 5'-phosphate synthase),0.371470148,0.708741611,-0.792981812,0.340154019,-1.233317732,0.308711166,706
HVO_2626 [D4GUH0] conserved hypothetical protein,-0.373566578,0.727898019,0.444417186,0.365679959,0.031225526,0.535416988,707
HVO_2625 [D4GUG8] (guaAb) GMP synthase (glutamine-hydrolyzing) subunit B,0.104372669,0.84920821,-0.629316208,0.000244843,-0.734528898,0.000241787,708
HVO_2624 [D4GUG6] (pyrG) CTP synthase,0.22822112,0.311511344,-0.971094382,0.000244843,-1.0561204,0.000241787,709
HVO_2623 [D4GUG4] (maa) maltose O-acetyltransferase,-0.390572619,0.670989206,0.842298908,0.399625216,0.852906619,0.371553589,710
HVO_2622 [D4GUG2] probable oxidoreductase (aldo-keto reductase family protein),-0.17250268,0.806927358,1.436283718,0.000244843,1.518081475,0.000241787,711
HVO_2621A [A0A1C9J6X7] small CPxCG-related zinc finger protein,-0.379726262,0.704317308,-1.61340217,0.02745373,-1.501103959,0.06771497,712
HVO_2621 [D4GUG0] (ppc) phosphoenolpyruvate carboxylase,-0.036451776,0.937261746,-0.101759938,0.625684661,-0.136481,0.540671689,713
HVO_2620 [D4GUF8] (petA) cytochrome bc1 complex Rieske iron-sulfur protein,0.197416532,0.773944708,-1.455064844,0.000244843,-1.276890634,0.000241787,714
HVO_2619 [D4GUF6] (samp1) ubiquitin-like modifier protein SAMP1,0.105563198,0.813761845,1.234450376,0.000979959,1.156116991,0.004845768,715
HVO_2618 [D4GUF4] TrkA-C domain protein,0.192345193,0.734985205,-0.552090711,0.327240061,-0.441923968,0.3512418,716
HVO_2617 [D4GUF1] TrkA-C domain protein,0.891251997,0.355509472,-1.207229585,0.272792627,-1.071345187,0.249593149,717
HVO_2616 [D4GUE9] (pchA2) ion channel pore / TrkA domain protein,-0.03999665,0.804252574,0.606381659,0.139149629,0.565958165,0.195583184,718
HVO_2614 [D4GUE6] (udp2) uridine phosphorylase,-0.014251398,0.869991031,-0.261491989,0.402835268,-0.178177928,0.461627689,719
HVO_2612 [D4GUE3] PfkB family kinase,0.472128649,0.192395974,-0.679905478,0.299624504,-0.890140735,0.175639438,720
HVO_2610 [D4GUD9] (deoC) deoxyribose-phosphate aldolase,-0.161896944,0.788083635,1.165875086,0.000244843,1.189217667,0.000241787,721
HVO_2607 [D4GUD2] PQQ repeat protein,-0.135005242,0.742480292,0.213452606,0.408952317,-0.338203354,0.397894231,722
HVO_2606 [D4GUC9] PQQ repeat protein,-0.176173897,0.764265921,-1.910735809,0.226518789,-1.87741036,0.211009134,723
HVO_2605 [D4GUC8] MiaB-like tRNA modifying enzyme,0.525972521,0.097303907,-0.531965606,0.106298727,-0.759450509,0.009222174,724
HVO_2604 [D4GUC6] GNAT family acetyltransferase,1.073533039,0.049717489,1.229134013,0.018986827,1.784078457,0.000241787,725
HVO_2603 [D4GUC5] (sec11a) signal peptidase I,0.64291672,0.647885452,5.299358872,1,-1.217571898,0.349380654,726
HVO_2602 [D4GUC2] transport protein (probable substrate zinc/cadmium/cobalt),1.363292346,0.503140801,-0.458362152,0.34448264,-0.756570233,0.383873459,727
HVO_2601 [D4GUC0] (hit2) histidine triad family protein (homolog to bis(5'-nucleosyl)-tetraphosphatase),-0.442650895,0.50998077,0.478495274,0.394822301,0.709125704,0.362770212,728
HVO_2600 [D4GUB9] (map) methionine aminopeptidase,-0.190331873,0.711212621,0.819753582,0.000244843,0.747480081,0.000241787,729
HVO_2598 [D4GUB5] (ppk2) polyphosphate kinase,0.233149862,0.702647742,-0.426548986,0.426467124,-0.746474824,0.279444439,730
HVO_2592 [D4GUA5] thioredoxin domain protein,-0.276526892,0.686207825,1.669689927,0.175249541,2.031422601,0.063143599,731
HVO_2590 [D4GU98] probable oxidoreductase (short-chain dehydrogenase family),-0.441219679,0.71611696,-0.790617808,0.345101999,-0.950732768,0.194746563,732
HVO_2589 [D4GU97] (ansA) asparaginase family protein,-0.25372425,0.471127464,0.579594394,0.000244843,0.423936811,0.006789053,733
HVO_2588 [D4GU92] (icd) isocitrate dehydrogenase (NADP),-0.457429571,0.000825727,-0.690830815,0.000244843,-0.951259186,0.000241787,734
HVO_2584 [D4GU20] conserved hypothetical protein,0.591933601,0.677777847,0.471194609,0.387486042,0.429031066,0.355282234,735
HVO_2583 [Q59468] (hmgA) hydroxymethylglutaryl-CoA reductase (NADPH),0.171037389,0.752624562,-0.803156329,0.000244843,-1.050673522,0.000241787,736
HVO_2580 [D4GU13] (nadB) L-aspartate oxidase,-0.138581972,0.661389076,0.216757536,0.492033957,-0.013327247,0.41852149,737
HVO_2579 [D4GU12] (nadC) nicotinate-nucleotide pyrophosphorylase (carboxylating),0,1,0,1,0,1,738
HVO_2577 [D4GU07] (pyrF) orotidine-5'-phosphate decarboxylase,-0.019708797,0.867498578,0.513904773,0.028203279,0.464055145,0.055054667,739
HVO_2576 [D4GU06] DnaJ N-terminal domain protein,0.798085457,0.603100127,-0.30642249,0.409920324,-0.274978651,0.420144785,740
HVO_2574 [D4GU04] conserved hypothetical protein,-0.21585278,0.766218258,1.490992661,0.003678427,1.563194264,0.000483779,741
HVO_2573 [D4GU03] (mch) probable methenyltetrahydrofolate cyclohydrolase,-0.11786336,0.736545771,0.055017736,0.470439976,0.082149693,0.49025259,742
HVO_2572 [D4GU02] UPF0045 family protein,0.059354806,0.744016118,1.151153645,0.029703582,1.085760938,0.066697775,743
HVO_2569 [D4GTZ9] conserved hypothetical protein,-0.288735291,0.71855048,1.629966375,0.000244843,1.231354195,0.080494627,744
HVO_2565 [D4GTZ7] DUF171 family protein,0.739959502,0.000825727,-1.847341923,0.000244843,-1.768810827,0.000241787,745
HVO_2564 [D4GTZ6] (rpl3) 50S ribosomal protein L3,0.46282734,0.000826002,-1.452656356,0.000244843,-1.233955713,0.000241787,746
HVO_2563 [D4GTZ5] (rpl4) 50S ribosomal protein L4,-0.145744016,0.784122805,-0.435528167,0.027953384,-0.468752795,0.002662976,747
HVO_2562 [D4GTZ4] (rpl23) 50S ribosomal protein L23,0.131586871,0.817897848,-0.036506781,0.667791504,-0.219532779,0.425350913,748
