"Protein.ID","H26_vs_DksgA_PEP","H26_vs_DksgA_KsgA_PEP","H26_vs_DksgA_ksgA_E84A_PEP"
"640","HVO_2715 [D4GW29] HAD superfamily hydrolase",0.780598495,0.000244843,0.000241787
"641","HVO_2714 [D4GW27] conserved hypothetical protein",0.785758006,0.000244843,0.000241787
"642","HVO_2712 [D4GW23] (rtcB) tRNA-splicing ligase RtcB",0.907531268,0.000244843,0.005088523
"643","HVO_2711 [D4GW21] DoxX domain protein",0.549401885,0.215951853,0.204257244
"644","HVO_2710 [D4GW19] homolog to archaease",0.782481586,0.004415285,0.027613969
"645","HVO_2709 [D4GW16] GNAT family acetyltransferase",0.000825727,0.357853364,0.329671426
"646","HVO_2708 [D4GW14] YfiH family protein",0.675132373,0.000244843,0.000241787
"647","HVO_2707 [D4GW10] GFO family oxidoreductase",0.000825727,0.000244843,0.000241787
"648","HVO_2706 [D4GW08] eIF-2B domain protein",0.905615288,0.662142081,0.687885008
"649","HVO_2704 [D4GW04] DUF1628 domain protein",0.654681896,0.395142043,0.364961255
"650","HVO_2703 [D4GW03] (panB2) 3-methyl-2-oxobutanoate hydroxymethyltransferase",0.050495225,0.000244843,0.000241787
"651","HVO_2702 [D4GVT1] alpha/beta hydrolase fold protein",0.532728441,0.351620168,0.083065029
"652","HVO_2700 [D4GVS7] (cdc48b) AAA-type ATPase (CDC48 subfamily)",0.000825727,0.000244843,0.000241787
"653","HVO_2699 [D4GVS5] (bcp1) peroxiredoxin",0.578503481,0.004415285,0.001209779
"654","HVO_2698 [D4GVS3] (ginS) DNA replication factor GINS",0.104602394,0.000244843,0.000241867
"655","HVO_2697 [D4GVS1] (priS) DNA primase small subunit",0.749856931,0.067998307,0.500139861
"656","HVO_2695 [D4GVR7] (tsgA3) ABC-type transport system periplasmic substrate-binding protein (probable substrate sugar)",0.000825727,0.000244843,0.000241787
"657","HVO_2694 [D4GVR5] (tsgB3) ABC-type transport system permease protein (probable substrate sugar)",0.680117666,1,1
"658","HVO_2693 [D4GVR3] (tsgC3) ABC-type transport system permease protein (probable substrate sugar)<|>HVO_A0146 [D4GQH5] (tsgB4) ABC-type transport system permease protein (probable substrate sugar)",0.525764378,0.269545316,1
"659","HVO_2693 [D4GVR3] (tsgC3) ABC-type transport system permease protein (probable substrate sugar)",0.316967045,0.28019875,0.25307338
"660","HVO_2692 [D4GVR2] (tsgD3) ABC-type transport system ATP-binding protein (probable substrate sugar)<|>HVO_A0145 [D4GQH4] (tsgD4) ABC-type transport system ATP-binding protein (probable substrate sugar)",0.885732902,0.000979959,0.000241787
"661","HVO_2692 [D4GVR2] (tsgD3) ABC-type transport system ATP-binding protein (probable substrate sugar)",0.804476101,0.000244843,0.000241787
"662","HVO_2690 [D4GVQ6] GFO family oxidoreductase",0.000825727,0.000244843,0.000241787
"663","HVO_2689 [D4GVQ4] conserved hypothetical protein",0.745037198,0.568865962,0.430901846
"664","HVO_2688 [D4GVQ2] (trmB) TrmB family transcription regulator TrmB",0.837169375,0.041511868,0.006545986
"665","HVO_2685 [D4GVP5] (mscS3) mechanosensitive channel protein MscS",0.652837248,1,1
"666","HVO_2684 [D4GVP1] UspA domain protein",0.705149945,0.070313888,0.088737026
"667","HVO_2683 [D4GVN9] 5'-nucleotidase family hydrolase",0.64695165,0.000244843,0.000241787
"668","HVO_2682 [D4GVN8] dodecin",0.703483242,0.399625216,0.328753923
"669","HVO_2681 [D4GVN6] HTH domain protein",0.517531643,0.430712519,0.159232447
"670","HVO_2679 [D4GVN1] conserved hypothetical protein",0.643199416,1,1
"671","HVO_2677 [D4GV54] conserved hypothetical protein",0.839852017,0.316256023,0.372182938
"672","HVO_2676 [D4GV53] HesB/IscA family iron-sulfur cluster assembly accessory protein",0.709841398,0.363798005,0.418197038
"673","HVO_2675 [D4GV52] (hisD) histidinol dehydrogenase",0.777521485,0.041764191,0.722031248
"674","HVO_2671 [D4GV47] pyridoxal phosphate-dependent aminotransferase",0.471127464,0.000734904,0.000241787
"675","HVO_2670 [D4GV46] FAD-dependent oxidoreductase (GlcD/DLD_GlcF/GlpC domain fusion protein)",0.738101169,0.422558283,1
"676","HVO_2668 [D4GV42] (thiE) thiamine-phosphate synthase",0.786456973,0.219656055,0.543129833
"677","HVO_2667 [D4GV40] (thiM) hydroxyethylthiazole kinase",0.680117666,0.424511508,0.440417576
"678","HVO_2666 [D4GV38] (thiD) phosphomethylpyrimidine kinase / phosphomethylpyrimidine phosphate kinase",0.69165414,0.416388802,0.409462738
"679","HVO_2665 [D4GV36] HpcH/HpaI aldolase family protein",0.50797731,0.02072582,0.001451867
"680","HVO_2664 [D4GV35] probable S-adenosylmethionine-dependent methyltransferase",0.637836669,1,1
"681","HVO_2663 [D4GV33] probable oxidoreductase (aldo-keto reductase family protein)",0.799305799,0.000244843,0.00727532
"682","HVO_2662 [D4GV31] glyoxalase domain protein",0.120423919,0.003924003,0.000241787
"683","HVO_2661 [D4GV29] pyridoxal phosphate-dependent aminotransferase",0.870182122,0.182187814,0.237477923
"684","HVO_2660 [D4GV24] receiver/sensor box histidine kinase",0.714759652,0.371969496,0.37407256
"685","HVO_2659 [D4GV27] probable tautomerase",0.719089588,0.000244843,0.367469219
"686","HVO_2655 [D4GV15] (narB2) Rieske-type (2Fe-2S) iron-sulfur protein",0.042684235,0.000244843,0.000241787
"687","HVO_2654 [D4GV13] (narC2) homolog to respiratory nitrate reductase b-type cytochrome subunit",0.72444746,1,1
"688","HVO_2650 [D4GV06] FAD-dependent oxidoreductase (homolog to geranylgeranyl reductase)",0.000825727,0.000244843,0.000241787
"689","HVO_2648 [D4GV02] (serA2) probable D-2-hydroxyacid dehydrogenase",0.856780762,0.603743646,0.615002028
"690","HVO_2646 [D4GUY2] (ilvD) dihydroxy-acid dehydratase",0.8969631,0.160373632,0.000241787
"691","HVO_2645 [D4GUY1] (moaB) molybdopterin adenylyltransferase",0.723914374,0.369136084,0.501508521
"692","HVO_2644 [D4GUX8] HTH domain protein",1,1,1
"693","HVO_2643 [D4GUX6] (qor1) NADPH:quinone reductase",0.117571018,0.000244843,0.000241787
"694","HVO_2640 [D4GUX0] conserved hypothetical protein",0.091416123,0.147547883,0.012880243
"695","HVO_2639 [D4GUW8] DUF1611 family protein",0.804476101,0.497477503,0.168232583
"696","HVO_2638 [D4GUW6] homolog to dipeptide epimerase",0.713943423,0.000244843,0.001936178
"697","HVO_2637 [D4GUW4] conserved hypothetical protein",0.703204901,1,1
"698","HVO_2636 [D4GUW2] (pspA) PspA domain protein",0.600383926,0.000244843,0.000241787
"699","HVO_2635 [D4GUJ4] alpha/beta hydrolase fold protein",0.823065901,0.009337698,0.004603057
"700","HVO_2634 [D4GUJ2] conserved hypothetical protein",0.594221904,0.284361952,0.332120871
"701","HVO_2632 [D4GUI9] (tfs2) transcription elongation factor TFS",0.690798184,0.176357472,0.083065029
"702","HVO_2631 [D4GUI6] conserved hypothetical protein",0.824987908,0.298121433,0.326310015
"703","HVO_2630 [D4GUI4] conserved hypothetical protein",0.385588661,0.000244843,0.000241787
"704","HVO_2629 [D4GUI2] conserved hypothetical protein",0.742736615,0.325098156,0.090805426
"705","HVO_2628 [D4GUI0] GHMP family kinase (homolog to beta-ribofuranosylaminobenzene 5'-phosphate synthase)",0.708741611,0.340154019,0.308711166
"706","HVO_2626 [D4GUH0] conserved hypothetical protein",0.727898019,0.365679959,0.535416988
"707","HVO_2625 [D4GUG8] (guaAb) GMP synthase (glutamine-hydrolyzing) subunit B",0.84920821,0.000244843,0.000241787
"708","HVO_2624 [D4GUG6] (pyrG) CTP synthase",0.311511344,0.000244843,0.000241787
"709","HVO_2623 [D4GUG4] (maa) maltose O-acetyltransferase",0.670989206,0.399625216,0.371553589
"710","HVO_2622 [D4GUG2] probable oxidoreductase (aldo-keto reductase family protein)",0.806927358,0.000244843,0.000241787
"711","HVO_2621A [A0A1C9J6X7] small CPxCG-related zinc finger protein",0.704317308,0.02745373,0.06771497
"712","HVO_2621 [D4GUG0] (ppc) phosphoenolpyruvate carboxylase",0.937261746,0.625684661,0.540671689
"713","HVO_2620 [D4GUF8] (petA) cytochrome bc1 complex Rieske iron-sulfur protein",0.773944708,0.000244843,0.000241787
"714","HVO_2619 [D4GUF6] (samp1) ubiquitin-like modifier protein SAMP1",0.813761845,0.000979959,0.004845768
"715","HVO_2618 [D4GUF4] TrkA-C domain protein",0.734985205,0.327240061,0.3512418
"716","HVO_2617 [D4GUF1] TrkA-C domain protein",0.355509472,0.272792627,0.249593149
"717","HVO_2616 [D4GUE9] (pchA2) ion channel pore / TrkA domain protein",0.804252574,0.139149629,0.195583184
"718","HVO_2614 [D4GUE6] (udp2) uridine phosphorylase",0.869991031,0.402835268,0.461627689
"719","HVO_2612 [D4GUE3] PfkB family kinase",0.192395974,0.299624504,0.175639438
"720","HVO_2610 [D4GUD9] (deoC) deoxyribose-phosphate aldolase",0.788083635,0.000244843,0.000241787
"721","HVO_2607 [D4GUD2] PQQ repeat protein",0.742480292,0.408952317,0.397894231
"722","HVO_2606 [D4GUC9] PQQ repeat protein",0.764265921,0.226518789,0.211009134
"723","HVO_2605 [D4GUC8] MiaB-like tRNA modifying enzyme",0.097303907,0.106298727,0.009222174
"724","HVO_2604 [D4GUC6] GNAT family acetyltransferase",0.049717489,0.018986827,0.000241787
"725","HVO_2603 [D4GUC5] (sec11a) signal peptidase I",0.647885452,1,0.349380654
"726","HVO_2602 [D4GUC2] transport protein (probable substrate zinc/cadmium/cobalt)",0.503140801,0.34448264,0.383873459
"727","HVO_2601 [D4GUC0] (hit2) histidine triad family protein (homolog to bis(5'-nucleosyl)-tetraphosphatase)",0.50998077,0.394822301,0.362770212
"728","HVO_2600 [D4GUB9] (map) methionine aminopeptidase",0.711212621,0.000244843,0.000241787
"729","HVO_2598 [D4GUB5] (ppk2) polyphosphate kinase",0.702647742,0.426467124,0.279444439
"730","HVO_2592 [D4GUA5] thioredoxin domain protein",0.686207825,0.175249541,0.063143599
"731","HVO_2590 [D4GU98] probable oxidoreductase (short-chain dehydrogenase family)",0.71611696,0.345101999,0.194746563
"732","HVO_2589 [D4GU97] (ansA) asparaginase family protein",0.471127464,0.000244843,0.006789053
"733","HVO_2588 [D4GU92] (icd) isocitrate dehydrogenase (NADP)",0.000825727,0.000244843,0.000241787
"734","HVO_2584 [D4GU20] conserved hypothetical protein",0.677777847,0.387486042,0.355282234
"735","HVO_2583 [Q59468] (hmgA) hydroxymethylglutaryl-CoA reductase (NADPH)",0.752624562,0.000244843,0.000241787
"736","HVO_2580 [D4GU13] (nadB) L-aspartate oxidase",0.661389076,0.492033957,0.41852149
"737","HVO_2579 [D4GU12] (nadC) nicotinate-nucleotide pyrophosphorylase (carboxylating)",1,1,1
"738","HVO_2577 [D4GU07] (pyrF) orotidine-5'-phosphate decarboxylase",0.867498578,0.028203279,0.055054667
"739","HVO_2576 [D4GU06] DnaJ N-terminal domain protein",0.603100127,0.409920324,0.420144785
"740","HVO_2574 [D4GU04] conserved hypothetical protein",0.766218258,0.003678427,0.000483779
"741","HVO_2573 [D4GU03] (mch) probable methenyltetrahydrofolate cyclohydrolase",0.736545771,0.470439976,0.49025259
"742","HVO_2572 [D4GU02] UPF0045 family protein",0.744016118,0.029703582,0.066697775
"743","HVO_2569 [D4GTZ9] conserved hypothetical protein",0.71855048,0.000244843,0.080494627
"744","HVO_2565 [D4GTZ7] DUF171 family protein",0.000825727,0.000244843,0.000241787
"745","HVO_2564 [D4GTZ6] (rpl3) 50S ribosomal protein L3",0.000826002,0.000244843,0.000241787
"746","HVO_2563 [D4GTZ5] (rpl4) 50S ribosomal protein L4",0.784122805,0.027953384,0.002662976
"747","HVO_2562 [D4GTZ4] (rpl23) 50S ribosomal protein L23",0.817897848,0.667791504,0.425350913
"748","HVO_2561 [D4GTZ3] (rpl2) 50S ribosomal protein L2",0.003299131,0.000244843,0.000241787
"749","HVO_2560 [D4GTZ2] (rps19) 30S ribosomal protein S19",0.791549384,0.288536535,0.549468237
"750","HVO_2559 [D4GTZ1] (rpl22) 50S ribosomal protein L22",0.838822265,0.000244843,0.002420665
"751","HVO_2558 [D4GTZ0] (rps3) 30S ribosomal protein S3",0.880554379,0.001225057,0.024407808
"752","HVO_2557 [D4GTY9] (rpl29) 50S ribosomal protein L29",0.483805805,0.198692494,0.219494154
"753","HVO_2556 [D4GTY8] (rnp1) ribonuclease P protein component 1",0.821779732,0.000244843,0.000241787
"754","HVO_2555 [D4GTY7] (rps17) 30S ribosomal protein S17",0.373722934,0.000244843,0.014346297
"755","HVO_2554 [D4GTY6] (rpl14) 50S ribosomal protein L14",0.000825727,0.000244843,0.000241787
"756","HVO_2553 [D4GTY5] (rpl24) 50S ribosomal protein L24",0.877752155,0.12972566,0.359957842
"757","HVO_2552 [D4GTY4] (rps4e) 30S ribosomal protein S4e",0.680409373,0.693637281,0.634966784
"758","HVO_2551 [P50559] (rpl5) 50S ribosomal protein L5",0.605802645,0.542038996,0.470999134
"759","HVO_2550 [D4GTY2] (rps14) 30S ribosomal protein S14",0.49744734,0.533308331,0.491272526
"760","HVO_2549 [D4GTY1] (rps8) 30S ribosomal protein S8",0.748087057,0.56708768,0.670690235
"761","HVO_2548 [D4GTY0] (rpl6) 50S ribosomal protein L6",0.91116271,0.446816281,0.323260776
"762","HVO_2547 [D4GTX9] (rpl32e) 50S ribosomal protein L32e",0.66501054,0.000244925,0.001694
"763","HVO_2546 [D4GTX8] (rpl19e) 50S ribosomal protein L19e",0.836547858,0.592879141,0.553354134
"764","HVO_2545 [P50563] (rpl18) 50S ribosomal protein L18",0.742223829,0.000244843,0.000241787
"765","HVO_2544 [D4GTX6] (rps5) 30S ribosomal protein S5",0.335194476,0.000244843,0.000241787
"766","HVO_2543 [D4GTX5] (rpl30) 50S ribosomal protein L30",0.823493764,0.000244843,0.000241787
"767","HVO_2542 [D4GTX4] (rpl15) 50S ribosomal protein L15",0.797265901,0.008598223,0.002178399
"768","HVO_2541 [Q977V3] (secY1) protein translocase subunit SecY<|>HVO_A0174 [D4GQK3] (secY2) protein translocase subunit SecY",0.446725157,0.330305074,0.335802617
"769","HVO_2541 [Q977V3] (secY1) protein translocase subunit SecY",0.202046307,0.03672633,0.023915236
"770","HVO_2540 [D4GTX2] conserved hypothetical protein",0.056690432,0.000244843,0.000241787
"771","HVO_2539 [D4GTX1] conserved hypothetical protein",0.81068866,0.041259591,0.000241787
"772","HVO_2538 [D4GTX0] alpha/beta hydrolase fold protein",0.019601863,0.342007668,0.502878374
"773","HVO_2537 [D4GTW9] conserved hypothetical protein",0.731061015,0.000244843,0.019244853
"774","HVO_2536 [D4GTW8] TIGR00300 family protein",0.762550739,0.000244843,0.000241787
"775","HVO_2534 [D4GTW6] UspA domain protein",0.618455881,0.313825699,0.2782622
"776","HVO_2533 [D4GTW5] conserved hypothetical protein",0.767919707,0.45409938,0.472342532
"777","HVO_2530 [D4GTW3] homolog to phosphoribosylamine--glycine ligase",0.02282435,0.256332739,0.104326738
"778","HVO_2529 [D4GTW1] probable oxidoreductase (short-chain dehydrogenase family)",0.77965397,0.000244843,0.000241787
"779","HVO_2528 [D4GTW0] (crtD) carotenoid 3,4-desaturase",0.005764968,0.533308331,0.408817734
"780","HVO_2524 [D4GTV6] (crtB) phytoene synthase",0.674542584,1,1
"781","HVO_2522 [D4GTV4] Lrp/AsnC family transcription regulator",0.056690432,1,1
"782","HVO_2521 [D4GTV3] DUF21/CBS domain protein",0.740424633,0.000244843,0.000241787
"783","HVO_2519 [D4GTV1] conserved hypothetical protein",0.515157743,0.385895702,0.13390866
"784","HVO_2516 [D4GTU8] (gpmI) phosphoglycerate mutase, 2,3-biphosphateglycerate-independent type",0.865377508,0.51563976,0.423071056
"785","HVO_2514 [D4GTU6] (cmi2) ArsR family transcription regulator",0.767191295,0.432675739,0.501166245
"786","HVO_2513 [D4GTU5] conserved hypothetical protein",0.651912423,0.393863465,0.386413067
"787","HVO_2511 [D4GTU3] (gatD) glutamyl-tRNA(Gln) amidotransferase subunit D",0.001651191,0.000244925,0.01044041
"788","HVO_2510 [D4GTU2] GNAT family acetyltransferase",0.552009743,0.062097832,0.101976949
"789","HVO_2509 [D4GTU1] sensor box histidine kinase",1,1,1
"790","HVO_2508 [D4GTU0] (carA) carbamoyl-phosphate synthase (glutamine-hydrolyzing) small subunit",0.772506011,0.445495616,0.638318053
"791","HVO_2507 [D4GTT8] Lrp/AsnC family transcription regulator",0.726308568,0.44351665,0.384507962
"792","HVO_2506 [D4GTS6] (idiA) isopentenyl-diphosphate delta-isomerase, type I",0.725777566,0.000244843,0.001451867
"793","HVO_2505 [D4GTS4] (jamm1) desampylase Jamm1",0.736805362,0.215951853,0.141672368
"794","HVO_2504 [D4GTS3] probable oxidoreductase (short-chain dehydrogenase family)",0.530802452,0.033963195,0.514225353
"795","HVO_2503 [D4GTS2] (kynU) kynureninase",0.724180991,0.41250456,0.550880197
"796","HVO_2502 [D4GTS0] (hypE2) HypE family protein",0.737583275,0.414445497,0.393419009
"797","HVO_2501 [D4GTR7] alpha/beta hydrolase fold protein",0.434603113,0.425489017,0.555831906
"798","HVO_2500 [D4GTR6] (cat2) transport protein (probable substrate cationic amino acids)",0.142184702,0.079614131,0.098069553
"799","HVO_2499 [D4GTR4] UspA domain protein",0.559761379,0.000244843,0.000241787
"800","HVO_2498 [D4GTR1] conserved hypothetical protein",0.670096918,0.000979959,0.000241787
"801","HVO_2496 [D4GTQ6] (adk1) adenylate kinase",0.083994346,0.000244843,0.000241787
"802","HVO_2495 [D4GTQ2] DUF106 family protein",0.722846408,0.588192893,0.565068784
"803","HVO_2494 [D4GTQ0] (cmk) cytidylate kinase",0.841494361,0.000244843,0.000241787
"804","HVO_2493 [D4GTP8] (cbf5) tRNA/rRNA pseudouridine synthase Cbf5",0.776094184,0.531219817,0.446684025
"805","HVO_2487 [D4GTB8] (asd) aspartate-semialdehyde dehydrogenase",0.198201278,0.044542733,0.007032164
"806","HVO_2486 [D4GTB5] (pccA) propionyl-CoA carboxylase biotin carboxylase component",0.317510216,0.000244843,0.000241787
"807","HVO_2485 [D4GTB0] (birA) HTH domain protein / biotin--[acetyl-CoA-carboxylase] ligase",0.764999028,0.000244843,0.000241787
"808","HVO_2483 [D4GTA3] amidohydrolase domain protein",0.907183617,0.000244843,0.002662976
"809","HVO_2482 [D4GTA1] HD family hydrolase",0.741967225,0.312005467,0.138186724
"810","HVO_2481 [D4GT99] HD family hydrolase",0.751871395,0.001470199,0.047765722
"811","HVO_2479 [D4GT93] (cofD) 2-phospho-L-lactate transferase",0.764999028,0.26043099,0.250172606
"812","HVO_2477 [D4GT86] (citG) triphosphoribosyl-dephospho-CoA synthase",0.764510421,0.240339229,0.204257244
"813","HVO_2476 [D4GT83] DUF447 family protein",0.683896568,0.373545826,0.38070493
"814","HVO_2475 [D4GT80] (rps17e) 30S ribosomal protein S17e",0.474109803,0.422883655,0.505621661
"815","HVO_2472 [D4GT77] (pccX) propionyl-CoA carboxylase small subunit",0.462957435,0.514950726,0.439101561
"816","HVO_2471 [D4GT75] (pccB2) propionyl-CoA carboxylase carboxyltransferase component",0.600724203,0.000244843,0.000241787
"817","HVO_2468 [D4GT69] probable oxidoreductase (short-chain dehydrogenase family)",1,0.340154019,0.490932473
"818","HVO_2467 [D4GT67] (qor3) NADPH:quinone reductase",0.823279886,0.059540055,0.186130257
"819","HVO_2465 [D4GT62] (sucC) succinate--CoA ligase (ADP-forming) beta subunit",0.696476604,0.000244843,0.000241867
"820","HVO_2464 [D4GT59] (sucD) succinate--CoA ligase (ADP-forming) alpha subunit",0.759842377,0.000244843,0.000241787
"821","HVO_2462 [D4GT54] (htr37) transducer protein Htr37",1,1,1
"822","HVO_2452 [D4GT33] (nrdJ) ribonucleoside-diphosphate reductase, adenosylcobalamin-dependent",0.282991692,0.000244843,0.000241787
"823","HVO_2451 [D4GT31] (pilA4) pilin PilA",0.675721467,0.291226228,0.345665294
"824","HVO_2449 [D4GT22] DUF1684 family protein",0.824561545,0.108412792,0.355593488
"825","HVO_2448 [D4GT19] probable oxidoreductase (aldo-keto reductase family protein)",0.72123996,0.000244925,0.000241787
"826","HVO_2447 [D4GT17] conserved hypothetical protein",0.787619482,0.007366638,0.004845768
"827","HVO_2444 [D4GT12] (dppF5) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide) (nonfunctional)",0.614823977,0.393543982,0.216660215
"828","HVO_2436 [D4GSQ3] (maeB2) malate dehydrogenase (oxaloacetate-decarboxylating)",0.89785487,0.000244843,0.000241787
"829","HVO_2435 [D4GSQ0] peptidase M24 family protein",0.717740679,0.000244843,0.000241787
"830","HVO_2432 [D4GSP2] ABC-type transport system periplasmic substrate-binding protein (probable substrate glutamine/glutamate/polar amino acids)",0.02282435,0.591075191,0.015569245
"831","HVO_2431 [D4GSN8] ABC-type transport system permease protein (probable substrate glutamine/glutamate/polar amino acids)",0.016366788,0.213676903,0.306601262
"832","HVO_2430 [D4GSN5] ABC-type transport system ATP-binding protein (probable substrate glutamine/glutamate/polar amino acids)",0.815072252,0.053929179,0.003632661
"833","HVO_2429 [D4GSN3] small CPxCG-related zinc finger protein",0.676603809,0.232837369,0.267958256
"834","HVO_2428 [D4GSN2] (adh1) alcohol dehydrogenase",0.548654558,0.147547883,0.399175289
"835","HVO_2427 [D4GSN1] (rfcB) replication factor C large subunit",0.010674897,0.244684303,0.209881596
"836","HVO_2425 [D4GSM9] GNAT family acetyltransferase",0.000825727,0.000244843,0.000241787
"837","HVO_2424 [D4GSM8] conserved hypothetical protein",0.678949129,0.276639316,0.148669928
"838","HVO_2423 [D4GSM6] GNAT family acetyltransferase",0.840468653,0.000244843,0.000241787
"839","HVO_2421 [D4GSH0] cro/C1 family transcription regulator",0.039538779,0.000244843,0.000241787
"840","HVO_2419 [D4GWR6] (hmgB) hydroxymethylglutaryl-CoA synthase",0.567406832,0.000244843,0.000241787
"841","HVO_2418 [D4GWR5] probable secreted glycoprotein",0.611500532,0.476484328,0.406562368
"842","HVO_2417 [D4GWR4] DUF2150 family protein",0.837583209,0.020228743,0.001451867
"843","HVO_2416 [D4GWR3] (tatD) 3'-5' ssDNA/RNA exonuclease TatD",0.671583185,0.000489893,0.000241867
"844","HVO_2415 [D4GWR2] DUF88 family protein",0.603100127,0.520125537,0.26913217
"845","HVO_2413 [D4GWR0] (tef1a2) translation elongation factor aEF-1 alpha / peptide chain release factor aRF-3",0.000825727,0.58855291,0.409140202
"846","HVO_2412 [D4GWQ9] Lrp/AsnC family transcription regulator",0.710664599,0.159825559,0.214397099
"847","HVO_2410 [D4GWQ7] UPF0753 family protein",0.702926401,0.384306963,0.381338105
"848","HVO_2409 [D4GWQ6] NikR family transcription regulator",0.691939129,0.418983569,0.317181045
"849","HVO_2404 [D4GWQ1] (gcvT) glycine cleavage system protein T",0.617467829,0.292722548,0.467310757
"850","HVO_2403 [D4GWQ0] (gcvH) glycine cleavage system protein H",0.777758929,0.046313757,0.018508919
"851","HVO_2402 [D4GWP9] (gcvP1) glycine cleavage system protein P alpha subunit",0.090677061,0.000244843,0.000241787
"852","HVO_2401 [D4GWP8] (gcvP2) glycine cleavage system protein P beta subunit",0.788315529,0.000244843,0.000241787
"853","HVO_2400 [D4GWP7] small CPxCG-related zinc finger protein",0.731848469,0.007366638,0.288044372
"854","HVO_2398 [D4GWP5] (znuC1) ABC-type transport system ATP-binding protein (probable substrate zinc)",0.659872464,0.344173054,0.053795136
"855","HVO_2397 [D4GWP4] (znuA1) ABC-type transport system periplasmic substrate-binding protein (probable substrate zinc)",0.125391442,0.048087012,0.000241787
"856","HVO_2396 [D4GWP3] (grx4) glutaredoxin",0.735766135,0.000244843,0.000241787
"857","HVO_2395 [D4GWP2] (pduO) ATP:cob(I)alamin adenosyltransferase",0.462524363,0.458751278,0.416899915
"858","HVO_2389 [D4GWN7] (hadL) haloacid dehalogenase, type II",0.681574492,0.386213641,0.353105262
"859","HVO_2385 [D4GWN3] (pilB5) type IV pilus biogenesis complex ATPase subunit",1,1,1
"860","HVO_2384 [D4GWN2] CBS domain protein",0.775378831,0.000244843,0.000241787
"861","HVO_2383 [D4GWN1] (radB) DNA repair and recombination protein RadB",0.209043808,0.000244843,0.15733073
"862","HVO_2382 [D4GWN0] conserved hypothetical protein",0.000825727,0.000244843,0.000241787
"863","HVO_2381 [D4GWM9] LarC family protein",0.783420164,0.449130059,0.508369737
"864","HVO_2380 [D4GWM8] (cdc48a) AAA-type ATPase (CDC48 subfamily)",0.000825727,0.000244843,0.000241787
"865","HVO_2379 [D4GWM7] (phoU3) PhoU domain protein",0.872658082,0.000244843,0.000241787
"866","HVO_2378 [D4GWM6] (pstB1) ABC-type transport system ATP-binding protein (probable substrate phosphate)",0.892112005,0.690194221,0.613532826
"867","HVO_2377 [D4GWM5] (pstA1) ABC-type transport system permease protein (probable substrate phosphate)",0.026834869,0.484916772,0.33856991
"868","HVO_2376 [D4GWM4] (pstC1) ABC-type transport system permease protein (probable substrate phosphate)",0.636248775,0.418983569,0.371239013
"869","HVO_2375 [D4GWM3] (pstS1) ABC-type transport system periplasmic substrate-binding protein (probable substrate phosphate)",0.289808928,0.023961139,0.000241787
"870","HVO_2374 [D4GWM2] (phoU2) PhoU domain protein",0.84108438,0.574569225,0.617944412
"871","HVO_2373 [D4GWM1] (rps8e) 30S ribosomal protein S8e",0.635930614,0.071601956,0.164680183
"872","HVO_2372 [D4GWM0] DUF2240 family protein",0.810247845,0.388122627,0.366214715
"873","HVO_2371 [D4GWL9] conserved hypothetical protein",0.715303036,0.000244843,0.000241787
"874","HVO_2370 [D4GWL8] HAD superfamily hydrolase",0.842721892,0.527050704,0.356216191
"875","HVO_2369 [D4GWL7] NurA domain protein",0.760582613,0.000244843,0.000241787
"876","HVO_2368 [D4GWL6] conserved hypothetical protein",0.726573847,0.085327661,0.253363777
"877","HVO_2367 [D4GWL5] arNOG05179 family protein (DUF87-related AAA-type ATPase)",0.842313117,0.013288225,0.074856765
"878","HVO_2366 [D4GWL4] UspA domain protein",0.576373113,0.078836784,0.001936178
"879","HVO_2365 [D4GWL3] nitroreductase family protein",0.274953014,0.001960612,0.005817054
"880","HVO_2364 [D4GWL2] (cirB) KaiC-type circadian clock protein CirB",0.71611696,0.423209093,0.464299485
"881","HVO_2363 [D4GWL1] (nadK1) probable NAD kinase (polyphosphate/ATP)",0.831332508,0.067998307,0.149479602
"882","HVO_2361 [D4GWK9] (carB) carbamoyl-phosphate synthase (glutamine-hydrolyzing) large subunit",0.019601863,0.000244843,0.000241787
"883","HVO_2359 [D4GWK7] conserved hypothetical protein",0.754127218,0.354110463,0.083837096
"884","HVO_2356 [D4GWK4] GNAT family acetyltransferase",0.005764968,0.000244843,0.000241787
"885","HVO_2350 [D4GWJ9] YyaL family protein",0.599361802,0.000979959,0.006302964
"886","HVO_2349 [D4GWJ8] TrmB family transcription regulator",0.790166336,0.346341455,0.356527639
"887","HVO_2348 [D4GWJ7] (mptA) GTP cyclohydrolase MptA",0.661086116,0.401550467,0.023915236
"888","HVO_2347 [D4GWJ6] conserved hypothetical protein",0.796583823,0.000244843,0.000241787
"889","HVO_2345 [D4GWJ4] flavin-dependent pyridine nucleotide oxidoreductase",0.819195724,0.004415285,0.002662976
"890","HVO_2344 [D4GWJ3] HTH domain protein",0.789704358,0.116900226,0.005088523
"891","HVO_2343 [D4GWJ2] conserved hypothetical protein",0.702647742,0.327852579,0.404310332
"892","HVO_2342 [D4GWJ1] MATE efflux family protein",0.588337037,0.354110463,0.361832171
"893","HVO_2341 [D4GWJ0] TetR family transcription regulator",0.839028418,0.000244843,0.000241787
"894","HVO_2340 [D4GWI9] amine oxidase domain protein",0.627912803,0.223941574,0.193074798
