Protein_ID,H26_Exponential_vs_H26_Stationary,H26_Exponential_vs_H26_Stationary_PEP,H26_Exponential_vs_HVABI_Exponential,H26_Exponential_vs_HVABI_Exponential_PEP,H26_Exponential_vs_HVLON3_Exponential,H26_Exponential_vs_HVLON3_Exponential_PEP,H26_Stationary_vs_HVABI_Stationary,H26_Stationary_vs_HVABI_Stationary_PEP,H26_Stationary_vs_HVLON3_Stationary,H26_Stationary_vs_HVLON3_Stationary_PEP,Row_Number
HVO_A0234 [D4GQR3] homolog to phiCh1-ORF95,-1.247952181,0.689238556,3.833654991,1,-0.277558185,0.90505208,-3.462717031,0.40239463,1.932722477,0.548226957,331
HVO_A0230 [D4GQQ9] (msrA1) peptide methionine sulfoxide reductase MsrA (S-form specific),-0.584846984,0.708021168,-0.253014218,0.67163071,1.440559026,0.905284105,-0.029037779,0.470639116,3.701049751,0.454060683,332
HVO_A0228 [D4GQQ7] (surE2) 5'-nucleotidase SurE,-0.804476766,0.734893293,-1.366941557,0.481849043,-0.579658628,0.893450103,-1.524644101,0.405473777,0.667637907,0.542463625,333
HVO_A0227 [D4GQQ6] hypothetical protein,0,1,0,1,0,1,0,1,0,1,334
HVO_A0220 [D4GQP9] (wecB) probable nucleotide sugar epimerase,0.538491475,0.689534798,1.061791358,0.00083036,1.299719731,0.895782804,0.373139251,0.427986749,-0.259121604,0.511388088,335
HVO_A0211 [D4GQP0] (cas1) CRISPR-associated endonuclease Cas1,0,1,0,1,0,1,10.9133634,1,20.05352311,1,336
HVO_A0209 [D4GQN8] (cas3) CRISPR-associated nuclease/helicase Cas3,0.297735435,0.753728534,-0.715953397,0.166136235,-0.835720568,0.931622603,1.103795902,0.449027775,1.250340876,0.534612931,337
"HVO_A0208 [D4GQN7] (cas5) CRISPR-associated protein Cas5, Hmari subtype",0.382970577,0.73931096,0.155994308,0.736074514,-0.062560054,0.941834045,0.162074477,0.572142935,0.169977978,0.696249749,338
HVO_A0207 [D4GQN6] (cas7) CRISPR-associated protein Cas7,0.767490053,0.257335925,0.082428757,0.803570075,0.025665817,0.953779353,0.310646421,0.539131118,0.211265701,0.670100235,339
HVO_A0206 [D4GQN5] (cas8b) CRISPR-associated protein Cas8b,1.069942232,0.001086817,0.323133916,0.735033996,-0.034575765,0.961858325,-0.650440403,0.075882624,-0.609827941,0.113900521,340
HVO_A0205 [D4GQN4] (cas6) CRISPR-associated endoribonuclease Cas6,1.165419954,0.020373119,0.805330445,0.379515841,-0.143996738,0.933891656,-0.048824266,0.568853388,-0.099612023,0.675448504,341
HVO_A0196 [D4GQM5] pectin lyase domain protein,2.443995724,0.620688364,0.673304426,0.6656562,-0.262628854,0.895782804,-1.059784215,1,3.082401192,1,342
HVO_A0181 [D4GQL0] conserved hypothetical protein,-1.412274137,0.708021168,0.699015903,0.654105309,0.815703807,0.896548147,2.384644232,0.44259074,3.499257261,0.000549208,343
HVO_A0180 [D4GQK9] (sph1) Smc-like protein Sph1,0,1,0,1,0,1,0.347342243,1,0.4708108,1,344
HVO_A0177 [D4GQK6] ABC-type transport system ATP-binding protein,0,1,0,1,0,1,0,1,0,1,345
HVO_A0175 [D4GQK4] (cat3) transport protein (probable substrate cationic amino acids),-0.242959092,0.681755931,0.544585469,0.63849564,-0.468039192,0.892395309,1.364279807,0.454440904,1.32468543,0.526354904,346
HVO_A0168 [D4GQJ7] (boa5) HTH-10 family transcription regulator,-0.490617068,0.678721057,0.438954419,0.624356775,0.749960692,0.889708252,-0.539112298,0.436483521,2.357938419,0.001647461,347
HVO_A0165 [D4GQJ4] SNF family transport protein,-2.445796492,0.015067797,9.160700376,1,-0.362454391,0.894233855,3.961896301,0.474679047,7.255493073,1,348
HVO_A0164 [D4GQJ3] conserved hypothetical protein,0,1,0,1,0,1,0,1,0,1,349
HVO_A0162 [D4GQJ1] MATE efflux family protein,-2.338687048,0.689830807,0.723882862,0.657170706,-0.477592319,0.906435578,2.617631404,0.385247873,3.478930461,0.463287945,350
HVO_A0161 [D4GQJ0] TetR family transcription regulator,0,1,0,1,0,1,-2.058306735,0.440895167,-1.036027038,0.618349805,351
HVO_A0160 [D4GQI9] sensor box histidine kinase,-2.012914979,0.699470112,0.074648642,0.695683444,-1.656759251,0.894752903,2.54008889,0.000375006,1.869072858,0.409765182,352
HVO_A0159 [D4GQI8] (aspC4) pyridoxal phosphate-dependent aminotransferase,3.000069959,0.001086455,0.340160431,0.030993717,0.050262147,0.914321641,-1.12471195,0.480059652,-2.066794915,0.430819638,353
HVO_A0158 [D4GQI7] (acs8) acyl-CoA synthetase,0.284714177,0.756934274,0.836809315,1,-0.903195991,0.912414163,-3.689310715,0.302329322,-1.536331093,0.527390871,354
HVO_A0157 [D4GQI6] (boa4) integrase family protein / bat box HTH-10 family transcription regulator,-1.122912163,0.718025974,0.065771243,0.667755397,-0.170959623,0.907685774,2.022780784,0.000375006,2.953187643,0.559320284,355
HVO_A0156 [D4GQI5] (acs7) acyl-CoA synthetase,5.24848612,0.001086455,-0.496797254,0.697659087,1.313393098,0.5437453,-1.598454945,0.000375006,-1.308723544,0.000549208,356
HVO_A0155 [D4GQI4] DUF4212 family protein,0,1,0,1,0,1,-0.568814926,0.475351995,-0.766508596,0.56199101,357
HVO_A0154 [D4GQI3] SSSF family transport protein,4.589421023,0.496859339,5.31794054,0.04527685,1.510990259,0.875099996,2.758772558,0.045535591,1.657030598,0.461080848,358
HVO_A0150 [D4GQH9] (trmB1) TrmB family transcription regulator,0.302828348,0.774860998,-1.617121334,0.00083036,-0.058876688,0.923654195,-1.76406456,0.300577519,-1.903097314,0.435735531,359
HVO_A0148 [D4GQH7] (tsgA4) ABC-type transport system periplasmic substrate-binding protein (probable substrate sugar),0.285316792,0.667905458,0.473037048,0.635315949,0.339180695,0.90065226,0.633120683,0.005623671,0.245828097,0.550927632,360
HVO_A0147 [D4GQH6] (tsgC4) ABC-type transport system permease protein (probable substrate sugar),0,1,0,1,0,1,0,1,0,1,361
HVO_A0141 [D4GQH0] conserved hypothetical protein,0,1,0,1,0,1,0,1,0,1,362
HVO_A0140 [D4GQG9] HD family hydrolase,0,1,0,1,0,1,0,1,0,1,363
HVO_A0133 [D4GQG3] conserved hypothetical protein,-1.03419593,0.308603177,1.206927596,0.00083036,-0.41416777,0.915983197,2.232500297,0.000375006,0.806129239,0.19577455,364
HVO_A0129 [D4GQG0] conserved hypothetical protein,3.98045452,0.197171111,2.323769981,0.565155927,1.492093176,0.902699445,-2.400586697,0.407183458,-1.737786697,0.000549208,365
HVO_A0127 [D4GQF8] (trpS2) tryptophan--tRNA ligase,0,1,0,1,0,1,0,1,0,1,366
HVO_A0121 [D4GQF3] HTH-10 family transcription regulator_NumberOfIdenticalSequences_2,-0.490841838,0.703485269,0.430242938,0.614824068,1.404050479,0.896038589,1.84639006,0.483754868,17.18095583,1,367
HVO_A0114 [D4GQE6] HTH domain protein_NumberOfIdenticalSequences_2,0,1,0,1,0,1,0,1,0,1,368
HVO_A0097 [D4GQC9] (hbd2) 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase,-0.974777403,0.482150223,1.176404595,0.080671655,-0.814659644,0.004001926,2.012929819,0.000375006,1.500544666,0.014207401,369
HVO_A0095 [D4GQC7] amidohydrolase domain protein,0,1,0,1,0,1,12.11022444,1,1.605079698,0.007123608,370
HVO_A0093 [D4GQC5] IclR family transcription regulator,6.701797263,1,-2.645598779,0.00083036,-0.87588272,0.902341391,0,1,0,1,371
HVO_A0092 [D4GQC4] (acd6) acyl-CoA dehydrogenase,-0.775896919,0.698892951,-0.434182096,0.625658128,-0.858868163,0.825563033,0.642317062,0.498838229,-0.382338488,0.591224708,372
HVO_A0088 [D4GQC0] FAD-dependent oxidoreductase (GlcD/DLD_GlcF/GlpC domain fusion protein),-1.073790545,0.669157016,0.895789604,0.493097967,0.951928232,0.866121643,2.323469893,0.000375006,1.481811458,0.000549208,373
HVO_A0087 [D4GQB9] fumarylacetoacetase family protein,0.060734774,0.804233361,-1.859100179,0.004971455,-0.424480721,0.87742528,-1.457094727,0.267158236,-1.934451197,0.121895991,374
HVO_A0085 [D4GQB7] conserved hypothetical protein,-1.377271898,0.794734269,-0.308755462,0.694267346,-1.442192966,0.913267006,3.282982987,0.013858981,1.045080248,0.591871731,375
HVO_A0084 [D4GQB6] amidohydrolase domain protein,0,1,0,1,0,1,0.536457832,0.416745073,-1.016909841,0.580813639,376
HVO_A0067 [D4GQ99] conserved hypothetical protein,-2.367509029,0.719939759,0.909481461,0.627604092,-0.841079228,0.895397864,3.329671007,0.284075902,2.87319261,0.508227325,377
HVO_A0064 [D4GQ96] (orc13) Orc1-type DNA replication protein,0.914035795,0.394312567,-2.066609996,0.673409223,-0.319401146,0.920687651,-3.809133097,0.508864057,-3.006924875,0.515237926,378
HVO_A0061 [D4GQ93] SWIM zinc finger domain protein,0,1,0,1,0,1,0,1,0,1,379
HVO_A0060 [D4GQ92] conserved hypothetical protein,-1.011780324,0.725889177,-1.619428996,0.00083036,0.933966762,0.913267006,1.475384451,0.420495584,0.875778687,0.57523743,380
HVO_A0049 [D4GQ81] DUF21/CBS domain protein,-1.275050885,0.306583896,1.753744424,0.00083036,0.258066679,0.914006571,2.955082965,0.000375006,1.675603971,0.000549208,381
HVO_A0047 [D4GQ79] UspA domain protein<|>HVO_A0496 [D4GRF9] UspA domain protein,-0.27141534,0.722926775,-0.805438856,0.64916188,-0.240366372,0.918617389,0.23698742,0.495491005,0.705178546,0.543483103,382
HVO_A0047 [D4GQ79] UspA domain protein,0.523874567,0.719939759,-2.9218268,0.688274496,-0.80799555,0.927780596,0.538384524,0.510866377,-1.350102057,0.53358438,383
HVO_A0045 [D4GQ77] (htpX3) HtpX-like protease,-1.017397783,0.737758101,1.552930893,0.430968424,0.652700389,0.912734939,2.288529806,0.257966962,1.791439667,0.49797537,384
HVO_A0041 [D4GQ73] hypothetical protein,0,1,0,1,0,1,12.81948158,1,2.037856908,0.488695689,385
HVO_A0039 [D4GQ71] conserved hypothetical protein,0.073517564,0.724545663,1.474330665,0.182137714,5.028269965,0.004000598,2.525680002,0.000375006,5.40044004,0.000549208,386
"HVO_A0035 [D4GQ67] (cetZ4) FtsZ family protein CetZ, type III",0,1,0,1,0,1,0,1,0,1,387
HVO_A0028 [D4GQ60] conserved hypothetical protein,0,1,0,1,0,1,0,1,0,1,388
HVO_A0026 [D4GQ57] (tfb9) transcription initiation factor TFB,-0.092619033,0.711665758,1.248757201,0.683948607,0.273973111,0.902580245,1.03929412,0.454440904,1.181117557,0.544162178,389
HVO_A0021 [D4GQ53] conserved hypothetical protein,0,1,0,1,0,1,0,1,0,1,390
HVO_A0012 [D4GQ44] hypothetical protein,-0.135562892,0.74697364,-0.48851641,0.685972091,1.927688328,0.866799776,-0.303487985,0.494151375,-0.122742597,0.535298047,391
HVO_A0003 [D4GQ36] (parA3) ParA domain protein,-0.841475077,0.714998012,-0.119061882,0.703816407,-0.393251484,0.916904121,0.942270663,0.362854237,1.667915685,0.162541595,392
HVO_3014 [D4GYC9] (oapA) origin-associated GTP-binding protein OapA,-0.234364334,0.765418502,0.266184261,0.704094432,-0.405311364,0.913054562,0.699656688,0.270335315,0.323279433,0.658406515,393
HVO_3013 [D4GYC7] (oapB) origin-associated protein OapB,-0.232392867,0.757669823,-0.784612346,0.683078849,-0.716715332,0.901016765,-0.623761077,0.445302255,-0.410818132,0.617405298,394
HVO_3010 [D4GYC2] (hef) ATP-dependent RNA helicase/nuclease Hef,1.523518901,0.645327786,0.69051869,0.659609732,0.313781621,0.926154774,-0.703083249,0.325735377,-0.5832475,0.485104106,395
HVO_3008 [D4GYB7] UPF0148 family protein,-0.312739872,0.710268285,1.200003707,0.646672076,0.102694216,0.889980233,2.141125182,0.458834012,0.233728118,0.609180545,396
HVO_3007 [Q9P9L2] (mdh) malate dehydrogenase,0.003485036,0.79778726,-0.322943201,0.689708034,-0.691306596,0.546757747,0.494152185,0.571485232,-0.138359458,0.640743108,397
HVO_3002 [D4GYA3] ABC-type transport system ATP-binding protein,-0.80832786,0.701769818,0.708680722,0.372531421,0.401574481,0.896548147,1.27793009,0.008245639,1.770776486,0.000549208,398
HVO_3001 [D4GYA0] ABC-type transport system permease protein,-1.555872698,0.674431293,2.257474185,0.408142142,1.068011745,0.897307496,3.898351427,0.014606895,2.298437193,0.487260562,399
HVO_3000 [D4GY98] (ligN) DNA ligase (NAD),0.45811493,0.77579077,-1.007630679,0.620104885,0.183353022,0.944401648,-1.019080344,0.327128756,-0.856192043,0.49797537,400
HVO_2999 [D4GY96] (metY1) O-acetylhomoserine aminocarboxypropyltransferase (methionine synthase),1.447071741,0.396603989,0.265904797,0.711267329,-0.134954731,0.932047746,-1.300477195,0.271041018,-1.522427053,0.199980128,401
HVO_2998 [D4GY94] (metX) homoserine O-acetyltransferase,-0.205091839,0.79582794,0.091343691,0.728213684,-0.118353602,0.939637224,0.614113679,0.38284185,-0.437849758,0.554293205,402
HVO_2997 [D4GY92] (metY2) O-acetylhomoserine aminocarboxypropyltransferase (methionine synthase),0.338012158,0.775558571,0.358989865,0.709896213,0.269546613,0.935693144,0.479157296,0.535152255,0.586773672,0.613934153,403
HVO_2996 [D4GY91] transport protein (probable substrate phosphate/sulfate),-1.964652556,0.738535388,0.022251823,0.662944271,0.184869908,0.913901297,2.602207372,0.108221465,1.044426736,0.560656547,404
HVO_2995 [D4GY89] (fdx) ferredoxin (2Fe-2S),-4.111364074,0.665390139,-3.533963494,0.531038542,-1.753339403,0.898684303,1.120112561,0.411966936,0.864602971,0.550927632,405
HVO_2993 [D4GY85] (pibD) prepilin/prearchaellin peptidase,-1.888125892,0.155281238,1.159860373,0.209335762,0.180070437,0.921848419,3.685746428,0.000375006,2.259138756,0.014750669,406
HVO_2989 [D4GY77] (pmm4) phosphohexomutase (phosphoglucomutase / phosphomannomutase),0.538575889,0.558851943,-0.414287592,0.625658128,0.027673688,0.964754018,-0.875722086,0.018718194,-0.751863521,0.061137439,407
HVO_2988 [D4GY74] (hisA) 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase,0.642946134,0.050382399,-0.801390271,0.639129234,0.322812177,0.906549938,-1.610004745,0.416403955,-1.127358013,0.539057838,408
HVO_2986 [D4GY70] (hisB) imidazoleglycerol-phosphate dehydratase,0,1,0,1,0,1,0,1,0,1,409
HVO_2985 [D4GY68] conserved hypothetical protein,2.209647144,0.677194514,-0.244211598,0.651021295,1.081930454,0.918117007,-1.017357775,0.466595342,-0.548972109,0.559320284,410
HVO_2981 [D4GY62] (upp) uracil phosphoribosyltransferase,0.325233146,0.788317238,-1.003673066,0.147027225,-0.014203943,0.953652966,-0.749898004,0.334436635,-0.356832072,0.568967551,411
HVO_2977 [D4GY53] (arsA2) ArsA family ATPase,0.569878221,0.710827915,1.237621482,0.647607175,-0.235014222,0.905168165,0.731995811,0.50318567,-1.242598628,0.543143393,412
HVO_2976 [D4GY51] (cstA) carbon starvation protein CstA,-0.004277948,0.742396221,-0.775477494,0.631795565,-0.661534349,0.89979627,1.771626716,0.101259132,0.540241059,0.612035518,413
HVO_2975 [D4GY49] conserved hypothetical protein,-0.571365099,0.845049666,-2.21142319,0.00083036,1.725635392,0.950614117,0.534125952,0.482075623,1.707257068,0.550927632,414
HVO_2969 [D4GY38] (thrC3) threonine synthase,0.432857072,0.675047066,-0.360968321,0.700187454,0.403991466,0.550723083,-0.816658985,0.011240296,-0.17517902,0.71630906,415
HVO_2968 [D4GY36] (serA3) D-3-phosphoglycerate dehydrogenase,0.188553756,0.817766696,-0.275910778,0.673705026,0.058048697,0.970171157,-0.582043357,0.053697782,0.023983011,0.783734813,416
HVO_2967 [D4GY34] conserved hypothetical protein,-0.638422399,0.726692873,0.001035704,0.653490001,3.030656857,0.897559293,1.867937818,0.005248979,2.548593182,0.48402418,417
HVO_2966 [D4GY33] conserved hypothetical protein,0,1,0,1,0,1,0,1,0,1,418
HVO_2965 [D4GY31] (serB) phosphoserine phosphatase,-0.004688934,0.752736107,-0.80405148,0.643856484,0.047499479,0.916802277,-1.118611615,0.000375006,-1.412694262,0.538033838,419
HVO_2961 [Q04829] (lpdA) dihydrolipoyl dehydrogenase,0.829957353,0.275407474,-0.529471713,0.468665423,0.045963815,0.944257319,-1.011211805,0.010117534,-0.808369972,0.103325941,420
HVO_2960 [D4GY19] (dsa1) dihydrolipoamide S-acyltransferase,-0.222893592,0.820000324,0.079598762,0.801103148,-0.143110742,0.944832929,0.716338066,0.068130495,0.122545285,0.712332155,421
HVO_2959 [D4GY17] (oadhB1) 2-oxo-3-methylvalerate dehydrogenase E1 component beta subunit,0.5375849,0.731741344,0.431334715,0.705204935,0.221152943,0.92117324,0.328143114,0.54343732,-0.10968551,0.679587187,422
HVO_2958 [D4GY15] (oadhA1) 2-oxo-3-methylvalerate dehydrogenase E1 component alpha subunit,-1.12234548,0.625598027,0.314942052,0.723966874,-0.661113579,0.885679941,1.822834178,0.146864259,1.532212949,0.403561165,423
HVO_2955 [D4GY08] DEAD/DEAH box helicase,0.785769193,0.713613276,-2.270287193,0.036578013,-1.229879242,0.666638595,-2.251951918,0.049989547,-2.325671237,0.047454118,424
HVO_2952 [O07118] (endA) tRNA-splicing endonuclease,0.625937308,0.726692873,-1.506951567,0.641025352,-0.196737268,0.926971726,-1.617428511,0.451396865,-2.142772714,0.273620585,425
HVO_2951 [D4GY00] (trpS1) tryptophan--tRNA ligase,0.59811728,0.750242471,-1.066218275,0.540239507,-0.77639373,0.83581863,-1.603094256,0.081411599,-1.80695022,0.016921406,426
HVO_2949 [D4GXZ4] FAD-dependent oxidoreductase,-2.334674059,0.690422127,-0.876338727,0.65839169,0.776311615,0.892395309,7.7627114,1,9.749738045,1,427
HVO_2948 [D4GXZ2] (pheS) phenylalanine--tRNA ligase alpha subunit,-0.6915515,0.570922562,0.690697914,0.209335762,0.189455485,0.936498372,1.075829332,0.007496662,1.030969906,0.045865554,428
HVO_2947 [D4GXY9] (pheT) phenylalanine--tRNA ligase beta subunit,-0.584401382,0.655486894,0.079911543,0.814609028,0.078945043,0.955092454,0.69896626,0.217079366,0.663346628,0.350149774,429
"HVO_2946 [D4GXY7] (metB2) cystathionine synthase/lyase (cystathionine gamma-synthase, cystathionine gamma-lyase, cystathionine beta-lyase)",2.673338233,0.359308173,-1.443067744,0.602406263,0.656060638,0.908919101,0.007984429,0.542443972,-0.720992559,0.573261777,430
HVO_2945 [D4GXY5] (valS) valine--tRNA ligase,0.573655437,0.375017948,-0.532109278,0.374034441,-0.621025899,0.091949638,-1.565601405,0.000375006,-1.096927234,0.000549208,431
HVO_2943 [D4GXY2] (pyrD) dihydroorotate dehydrogenase (quinone),-1.175518542,0.664442674,1.225922622,0.004971455,-0.248352648,0.926245949,2.57419325,0.000375131,1.431844238,0.333685083,432
HVO_2932 [D4GXW1] GTP-binding protein,0.829707627,0.009722727,-3.34177933,0.352152717,0.624082766,0.941159151,-3.155746034,0.310378508,-4.43954075,0.504703805,433
HVO_2929 [D4GXV5] probable nucleoside deaminase,0.696236759,0.710548207,-1.940610363,0.232485015,-1.532593426,0.909584837,-2.038970941,0.386278613,-1.804602484,0.306395861,434
HVO_2923 [Q9V2V5] (psmA2) proteasome alpha subunit,0.253142319,0.782682297,1.039053723,0.02214082,1.086954073,0.004000598,0.594210812,0.390055878,0.874381581,0.103325941,435
HVO_2921 [D4GXT7] conserved hypothetical protein,-0.607705633,0.718299992,1.424596377,0.162759166,1.100628183,0.767811171,1.92378002,0.088772884,1.75833242,0.054840761,436
HVO_2918 [D4GXT2] (hts) thymidylate synthase,0.656713439,0.728827267,-1.102465502,0.508573606,0.341451852,0.915674047,-1.998383532,0.000375131,-1.982316909,0.000549208,437
HVO_2916 [D4GXS8] probable oxidoreductase (short-chain dehydrogenase family),0.580087153,0.724545663,0.126456291,0.72556391,-0.596017822,0.868143818,-0.364676809,0.540456572,-0.119190727,0.653263403,438
HVO_2913 [Q03301] (sod2) superoxide dismutase (Mn)<|>HVO_A0475 [Q03300] (sod1) superoxide dismutase (Mn),0.196139549,0.748988874,-0.230640763,0.720756538,0.003825156,0.940629982,-0.288805866,0.501514105,0.809344314,0.534270198,439
HVO_2912 [D4GXS0] ThiJ/PfpI domain protein,0.580538597,0.713335695,-1.275635537,0.503325327,-0.038795892,0.926518869,0.263211757,0.495491005,0.85375497,0.586683499,440
HVO_2911 [D4GXR7] (phr2) deoxyribodipyrimidine photo-lyase,0.38689341,0.724006844,-1.076748605,0.741242548,-0.499968394,0.88764463,-1.445614052,0.000375006,-1.115721966,0.000549208,441
HVO_2908 [D4GXR1] (folP2) dihydropteroate synthase,1.10281649,0.646653363,-0.880420573,0.593503879,-0.236657407,0.925145123,-2.522211544,0.000375006,-2.26998967,0.000549208,442
HVO_2906 [D4GXQ8] tRNA (cytidine/uridine-2'-O-)-methyltransferase,0.366996387,0.719120806,-0.670552313,1,-0.413169454,0.916802277,0.505492393,1,0.816802878,1,443
HVO_2904 [D4GXQ2] (htpX2) HtpX-like protease,-2.061741672,0.696865802,-0.989783812,0.610494117,-0.584708151,0.901500599,0.896511517,0.467269571,0.933295938,0.562657567,444
HVO_2902 [D4GXP9] (gatE) glutamyl-tRNA(Gln) amidotransferase subunit E<|>HVO_A0074 [D4GQA6] AAA-type ATPase domain protein,0,1,0,1,0,1,16.90742059,1,19.22774347,1,445
HVO_2902 [D4GXP9] (gatE) glutamyl-tRNA(Gln) amidotransferase subunit E,-0.170585749,0.827199898,0.267117179,0.725032164,0.241089272,0.92088222,0.652557715,0.034008931,0.850700098,0.000549208,446
HVO_2900 [D4GXP5] (fumC) fumarate hydratase,0.181020777,0.849672572,0.127215738,0.843869487,-0.224051182,0.851832398,0.132931956,0.673177714,0.240062123,0.65961259,447
HVO_2892 [-] spurious ORF,0,1,0,1,0,1,0,1,0,1,448
HVO_2891 [D4GXM4] (tdk) thymidine kinase,1.317380173,0.70858424,0.492733854,0.65594677,0.425849077,0.913160848,-0.616416129,0.453088267,-0.735243348,0.565983634,449
HVO_2889 [D4GXM0] DHH/RecJ family phosphoesterase,-0.203335588,0.842429175,-0.165843312,0.806911571,-0.335584254,0.618679512,-0.234015768,0.487782346,-0.543536231,0.037358924,450
HVO_2888 [D4GXL7] (elp3) homolog to elongator complex protein ELP3,0.105737343,0.746467998,-1.129789566,0.472095582,0.285765642,0.916598228,-0.294565451,0.514534836,1.280837981,0.545179926,451
HVO_2887 [D4GXL6] (mscS4) mechanosensitive channel protein MscS,0,1,0,1,0,1,0,1,0,1,452
HVO_2886 [D4GXL4] GNAT family acetyltransferase,0,1,0,1,0,1,-0.191986325,1,2.291434938,0.677224476,453
HVO_2885 [D4GXL1] (gltP2) SDF family transport protein (probable substrate glutamate/aspartate),0,1,0,1,0,1,0.359551347,0.454778997,10.82046223,1,454
HVO_2884 [D4GXK8] conserved hypothetical protein,-0.953847282,0.718573804,0.37167789,0.681916782,0.642172059,0.88425313,2.659053587,0.000375006,3.523790293,0.156749755,455
HVO_2883 [D4GXK6] DUF814 domain protein,0.354146753,0.781087059,-1.923308071,0.00083036,-0.525652816,0.481932754,-2.545143762,0.000375006,-1.984958081,0.000549208,456
HVO_2882 [D4GXK4] DUF4013 family protein,-0.808007625,0.710827915,1.537001572,0.304985053,1.184763966,0.797219159,2.315668225,0.051102341,2.152901521,0.148496215,457
HVO_2881 [D4GXK2] DUF4013 family protein,-0.881044058,0.686263253,1.84560768,0.148408247,-0.132502557,0.909915877,3.177005888,0.000375006,1.200553316,0.367577663,458
HVO_2880 [D4GXK0] (pelA) mRNA surveillance protein pelota,2.141712271,0.604499425,1.495884817,0.627604092,1.28352026,0.896293702,-0.956593276,0.516201265,0.120696664,0.297006094,459
HVO_2879 [D4GXJ7] ornithine cyclodeaminase family protein,0.75941087,0.742907799,-0.461183347,0.727420315,0.529399799,0.89793576,-0.344495917,0.550053666,0.522899012,0.590901036,460
HVO_2877 [D4GXJ3] major facilitator superfamily transport protein,0.103901762,0.731477412,3.036790284,0.513774867,1.6300737,0.04615974,3.234896103,0.348322279,0.527938142,0.584730787,461
HVO_2876 [D4GXJ2] DUF3054 family protein,-1.330983884,0.678111172,1.586265339,0.273169949,-0.264931479,0.910025955,2.480722449,0.011240296,1.029868509,0.572272462,462
HVO_2875 [D4GXJ1] probable S-adenosylmethionine-dependent methyltransferase,-0.400567493,0.742140151,1.69266064,0.00083036,0.365696073,0.901379872,2.895617478,0.000375006,2.335959838,0.000549208,463
HVO_2873 [D4GXI8] (fen1) flap endonuclease Fen1,-0.891906068,0.725083673,-0.659330999,0.613827993,0.062881788,0.926245949,-0.169794845,0.47871514,-0.270132729,0.611718716,464
HVO_2872 [D4GXI2] conserved hypothetical protein,-0.923419053,0.688348428,1.081499412,0.001660448,0.508524622,0.918117007,2.127236561,0.000375006,1.990831856,0.077257248,465
HVO_2871 [D4GXI1] pyridoxal phosphate-dependent aminotransferase,2.825156054,0.001086455,0.272748918,0.706036137,-0.891766201,0.895526346,-0.350702584,0.50686079,-1.322794762,0.131322485,466
HVO_2870 [D4GXH9] AI-2E family transport protein,0,1,0,1,0,1,0,1,0,1,467
HVO_2865 [D4GXG9] (folD) methylenetetrahydrofolate dehydrogenase / methenyltetrahydrofolate cyclohydrolase,0.612033277,0.741370816,0.533263288,0.700467572,0.374401576,0.925697374,-0.254857092,0.459171756,0.116874933,0.644424733,468
HVO_2864 [D4GXG5] DUF125 family protein,8.086989517,1,-1.818527157,0.001660448,0.761513976,0.136973724,0,1,0,1,469
HVO_2862 [D4GXG2] (glyA1) serine hydroxymethyltransferase<|>HVO_B0004 [D4GP05] (glyA2) serine hydroxymethyltransferase,0.433023489,0.739827059,0.129507526,0.751408854,0.050948556,0.939174578,-0.225233304,0.521196617,0.279021686,0.083954992,470
HVO_2862 [D4GXG2] (glyA1) serine hydroxymethyltransferase,0.059428891,0.870389255,-0.021691948,0.821312978,0.301313221,0.788544873,-0.392138257,0.367342304,0.241866636,0.619921927,471
HVO_2861 [D4GXF9] conserved hypothetical protein,0.564526407,0.677500311,-0.410081189,0.691993005,-0.213026954,0.94055408,-0.916653803,0.130136206,-0.067396108,0.673669147,472
HVO_2860 [D4GXF8] DUF181 family protein,-0.870180868,0.74596162,-0.243406014,0.697659087,-0.388237659,0.913901297,0.522931303,0.454778997,1.221033734,0.548226957,473
HVO_2859 [D4GXF7] DUF63 family protein,12.19447588,1,8.233844165,1,-3.638114593,0.893712048,0,1,0,1,474
HVO_2858 [D4GXF3] Lrp/AsnC family transcription regulator,0.757591852,0.016132027,1.009888799,0.000830637,0.082594677,0.907233127,0.357252525,0.613697226,1.997658303,0.487619532,475
"HVO_2857 [D4GXF0] (suhB1) probable inositol-1(or 4)-monophosphatase / fructose-1,6-bisphosphatase, archaeal-type",-0.861869854,0.643664588,-0.278001145,0.71725399,-0.626998958,0.831813168,0.690836288,0.474005992,1.208942517,0.391044187,476
HVO_2850 [D4GXD2] conserved hypothetical protein,-0.152095442,0.748988874,-3.445602895,0.64916188,-0.24927738,0.916904121,-1.446369269,0.507528651,-0.228767095,0.571282152,477
HVO_2849 [D4GXC9] (prkA2) probable PrkA-type serine/threonine protein kinase,-1.149591494,0.674739303,-1.386045052,0.63976205,-0.572014754,0.905861637,1.324265334,0.471986186,2.547255406,0.182593392,478
HVO_2848 [D4GXC8] (prkA1) probable PrkA-type serine/threonine protein kinase,-1.083635548,0.713335695,-1.355621127,0.63849564,0.377450707,0.901016765,1.302357814,0.104558442,3.480591992,0.000549208,479
HVO_2847 [D4GXC6] UPF0229 family protein,0.72155455,0.708021168,-1.367554942,0.608147849,-1.036829172,0.918117007,0.30306325,0.501514105,3.623387646,0.434225389,480
