"Protein.ID","H26_vs_DksgA","H26_vs_DksgA_KsgA","H26_vs_DksgA_ksgA_E84A"
"564","HVO_2826 [D4GX78] conserved hypothetical protein",-0.125605961,-0.58900914,-1.072697067
"565","HVO_2825 [D4GX76] conserved hypothetical protein",0.018006965,1.502228235,0.821333905
"566","HVO_2815 [D4GX56] (hbd1) 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase",0.078062554,-1.640657323,-1.993627276
"567","HVO_2814 [D4GX55] DNA N-glycosylase",-0.42166253,0.01469214,-0.279264663
"568","HVO_2813 [D4GX49] RimK family protein",-0.141142488,-0.2541686,-0.359471559
"569","HVO_2812 [D4GX45] AstE domain protein",0.182135669,-1.10254544,-1.016970408
"570","HVO_2811 [D4GX42] (sdhC) succinate dehydrogenase subunit C",1.299717774,0.542127091,0.69816916
"571","HVO_2809 [D4GX40] (sdhB) succinate dehydrogenase subunit B",0.077713374,-0.690655253,-0.821317363
"572","HVO_2808 [D4GX38] (sdhA) succinate dehydrogenase subunit A",0.008896575,-0.247580909,-0.359662613
"573","HVO_2806 [D4GX37] HTH domain protein",-0.979589531,-0.516352858,-0.600221424
"574","HVO_2805A [D4GX35] small CPxCG-related zinc finger protein",-0.509983197,-0.659854478,0.991623758
"575","HVO_2798 [D4GX20] (livJ3) ABC-type transport system periplasmic substrate-binding protein (probable substrate branched-chain amino acids)",0.561224311,2.434157989,3.754116069
"576","HVO_2797 [D4GX19] (udk) uridine kinase",-0.139656482,-0.051995448,-0.140797896
"577","HVO_2796 [D4GX17] conserved hypothetical protein",-0.372153023,1.454989673,1.033981797
"578","HVO_2793 [D4GX15] conserved hypothetical protein",-0.385520607,-0.326704717,-0.645160234
"579","HVO_2792 [D4GX13] (udg2) uracil-DNA glycosylase superfamily protein",0.244914943,0.172351739,0.5102156
"580","HVO_2791 [D4GX12] conserved hypothetical protein",-0.578131071,1.321911922,1.197735235
"581","HVO_2790 [D4GX09] (apbC1) Fe-S cluster carrier protein ApbC",-0.105306639,0.816602213,0.535756092
"582","HVO_2789 [D4GX07] (moaA) GTP 3',8-cyclase",-0.065048705,0.074713888,-0.127767422
"583","HVO_2787 [D4GX01] small CPxCG-related zinc finger protein",-0.176135196,0.167287724,0.032111779
"584","HVO_2786 [D4GX00] (trxA5) thioredoxin",-0.120706803,2.276926511,2.529106009
"585","HVO_2784 [D4GWZ7] (rps13) 30S ribosomal protein S13",-0.035230481,0.370141571,0.173312474
"586","HVO_2783 [D4GWZ3] (rps4) 30S ribosomal protein S4",0.163334231,-0.370200002,-0.510410578
"587","HVO_2782 [D4GWZ1] (rps11) 30S ribosomal protein S11",0.331011019,-0.431955353,-0.405110911
"588","HVO_2781 [D4GWY4] (rpoD) DNA-directed RNA polymerase subunit D",0.358476753,-0.000203962,-0.007861111
"589","HVO_2779 [D4GWY3] (rpl18e) 50S ribosomal protein L18e",0.246869073,-0.712784783,-0.711085183
"590","HVO_2778 [D4GWY1] (rpl13) 50S ribosomal protein L13",0.202953101,-0.024512229,0.03419127
"591","HVO_2777 [D4GWX7] (rps9) 30S ribosomal protein S9",0.224828242,-0.724423919,-0.70716975
"592","HVO_2776 [D4GWX5] (rpoN) DNA-directed RNA polymerase subunit N",0.077068495,0.50298657,0.706479816
"593","HVO_2775 [D4GWX4] (rpoK) DNA-directed RNA polymerase subunit K",-0.330754879,-1.177923859,-0.59116068
"594","HVO_2774 [D4GWX0] (eno) enolase",-0.286470722,0.039752472,0.004057867
"595","HVO_2773 [D4GWW8] (rps2) 30S ribosomal protein S2",-0.280316269,0.583454523,0.758448482
"596","HVO_2772 [D4GWW6] rhodanese domain protein / beta-lactamase domain protein",0.182069179,-1.073555544,-0.380813539
"597","HVO_2771 [D4GWW4] glyoxalase domain protein",-0.3770079,-0.516937439,-1.077631167
"598","HVO_2770 [D4GWW1] DUF2342 family protein",-0.090009303,-0.190617164,-0.327653073
"599","HVO_2769 [D4GWV8] conserved hypothetical protein",0.496734435,1.497387512,1.385612725
"600","HVO_2767 [D4GWV5] (dna2) ATP-dependent DNA helicase Dna2",1.209582127,-0.66130162,-0.629994267
"601","HVO_2766 [D4GWV3] (lhr1) ATP-dependent DNA helicase",0.676004597,-1.206081139,-1.29815474
"602","HVO_2763 [D4GWU3] homolog to ribonuclease Z",-0.753634439,-1.113204481,-0.907440333
"603","HVO_2762 [D4GWT7] isopentenyl phosphate kinase",0.044637475,0.585224289,0.65497127
"604","HVO_2761 [D4GWT5] (mvk) mevalonate kinase",-0.131620552,0.368419684,0.578814716
"605","HVO_2760 [D4GWT3] conserved hypothetical protein",1.142801295,4.192345549,3.96788996
"606","HVO_2759 [D4GWT1] peptidase M42 family protein",-0.226756387,0.489604618,0.254028529
"607","HVO_2758 [P41200] (rpl11) 50S ribosomal protein L11",-0.130413011,1.006254392,1.147224844
"608","HVO_2757 [P41199] (rpl1) 50S ribosomal protein L1",0.124871091,0.560187303,0.539555807
"609","HVO_2756 [P41198] (rpl10) 50S ribosomal protein L10",-0.409784197,0.623855525,0.485071763
"610","HVO_2753 [D4GWB3] small CPxCG-related zinc finger protein",-0.406087365,1.252391035,1.409112272
"611","HVO_2752 [D4GWB1] (tef1b) translation elongation factor aEF-1 beta",-0.613927463,-0.344199508,0.018342338
"612","HVO_2751 [D4GWA9] conserved hypothetical protein",-0.913731865,2.342510412,2.836039906
"613","HVO_2750 [D4GWA7] (metB1) cystathionine synthase/lyase (cystathionine gamma-synthase, cystathionine gamma-lyase, cystathionine beta-lyase)",-0.309945538,-0.061376411,0.096385094
"614","HVO_2749 [D4GWA6] (rpl21e) 50S ribosomal protein L21e",-0.030110797,1.01809117,0.554334276
"615","HVO_2748 [D4GWA3] (rpoF) DNA-directed RNA polymerase subunit F",-0.347853562,1.329500028,1.249551177
"616","HVO_2747 [D4GWA2] putative tRNA-specific adenosine deaminase",-0.149161753,1.89742517,1.714881082
"617","HVO_2746 [D4GWA1] (ksgA) ribosome biogenesis protein KsgA, 16S rRNA-methylating",-4.057004482,-0.81535086,-0.715549755
"618","HVO_2745 [D4GW98] (mscS5) mechanosensitive channel protein MscS",0.543223231,-0.448300231,-0.091932
"619","HVO_2744 [D4GW96] (prmC) release factor glutamine methyltransferase PrmC",-0.337524753,-0.639523654,-0.955466451
"620","HVO_2743 [D4GW95] (metE2) 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase (methionine synthase II)",-0.090184084,0.425354689,0.912144244
"621","HVO_2742 [D4GW90] (metE1) 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase (methionine synthase II)",-0.17210088,0.613003485,1.029132396
"622","HVO_2740 [D4GW84] (ndk) nucleoside-diphosphate kinase",-0.182100282,-0.256660771,-0.882330696
"623","HVO_2739 [D4GW81] (rpl24e) 50S ribosomal protein L24e",-0.341152673,0.607302761,0.487830344
"624","HVO_2738 [D4GW78] (rps28e) 30S ribosomal protein S28e",-0.168472212,0.94355638,0.984011418
"625","HVO_2737 [D4GW76] (rpl8e) 50S ribosomal protein L8e",-0.629601551,1.289675191,1.172154482
"626","HVO_2736 [D4GW73] (tmcA) tRNA(Met) cytidine acetyltransferase TmcA",0.566166563,-0.90245273,-0.792755949
"627","HVO_2735 [D4GW70] conserved hypothetical protein",-0.68055983,0.161375687,0.141529934
"628","HVO_2730 [D4GW61] (etfB2) electron transfer flavoprotein beta subunit",0,0,0
"629","HVO_2729 [D4GW59] (ferB2) ferredoxin (3Fe-4S)(4Fe-4S), zinc-containing",0.010783993,0.173334758,0.094363506
"630","HVO_2727 [D4GW54] cyclase family protein",-0.039433582,0.834953602,0.776379475
"631","HVO_2726 [D4GW53] (gltS) glutamate--tRNA(Glu/Gln) ligase",-0.036725677,-0.263342915,-0.201250789
"632","HVO_2725 [D4GW51] (idsA1) bifunctional short chain isoprenyl diphosphate synthase",0.559327108,-0.371730096,0.161208348
"633","HVO_2724 [D4GW49] (rnj) ribonuclease J",0.683734318,-1.289213001,-0.952189938
"634","HVO_2723 [D4GW47] (lsm) RNA-binding protein Lsm",0.535267623,1.308304994,1.362062702
"635","HVO_2722 [D4GW44] (rpl37e) 50S ribosomal protein L37e",0.031497764,-0.630729807,-0.820356115
"636","HVO_2721 [D4GW43] (purF) amidophosphoribosyltransferase",0.565323736,-1.200267436,-1.098176207
"637","HVO_2718 [D4GW38] cro/C1 family transcription regulator",0.118353029,0.940840576,0.943579469
"638","HVO_2717 [D4GW34] (alaS2) alanine--tRNA ligase",0.022466429,-2.58211009,-3.003705418
"639","HVO_2716 [D4GW32] (acd5) acyl-CoA dehydrogenase",-0.049215264,-1.743542618,-1.944850697
"640","HVO_2715 [D4GW29] HAD superfamily hydrolase",-0.27761629,1.555093973,1.542746905
"641","HVO_2714 [D4GW27] conserved hypothetical protein",0.024242551,1.740893995,1.552348824
"642","HVO_2712 [D4GW23] (rtcB) tRNA-splicing ligase RtcB",-0.011030907,-0.675877025,-0.540468894
"643","HVO_2711 [D4GW21] DoxX domain protein",1.767357021,1.726896942,1.852064067
"644","HVO_2710 [D4GW19] homolog to archaease",0.04641554,1.079669312,0.844266745
"645","HVO_2709 [D4GW16] GNAT family acetyltransferase",1.060717631,-0.947871361,-0.760792204
"646","HVO_2708 [D4GW14] YfiH family protein",0.267908201,-1.540209449,-1.889596884
"647","HVO_2707 [D4GW10] GFO family oxidoreductase",0.554673883,-2.160509025,-2.285066101
"648","HVO_2706 [D4GW08] eIF-2B domain protein",0.00381138,0.064398126,-0.089981577
"649","HVO_2704 [D4GW04] DUF1628 domain protein",0.410955562,0.195262631,0.153563437
"650","HVO_2703 [D4GW03] (panB2) 3-methyl-2-oxobutanoate hydroxymethyltransferase",-0.547809675,1.231071254,1.090784311
"651","HVO_2702 [D4GVT1] alpha/beta hydrolase fold protein",0.553492775,0.412767776,0.663702186
"652","HVO_2700 [D4GVS7] (cdc48b) AAA-type ATPase (CDC48 subfamily)",-0.68973217,0.940800811,0.955770898
"653","HVO_2699 [D4GVS5] (bcp1) peroxiredoxin",-0.245327456,0.836556308,0.697548975
"654","HVO_2698 [D4GVS3] (ginS) DNA replication factor GINS",-0.679560143,1.00643443,0.881286822
"655","HVO_2697 [D4GVS1] (priS) DNA primase small subunit",-0.174978076,0.432743206,0.189077072
"656","HVO_2695 [D4GVR7] (tsgA3) ABC-type transport system periplasmic substrate-binding protein (probable substrate sugar)",0.702531296,-2.501885238,-3.259221052
"657","HVO_2694 [D4GVR5] (tsgB3) ABC-type transport system permease protein (probable substrate sugar)",0.721917708,0.483878859,1.158880731
"658","HVO_2693 [D4GVR3] (tsgC3) ABC-type transport system permease protein (probable substrate sugar)<|>HVO_A0146 [D4GQH5] (tsgB4) ABC-type transport system permease protein (probable substrate sugar)",0.968101651,-2.501370354,0.221056077
"659","HVO_2693 [D4GVR3] (tsgC3) ABC-type transport system permease protein (probable substrate sugar)",0.93253369,-1.963365134,-3.026008165
"660","HVO_2692 [D4GVR2] (tsgD3) ABC-type transport system ATP-binding protein (probable substrate sugar)<|>HVO_A0145 [D4GQH4] (tsgD4) ABC-type transport system ATP-binding protein (probable substrate sugar)",0.084894672,-1.908699171,-2.309852949
"661","HVO_2692 [D4GVR2] (tsgD3) ABC-type transport system ATP-binding protein (probable substrate sugar)",0.151869214,-2.543317877,-2.789783715
"662","HVO_2690 [D4GVQ6] GFO family oxidoreductase",0.655714209,-1.313251594,-1.511225016
"663","HVO_2689 [D4GVQ4] conserved hypothetical protein",0.182273507,0.091244755,-0.113890547
"664","HVO_2688 [D4GVQ2] (trmB) TrmB family transcription regulator TrmB",0.096518639,-0.542869784,-0.728821629
"665","HVO_2685 [D4GVP5] (mscS3) mechanosensitive channel protein MscS",0.768403989,2.603620344,3.646883302
"666","HVO_2684 [D4GVP1] UspA domain protein",0.381129808,-1.019233241,-1.051295262
"667","HVO_2683 [D4GVN9] 5'-nucleotidase family hydrolase",0.228551218,-1.550314492,-1.433360809
"668","HVO_2682 [D4GVN8] dodecin",0.159823018,-0.29004596,-0.769873323
"669","HVO_2681 [D4GVN6] HTH domain protein",0.826021018,-0.154360886,-0.222262664
"670","HVO_2679 [D4GVN1] conserved hypothetical protein",-0.534324472,6.356764758,9.254746335
"671","HVO_2677 [D4GV54] conserved hypothetical protein",0.03738743,0.3909217,0.339322235
"672","HVO_2676 [D4GV53] HesB/IscA family iron-sulfur cluster assembly accessory protein",-0.184923805,0.804077575,0.523634532
"673","HVO_2675 [D4GV52] (hisD) histidinol dehydrogenase",0.17106871,-0.386044157,-0.032016949
"674","HVO_2671 [D4GV47] pyridoxal phosphate-dependent aminotransferase",-0.468670128,-1.081046283,-1.524005668
"675","HVO_2670 [D4GV46] FAD-dependent oxidoreductase (GlcD/DLD_GlcF/GlpC domain fusion protein)",0.164145988,0.215405468,1.07682671
"676","HVO_2668 [D4GV42] (thiE) thiamine-phosphate synthase",-0.084811255,0.471360356,0.110297407
"677","HVO_2667 [D4GV40] (thiM) hydroxyethylthiazole kinase",-0.434625725,-0.200577247,-0.05431682
"678","HVO_2666 [D4GV38] (thiD) phosphomethylpyrimidine kinase / phosphomethylpyrimidine phosphate kinase",-0.184756219,-0.609332013,-0.522145713
"679","HVO_2665 [D4GV36] HpcH/HpaI aldolase family protein",0.356874106,0.595090986,0.797737381
"680","HVO_2664 [D4GV35] probable S-adenosylmethionine-dependent methyltransferase",0.737911679,2.461162684,2.750456355
"681","HVO_2663 [D4GV33] probable oxidoreductase (aldo-keto reductase family protein)",-0.151679001,0.801566259,0.529874311
"682","HVO_2662 [D4GV31] glyoxalase domain protein",0.547433827,0.957553358,1.221440918
"683","HVO_2661 [D4GV29] pyridoxal phosphate-dependent aminotransferase",-0.024647124,0.339311934,0.301371873
"684","HVO_2660 [D4GV24] receiver/sensor box histidine kinase",0.390308308,-0.065299726,-0.582388584
"685","HVO_2659 [D4GV27] probable tautomerase",0.052402088,-0.879274305,-1.115157122
"686","HVO_2655 [D4GV15] (narB2) Rieske-type (2Fe-2S) iron-sulfur protein",-1.217001063,-1.808509243,-1.910929111
"687","HVO_2654 [D4GV13] (narC2) homolog to respiratory nitrate reductase b-type cytochrome subunit",-0.067189247,1.982833462,3.910322294
"688","HVO_2650 [D4GV06] FAD-dependent oxidoreductase (homolog to geranylgeranyl reductase)",0.482393242,-1.176346408,-0.962637512
"689","HVO_2648 [D4GV02] (serA2) probable D-2-hydroxyacid dehydrogenase",-0.100246776,0.011942699,-0.092591779
"690","HVO_2646 [D4GUY2] (ilvD) dihydroxy-acid dehydratase",0.056232295,0.248230526,0.531016312
"691","HVO_2645 [D4GUY1] (moaB) molybdopterin adenylyltransferase",0.331439108,-0.34169418,-0.012310366
"692","HVO_2644 [D4GUX8] HTH domain protein",0,0,0
"693","HVO_2643 [D4GUX6] (qor1) NADPH:quinone reductase",-0.435889229,-1.131281905,-1.127103256
"694","HVO_2640 [D4GUX0] conserved hypothetical protein",0.570042356,-0.631031966,-0.761307137
"695","HVO_2639 [D4GUW8] DUF1611 family protein",-0.100989279,0.224064743,0.479279879
"696","HVO_2638 [D4GUW6] homolog to dipeptide epimerase",0.229085111,-0.856810872,-0.660609077
"697","HVO_2637 [D4GUW4] conserved hypothetical protein",0.033874146,1.308906179,3.265109888
"698","HVO_2636 [D4GUW2] (pspA) PspA domain protein",0.211593001,1.588437008,1.732231393
"699","HVO_2635 [D4GUJ4] alpha/beta hydrolase fold protein",0.130088286,0.715994937,0.730147277
"700","HVO_2634 [D4GUJ2] conserved hypothetical protein",1.553208725,1.781696321,1.470150086
"701","HVO_2632 [D4GUI9] (tfs2) transcription elongation factor TFS",-0.367844587,1.549135864,1.395634568
"702","HVO_2631 [D4GUI6] conserved hypothetical protein",0.187559662,0.943997277,0.746758165
"703","HVO_2630 [D4GUI4] conserved hypothetical protein",0.346468018,1.4296331,1.236971178
"704","HVO_2629 [D4GUI2] conserved hypothetical protein",0.240140335,-0.639367475,-1.014774121
"705","HVO_2628 [D4GUI0] GHMP family kinase (homolog to beta-ribofuranosylaminobenzene 5'-phosphate synthase)",0.371470148,-0.792981812,-1.233317732
"706","HVO_2626 [D4GUH0] conserved hypothetical protein",-0.373566578,0.444417186,0.031225526
"707","HVO_2625 [D4GUG8] (guaAb) GMP synthase (glutamine-hydrolyzing) subunit B",0.104372669,-0.629316208,-0.734528898
"708","HVO_2624 [D4GUG6] (pyrG) CTP synthase",0.22822112,-0.971094382,-1.0561204
"709","HVO_2623 [D4GUG4] (maa) maltose O-acetyltransferase",-0.390572619,0.842298908,0.852906619
"710","HVO_2622 [D4GUG2] probable oxidoreductase (aldo-keto reductase family protein)",-0.17250268,1.436283718,1.518081475
"711","HVO_2621A [A0A1C9J6X7] small CPxCG-related zinc finger protein",-0.379726262,-1.61340217,-1.501103959
"712","HVO_2621 [D4GUG0] (ppc) phosphoenolpyruvate carboxylase",-0.036451776,-0.101759938,-0.136481
"713","HVO_2620 [D4GUF8] (petA) cytochrome bc1 complex Rieske iron-sulfur protein",0.197416532,-1.455064844,-1.276890634
"714","HVO_2619 [D4GUF6] (samp1) ubiquitin-like modifier protein SAMP1",0.105563198,1.234450376,1.156116991
"715","HVO_2618 [D4GUF4] TrkA-C domain protein",0.192345193,-0.552090711,-0.441923968
"716","HVO_2617 [D4GUF1] TrkA-C domain protein",0.891251997,-1.207229585,-1.071345187
"717","HVO_2616 [D4GUE9] (pchA2) ion channel pore / TrkA domain protein",-0.03999665,0.606381659,0.565958165
"718","HVO_2614 [D4GUE6] (udp2) uridine phosphorylase",-0.014251398,-0.261491989,-0.178177928
"719","HVO_2612 [D4GUE3] PfkB family kinase",0.472128649,-0.679905478,-0.890140735
"720","HVO_2610 [D4GUD9] (deoC) deoxyribose-phosphate aldolase",-0.161896944,1.165875086,1.189217667
"721","HVO_2607 [D4GUD2] PQQ repeat protein",-0.135005242,0.213452606,-0.338203354
"722","HVO_2606 [D4GUC9] PQQ repeat protein",-0.176173897,-1.910735809,-1.87741036
"723","HVO_2605 [D4GUC8] MiaB-like tRNA modifying enzyme",0.525972521,-0.531965606,-0.759450509
"724","HVO_2604 [D4GUC6] GNAT family acetyltransferase",1.073533039,1.229134013,1.784078457
"725","HVO_2603 [D4GUC5] (sec11a) signal peptidase I",0.64291672,5.299358872,-1.217571898
"726","HVO_2602 [D4GUC2] transport protein (probable substrate zinc/cadmium/cobalt)",1.363292346,-0.458362152,-0.756570233
"727","HVO_2601 [D4GUC0] (hit2) histidine triad family protein (homolog to bis(5'-nucleosyl)-tetraphosphatase)",-0.442650895,0.478495274,0.709125704
"728","HVO_2600 [D4GUB9] (map) methionine aminopeptidase",-0.190331873,0.819753582,0.747480081
"729","HVO_2598 [D4GUB5] (ppk2) polyphosphate kinase",0.233149862,-0.426548986,-0.746474824
"730","HVO_2592 [D4GUA5] thioredoxin domain protein",-0.276526892,1.669689927,2.031422601
"731","HVO_2590 [D4GU98] probable oxidoreductase (short-chain dehydrogenase family)",-0.441219679,-0.790617808,-0.950732768
"732","HVO_2589 [D4GU97] (ansA) asparaginase family protein",-0.25372425,0.579594394,0.423936811
"733","HVO_2588 [D4GU92] (icd) isocitrate dehydrogenase (NADP)",-0.457429571,-0.690830815,-0.951259186
"734","HVO_2584 [D4GU20] conserved hypothetical protein",0.591933601,0.471194609,0.429031066
"735","HVO_2583 [Q59468] (hmgA) hydroxymethylglutaryl-CoA reductase (NADPH)",0.171037389,-0.803156329,-1.050673522
"736","HVO_2580 [D4GU13] (nadB) L-aspartate oxidase",-0.138581972,0.216757536,-0.013327247
"737","HVO_2579 [D4GU12] (nadC) nicotinate-nucleotide pyrophosphorylase (carboxylating)",0,0,0
"738","HVO_2577 [D4GU07] (pyrF) orotidine-5'-phosphate decarboxylase",-0.019708797,0.513904773,0.464055145
"739","HVO_2576 [D4GU06] DnaJ N-terminal domain protein",0.798085457,-0.30642249,-0.274978651
"740","HVO_2574 [D4GU04] conserved hypothetical protein",-0.21585278,1.490992661,1.563194264
"741","HVO_2573 [D4GU03] (mch) probable methenyltetrahydrofolate cyclohydrolase",-0.11786336,0.055017736,0.082149693
"742","HVO_2572 [D4GU02] UPF0045 family protein",0.059354806,1.151153645,1.085760938
"743","HVO_2569 [D4GTZ9] conserved hypothetical protein",-0.288735291,1.629966375,1.231354195
"744","HVO_2565 [D4GTZ7] DUF171 family protein",0.739959502,-1.847341923,-1.768810827
"745","HVO_2564 [D4GTZ6] (rpl3) 50S ribosomal protein L3",0.46282734,-1.452656356,-1.233955713
"746","HVO_2563 [D4GTZ5] (rpl4) 50S ribosomal protein L4",-0.145744016,-0.435528167,-0.468752795
"747","HVO_2562 [D4GTZ4] (rpl23) 50S ribosomal protein L23",0.131586871,-0.036506781,-0.219532779
"748","HVO_2561 [D4GTZ3] (rpl2) 50S ribosomal protein L2",0.564166427,-1.936969875,-1.842230909
"749","HVO_2560 [D4GTZ2] (rps19) 30S ribosomal protein S19",-0.197909727,-0.242109196,-0.097615357
"750","HVO_2559 [D4GTZ1] (rpl22) 50S ribosomal protein L22",-0.121694336,0.713344172,0.765842748
"751","HVO_2558 [D4GTZ0] (rps3) 30S ribosomal protein S3",0.085040756,0.447568903,0.403749747
"752","HVO_2557 [D4GTY9] (rpl29) 50S ribosomal protein L29",-0.318997588,0.486291165,0.329512171
"753","HVO_2556 [D4GTY8] (rnp1) ribonuclease P protein component 1",0.049839589,1.168768948,0.978406292
"754","HVO_2555 [D4GTY7] (rps17) 30S ribosomal protein S17",0.27598176,-0.64429397,-0.431598196
"755","HVO_2554 [D4GTY6] (rpl14) 50S ribosomal protein L14",0.584577567,-1.032466752,-0.96030261
"756","HVO_2553 [D4GTY5] (rpl24) 50S ribosomal protein L24",-0.039681438,0.541340901,0.370854725
"757","HVO_2552 [D4GTY4] (rps4e) 30S ribosomal protein S4e",0.225424258,0.021976457,-0.036220563
"758","HVO_2551 [P50559] (rpl5) 50S ribosomal protein L5",0.267440661,0.189595152,0.313804465
"759","HVO_2550 [D4GTY2] (rps14) 30S ribosomal protein S14",-0.5480394,0.098884406,-0.179968819
"760","HVO_2549 [D4GTY1] (rps8) 30S ribosomal protein S8",0.175309054,-0.16416301,0.027170476
"761","HVO_2548 [D4GTY0] (rpl6) 50S ribosomal protein L6",0.016999342,0.235458619,0.292857784
"762","HVO_2547 [D4GTX9] (rpl32e) 50S ribosomal protein L32e",0.158206096,0.531737068,0.485525495
"763","HVO_2546 [D4GTX8] (rpl19e) 50S ribosomal protein L19e",-0.145614488,-0.061462929,-0.131089814
"764","HVO_2545 [P50563] (rpl18) 50S ribosomal protein L18",0.21562575,-1.214441341,-1.362907185
"765","HVO_2544 [D4GTX6] (rps5) 30S ribosomal protein S5",0.266984999,-0.859262055,-0.730827918
"766","HVO_2543 [D4GTX5] (rpl30) 50S ribosomal protein L30",0.129543744,0.899363116,0.810315815
"767","HVO_2542 [D4GTX4] (rpl15) 50S ribosomal protein L15",-0.171965407,0.657607132,0.630519201
"768","HVO_2541 [Q977V3] (secY1) protein translocase subunit SecY<|>HVO_A0174 [D4GQK3] (secY2) protein translocase subunit SecY",1.050188021,-1.096782029,-0.959069906
"769","HVO_2541 [Q977V3] (secY1) protein translocase subunit SecY",0.860386079,-1.223549948,-1.453825478
"770","HVO_2540 [D4GTX2] conserved hypothetical protein",-0.755954021,1.146277343,1.048150908
"771","HVO_2539 [D4GTX1] conserved hypothetical protein",-0.129064428,0.786476139,1.07512536
"772","HVO_2538 [D4GTX0] alpha/beta hydrolase fold protein",0.98438401,-0.322806627,-0.115651881
"773","HVO_2537 [D4GTW9] conserved hypothetical protein",-0.256729585,1.626712056,1.201018391
"774","HVO_2536 [D4GTW8] TIGR00300 family protein",-0.262587249,1.266204567,1.319612152
"775","HVO_2534 [D4GTW6] UspA domain protein",0.608923722,0.717626643,0.58627463
"776","HVO_2533 [D4GTW5] conserved hypothetical protein",0.131489244,-0.352959187,-0.299149471
"777","HVO_2530 [D4GTW3] homolog to phosphoribosylamine--glycine ligase",0.768271366,-0.591167297,-0.697028515
"778","HVO_2529 [D4GTW1] probable oxidoreductase (short-chain dehydrogenase family)",0.180078436,0.987270867,0.911285027
"779","HVO_2528 [D4GTW0] (crtD) carotenoid 3,4-desaturase",0.870680319,-0.148556218,0.299145824
"780","HVO_2524 [D4GTV6] (crtB) phytoene synthase",0.494782211,2.193417441,5.277458764
"781","HVO_2522 [D4GTV4] Lrp/AsnC family transcription regulator",0.625747596,3.520575037,4.121392737
"782","HVO_2521 [D4GTV3] DUF21/CBS domain protein",0.247936583,-0.82242825,-1.10517821
"783","HVO_2519 [D4GTV1] conserved hypothetical protein",0.377195694,0.267466771,0.402627293
"784","HVO_2516 [D4GTU8] (gpmI) phosphoglycerate mutase, 2,3-biphosphateglycerate-independent type",-0.086057168,0.145044391,0.188807782
"785","HVO_2514 [D4GTU6] (cmi2) ArsR family transcription regulator",0.113195154,0.104898683,0.140826982
"786","HVO_2513 [D4GTU5] conserved hypothetical protein",0.576582266,-0.092617106,-0.596156531
"787","HVO_2511 [D4GTU3] (gatD) glutamyl-tRNA(Gln) amidotransferase subunit D",0.500150652,-0.471173732,-0.479671451
"788","HVO_2510 [D4GTU2] GNAT family acetyltransferase",0.469618967,-0.765295014,-0.836244287
"789","HVO_2509 [D4GTU1] sensor box histidine kinase",0,0,0
"790","HVO_2508 [D4GTU0] (carA) carbamoyl-phosphate synthase (glutamine-hydrolyzing) small subunit",-0.220687015,-0.294785757,-0.055091134
"791","HVO_2507 [D4GTT8] Lrp/AsnC family transcription regulator",-0.356999549,-0.110148392,-0.463836032
"792","HVO_2506 [D4GTS6] (idiA) isopentenyl-diphosphate delta-isomerase, type I",-0.195826617,-0.729026318,-0.791776315
"793","HVO_2505 [D4GTS4] (jamm1) desampylase Jamm1",-0.018824426,0.754013729,0.835902212
"794","HVO_2504 [D4GTS3] probable oxidoreductase (short-chain dehydrogenase family)",-0.242082134,0.476573977,0.191910365
"795","HVO_2503 [D4GTS2] (kynU) kynureninase",0.183373033,-0.334971608,-0.075165424
"796","HVO_2502 [D4GTS0] (hypE2) HypE family protein",-0.157880184,-0.401340284,-0.427126062
"797","HVO_2501 [D4GTR7] alpha/beta hydrolase fold protein",0.566137589,-0.342497991,0.019795337
"798","HVO_2500 [D4GTR6] (cat2) transport protein (probable substrate cationic amino acids)",0.527900474,-0.588522322,-0.601903281
"799","HVO_2499 [D4GTR4] UspA domain protein",-0.414817604,1.155956315,0.962525969
"800","HVO_2498 [D4GTR1] conserved hypothetical protein",-0.10848163,1.629150684,1.184736144
"801","HVO_2496 [D4GTQ6] (adk1) adenylate kinase",-0.331855198,0.863002832,1.128077625
"802","HVO_2495 [D4GTQ2] DUF106 family protein",0.23051882,0.109180013,-0.106033468
"803","HVO_2494 [D4GTQ0] (cmk) cytidylate kinase",0.101658694,0.765589489,0.755032934
"804","HVO_2493 [D4GTP8] (cbf5) tRNA/rRNA pseudouridine synthase Cbf5",0.177660927,0.152818158,0.237417885
"805","HVO_2487 [D4GTB8] (asd) aspartate-semialdehyde dehydrogenase",0.535334166,-0.513310923,-0.674764631
"806","HVO_2486 [D4GTB5] (pccA) propionyl-CoA carboxylase biotin carboxylase component",0.171317597,-2.344585435,-2.65269375
"807","HVO_2485 [D4GTB0] (birA) HTH domain protein / biotin--[acetyl-CoA-carboxylase] ligase",0.093557099,1.380578533,1.256443223
"808","HVO_2483 [D4GTA3] amidohydrolase domain protein",-0.048996378,0.664918192,0.525749753
"809","HVO_2482 [D4GTA1] HD family hydrolase",0.030168227,-1.675845336,-2.04402479
"810","HVO_2481 [D4GT99] HD family hydrolase",-0.215540867,-0.731929439,-0.538764141
"811","HVO_2479 [D4GT93] (cofD) 2-phospho-L-lactate transferase",0.010545027,-0.741739012,-0.711960988
