"Protein.ID","H53_EL_RM_vs_H53_LL_RM","X2174_EL_RM_vs_2174_LL_RM","X2176_EL_RM_vs_2176_LL_RM","H53_EL_RM_vs_2174_EL_RM","X2176_LL_RM_vs_H53_LL_RM","H53_EL_RM_vs_H53_EL_CM","X2176_EL_RM_vs_2176_EL_CM","H53_EL_RM_vs_2176_EL_RM","H53_EL_CM_vs_2176_EL_CM","H53_LL_RM_vs_H53_EL_CM","H26_Exponential_vs_H26_Stationary","H26_Exponential_vs_HVABI_Exponential","H26_Exponential_vs_HVLON3_Exponential","H26_Stationary_vs_HVABI_Stationary","H26_Stationary_vs_HVLON3_Stationary","H26_vs_DksgA","H26_vs_DksgA_KsgA","H26_vs_DksgA_ksgA_E84A"
"HVO_0630 [D4GSM7] (dppC2) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",0.598220586,0.373252718,0.806472006,0.409286745,-0.178100423,0.515851859,0.395494056,-0.029440948,-0.168837721,-0.19550767,-1.37654948080411,1.40716439408804,-0.00198355060139233,2.66831068674465,2.57816638410473,2.625579765,2.832768323,2.198720894
"HVO_0632 [D4GSN6] sensor box histidine kinase",0.488301778,0.586933224,0.472603729,-0.029564325,0.077773213,0.014046106,-0.258215769,0.152655313,-0.094774125,-0.666625523,NA,NA,NA,NA,NA,0.158324226,-1.038580798,-1.041664296
"HVO_0633 [D4GSN7] (cirC) KaiC-type circadian clock protein CirC",0,1.865473347,0,0,0.032352851,0,0,0,6.045004981,-0.972642023,7.46484560692041,0.211815360777101,0.660956468811298,2.2779527284728,1.65267825458915,6.960691926,2.793655584,4.17319121
"HVO_0634 [D4GSN9] (orc2) Orc1-type DNA replication protein",-1.034397998,-1.213635525,-1.077255329,-0.084116236,0.148579972,-0.132720036,-0.106954498,-0.079740851,-0.036125601,0.91207825,NA,NA,NA,NA,NA,-0.039026014,-1.129425243,-1.173071479
"HVO_0635 [D4GSP0] DUF4129 domain protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.13923583795191,0.0138766215398493,-0.704633311734553,2.05596458677187,1.91426710295903,0.482928495,1.344345503,1.571838866
"HVO_0636 [D4GSP1] conserved hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,-0.570072761,0.712197132,0.312391209
"HVO_0637 [D4GSP3] DUF11/DUF58 family protein",0,0,0,0,0.155140655,0,0,0,0,1.090400646,-1.53395195846121,0.727813648276163,0.188976090262193,3.14917357430291,2.4219665032145,0.497784814,-0.392849062,-0.312198331
"HVO_0639 [D4GSP6] (moxR1) AAA-type ATPase (MoxR subfamily)",1.414723685,1.331901012,1.619057353,-0.13823551,-0.05955744,0.03681541,0.07469128,-0.118255431,-0.049801256,-1.336870314,1.20303837939182,1.03289039498159,1.02110411236206,-0.58232757709048,0.257240314085694,-0.444249278,-0.627666383,-0.338426384
"HVO_0639 [D4GSP6] (moxR1) AAA-type ATPase (MoxR subfamily)<|>decoy_HVO_1792 [D4GSB6] Lrp/AsnC family transcription regulator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.772780283255808,-3.13135380839456,0.161384324584478,-2.44207047573305,-0.902778950347842,NA,NA,NA
"HVO_0639 [D4GSP6] (moxR1) AAA-type ATPase (MoxR subfamily)<|>HVO_1257 [D4GX65] (moxR2) AAA-type ATPase (MoxR subfamily)",1.968991349,1.863115243,2.036305261,-0.052295169,0.19352245,0.142839647,0.313651624,-0.337219022,-0.157400583,-1.810508982,0,0,0,3.46132164768318,1.95612870575326,NA,NA,NA
"HVO_0641 [D4GSP8] (bluB) 5,6-dimethylbenzimidazole synthase BluB",-0.61921463,3.4322224,1.353771323,0.521663218,0,0.189297424,0.228327449,0.127300371,0.134546629,0.924560456,NA,NA,NA,NA,NA,0.524494453,-0.305895902,-0.963765014
"HVO_0644 [D4GSQ2] (leuA1) 2-isopropylmalate synthase / (R)-citramalate synthase",0,0,0,0,0.40803457,0,0,0,-0.103037404,-0.349317126,-0.327960139397837,-1.27260310787852,-0.530624425978145,-1.70393753562334,-2.0778220959145,-0.330463876,-0.37316471,-0.092649945
"HVO_0645 [D4GSQ4] DUF192 family protein",0,0.442700946,0,0,0.212744256,0,0,0,-0.313836394,-0.059877292,-2.0250601911585,10.1307974357399,-0.99332613801598,1.20413904059454,1.00269974668839,NA,NA,NA
"HVO_0646 [D4GSQ6] conserved hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.080370424,0.187138642,0.193580267
"HVO_0647 [D4GSQ7] (guaAa1) GMP synthase (glutamine-hydrolyzing) subunit A",-0.987454371,-0.854746184,-0.637141688,0.046246506,0.110574675,-0.191336153,0.19082892,-0.506889073,-0.055672693,0.748591683,-0.278679736080445,1.10167038121771,0.430268302637382,0.257443941134762,0.751277830321704,-1.039258426,0.390987479,0.285808571
"HVO_0648 [D4GSQ8] DUF2070 family protein",0.328803448,0.364444152,0.587782676,0.233839565,-0.07307936,0.274251948,0.229499361,-0.09672715,-0.145725856,-0.191790361,-1.47989743357515,0.511679496776661,-0.282709931874517,2.41988888356719,1.09113379221809,0.50660407,-0.57109547,-1.10137432
"HVO_0649 [D4GSQ9] small CPxCG-related zinc finger protein",0,0,0,0,-0.318598635,0,0,0,0,0.430348321,NA,NA,NA,NA,NA,NA,NA,NA
"HVO_0650 [D4GSR0] DUF3194 family protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,-0.713013737,1.20996355,1.415578963
"HVO_0651 [D4GSR1] (pfdB) prefoldin beta subunit",-0.255369062,0.904272722,1.167524279,-0.677259543,-0.289861441,-0.161287682,0.22780646,-1.071543626,-0.690134221,0.199187458,NA,NA,NA,NA,NA,-0.835025323,1.094701136,1.175935422
"HVO_0652 [D4GSR2] (pcc1) KEOPS complex subunit Pcc1",-0.835919369,-1.291356895,-1.018716527,0.102379049,0.191343097,-0.045792676,-0.103425446,0.015330783,-0.115002331,0.779077155,NA,NA,NA,NA,NA,0.122387977,0.514222672,0.89232299
"HVO_0653 [D4GSR3] (rpoP) DNA-directed RNA polymerase subunit P",-0.089947628,-1.17452947,-0.020241934,0.571256883,-0.363169086,0.24462007,0.216742995,0.080109277,0.051918876,0.430708887,NA,NA,NA,NA,NA,-1.221955543,1.240730223,1.035986055
"HVO_0654 [D4GSR4] (rpl43e) 50S ribosomal protein L43e",-1.169419928,-1.330666861,-1.266283834,0.43551968,-0.219854543,0.333668516,0.256010626,0.311927866,0.246290139,1.505323279,-0.363891115760767,-0.106622378532102,0.602754392293197,-0.54939326808797,0.683541448523113,0.082200774,-0.742767935,-0.912220366
"HVO_0655 [D4GSR5] GalE family epimerase/dehydratase",3.627038009,2.363536194,0,0.087191934,0.04935526,0.936076689,0,3.62456204,-0.112404203,-2.748995719,-0.938796523682101,0.313000840629064,0.0977391961333139,1.89694183172943,1.77252862542301,-0.744084611,0.353974336,0.3315244
"HVO_0656 [D4GSR6] DUF2103 family protein",0.283827354,0.067833695,0.069440737,0.096438179,0.122995796,0.326419921,0.352474491,0.032896662,0.16262275,-0.066569636,1.37403416531034,-1.18239961665092,6.51309789279519,-2.68741882457739,11.5122474642414,-0.077980883,-2.187377057,-1.84160715
"HVO_0657 [D4GSR7] conserved hypothetical protein",3.908995051,0,3.812192451,3.428740646,0,-0.226193684,0.693825736,-0.497986231,0.387869352,0,0,0,0,0,0,NA,NA,NA
"HVO_0658 [D4GSR8] (truD) tRNA pseudouridine(13) synthase TruD",0.057147526,-0.031379888,0.029852663,0.108164446,0.162856189,0.143342938,0.109969491,0.048367225,0.041124485,0.137820475,0.507760723986315,-1.04465527706203,-0.0754480568954356,-2.24914304774855,-1.60986351021754,0.1233502,-0.889795888,-0.744932993
"HVO_0659 [D4GSR9] (pth) peptidyl-tRNA hydrolase",-0.991103921,-0.630573653,-1.124783681,-0.149539007,0.000830173,0.136457717,-0.421521555,0.101046276,-0.425630354,1.121744598,NA,NA,NA,NA,NA,-0.276310133,0.94512991,0.898488461
"HVO_0659 [D4GSR9] (pth) peptidyl-tRNA hydrolase<|>HVO_2664 [D4GV35] probable S-adenosylmethionine-dependent methyltransferase",-0.038758229,-0.792978494,-0.861070691,0.287351117,0.461557863,0.317337099,-0.013457101,0.355836128,0.030055962,0.30866507,NA,NA,NA,NA,NA,NA,NA,NA
"HVO_0660 [D4GSS0] Yip1 domain protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"HVO_0661 [D4GSS1] (dcd) dCTP deaminase",0.454529785,0.088853985,0.19838683,0.273203038,0.265470778,0.262223989,0.115184227,0.091766757,-0.143841487,-0.260503479,1.59040069522833,-0.517510088190627,-0.159037579289753,-0.80165698260408,-0.0851961634672526,-0.057200118,-0.891265375,-0.564198585
"HVO_0662 [D4GSS2] (thiR) transcription regulator ThiR",-0.850120148,0.195736061,5.237749427,-0.904928374,0.094840838,-0.675752689,3.929997798,-0.910378053,-0.182402662,-0.11789366,-0.840270882565689,1.46018621076576,0.892363439465725,1.82713996047716,1.40314262875142,-0.637234955,0.275349361,0.29127995
"HVO_0663 [D4GSS3] probable S-adenosylmethionine-dependent methyltransferase",0,0,0,0,-0.026075897,0,0,0,0,1.225900683,0,0,0,0,0,NA,NA,NA
"HVO_0665 [D4GSS5] (thi4) adenosine diphosphate thiazole synthase, cysteine-dependent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.601887009,-0.621560544,-1.072230586
"HVO_0666 [D4GSS6] (dsa2) dihydrolipoamide S-acyltransferase",2.434633752,2.218598185,2.630309157,0.073128517,0.129646474,0.257572895,0.308524262,-0.157878151,-0.078785965,-2.187894667,0,0,0,0,0,NA,NA,NA
"HVO_0667 [D4GSZ7] homolog to NAD kinase",0,2.5133645,2.766901581,0,-0.093683207,0,0.033540637,0,0.014396802,-2.700644744,NA,NA,NA,NA,NA,NA,NA,NA
"HVO_0668 [D4GSZ8] (oadhB3) 2-oxoacid dehydrogenase E1 component beta subunit",2.827517567,2.579085215,2.743286365,0.252151507,0.035603681,0.44889056,0.317702924,0.064279942,-0.011454074,-2.497540373,4.13184277932281,-0.237030257772305,0.13347954637873,-1.61631541306375,-1.27654448821873,-0.642270074,-1.55426737,-1.792766655
"HVO_0669 [D4GSZ9] (oadhA3) 2-oxoacid dehydrogenase E1 component alpha subunit",3.039415721,2.575644119,3.074861758,0.090667107,0.141816597,0.181614196,0.337673613,-0.15301348,0.029978732,-2.655481545,2.37631466879578,-0.847636141561519,0.398621043638249,-0.598239612213094,-0.731700270399628,-0.948581453,-2.059556808,-1.945584395
"HVO_0670 [D4GT00] YqjG-type gamma-glutamylcysteinyl-hydroquinone reductase",0.239236613,0.404966845,0.186404399,-0.119765591,-0.077268392,-0.179408232,-0.21606863,0.094506257,0.135641487,-0.438659945,1.66673466737483,-0.219819975842624,-0.376838219014823,-1.61364881083359,-0.936112883396841,0.238757921,-0.780819615,-0.863123684
"HVO_0672 [D4GT02] conserved hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.317209109,-0.542359212,-0.281984946
"HVO_0674 [D4GT06] 4-phosphopantoate--beta-alanine ligase",0.090333233,0.120305863,-0.008098499,-0.010101382,0.325220009,0.008146443,0.242975354,-0.226178256,0.076452937,-0.066066157,NA,NA,NA,NA,NA,-0.479043948,0.711812032,0.508398616
"HVO_0675 [D4GT07] pantoate kinase",-0.541270601,-0.762160227,-0.69169479,0.095447339,0.103804576,-0.022458741,-0.127336452,0.092426829,-0.0324124,0.533667597,1.55521198705859,-0.58543856521665,-0.393628398047388,-2.55050179185472,-2.97014391535027,0.10279709,0.071325934,0.092535577
"HVO_0676 [D4GT08] DUF2078 family protein",1.01840534,0.772400491,0,-0.061587784,-0.025189769,0.327747476,0,1.903398691,-0.253187651,-0.717245444,NA,NA,NA,NA,NA,0.328401598,1.521074501,1.072580871
"HVO_0677 [D4GT09] (aspS) aspartate--tRNA(Asp/Asn) ligase",-0.636127643,-0.692847967,-0.720969502,0.086347377,0.084774217,0.06409933,-0.054477504,0.030406322,-0.08819543,0.730737392,-0.0909850198032911,-0.376264754305298,0.352963479115093,-0.369714780496788,0.483535484688638,-0.215207397,-0.515071484,-0.621422035
"HVO_0680 [D4GT16] (pcrB1) (S)-3-O-geranylgeranylglyceryl phosphate synthase 1",-0.934500272,-0.310033264,-0.629042497,-0.523822348,0.199443563,-0.641653393,-0.292697456,-0.528565467,-0.109204918,0.511412858,0,0,0,0,0,-0.194473615,0.613244926,0.715170241
"HVO_0681 [D4GT20] (topA) DNA topoisomerase 1",-0.029362799,-0.155654168,0.006174857,0.097076881,-0.14116837,0.002142337,0.087323209,0.087394042,0.171869283,0.05232539,0.328138931675827,-0.418717188111901,0.162590834664999,-0.993555156852642,-1.20219594177009,0.238942732,-0.055728587,-0.170295676
"HVO_0682 [D4GT18] (mrr) probable Mrr family endonuclease",-0.082219017,0.048071289,0.083681747,-0.050306723,-0.192955307,0.042823674,0.060887835,0.061433259,0.06137702,0.13601752,NA,NA,NA,NA,NA,-0.383497755,-1.437277723,-2.217577232
"HVO_0683 [D4GT21] conserved hypothetical protein",1.429486794,0,2.123715226,6.293684368,-0.31311608,0.636702899,1.071026508,-0.335830145,0.058281292,-0.664193196,NA,NA,NA,NA,NA,NA,NA,NA
"HVO_0684 [D4GT23] (gatB) aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B",-0.263144976,-0.411748915,-0.519526361,0.125564722,0.13038251,0.099103547,-0.111693511,0.130529879,-0.045372987,0.323845258,0.273879590170072,-0.70382032576706,0.0990495727454894,-1.40211767618686,-0.788605656086663,-0.01672726,-0.226860666,-0.273340027
"HVO_0685 [D4GT24] DUF3100 family protein",0.341936355,0.26822255,0.710348043,-0.078755957,-0.262018139,-0.111428352,0.242015454,-0.07915628,0.034621445,-0.398105605,-0.237253780952839,2.26780942927509,0.602896355559206,3.27220707171117,1.03890620202347,NA,NA,NA
"HVO_0687 [D4GT26] M20 family amidohydrolase",0.363883048,0.256214153,0.168436815,-0.085763812,0.306785549,-0.149857035,0.21471783,0.050970965,0.473123863,-0.573620451,0.123395310524158,-0.507365398139058,-0.309736428487671,-0.0903723074483755,-0.147927006337681,-0.036168652,-0.291039837,0.177921292
"HVO_0688 [D4GT28] conserved hypothetical protein",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-0.603999518,0.294887858,-0.492778344
"HVO_0689 [D4GT30] (smc) chromosome segregation protein Smc",-0.032807291,-0.113240683,-0.248224864,0.104950214,0.029341693,0.043228317,-0.117058511,0.14834409,-0.039883106,0.083104785,0.917623419212839,-0.776309432784015,-0.46225091919741,-2.3236149034148,-1.19893360716962,-0.356700444,0.112493104,-0.104596304
"HVO_0690 [D4GT32] (scpA) chromosome segregation and condensation protein ScpA",0,0.573835281,0,0,0.161418138,0,0,0,3.51896665,4.903589406,NA,NA,NA,NA,NA,-0.640275352,-0.483009993,-0.258584511
"HVO_0691 [D4GT34] conserved hypothetical protein",0.450333962,0.447165074,0.983212599,0.319014449,-0.103884543,-0.229868083,0.68776297,-0.233693312,0.715306339,-0.823631693,NA,NA,NA,NA,NA,0.289512632,-0.588732161,-0.809856974
"HVO_0692 [D4GT36] probable 6-oxopurine nucleoside phosphorylase",-0.514213707,-0.661789,-0.440850534,-0.260214618,0.226425819,-0.344527556,-0.19627077,-0.387814209,0.065172668,0.151958456,0.429609389947706,0.194033378213532,-0.263387612866675,-1.05304750178933,-0.654506454420966,-0.588731654,0.192227272,0.31347028
"HVO_0694 [D4GT40] (gptA2) probable phosphoribosyltransferase",-0.156322343,-0.224702908,-0.42888805,0.034185467,0.0537145,-0.090344449,0.140144415,0.09232451,-0.028052195,0.364082617,1.05398306397466,0.107550992733304,-0.147507020021648,-1.07960144900828,-0.683896231823582,-0.583491951,0.262445764,-0.118504402
"HVO_0696 [D4GT42] (phzF1) PhzF family protein",0.484843677,0.148957906,0.474762852,0.031187084,0.237538075,0.012545315,0.139326411,-0.190627519,0.125153372,-0.386414711,NA,NA,NA,NA,NA,0.003285373,-0.958464865,-0.773367559
"HVO_0697 [D4GT44] PAC2 family protein",-0.330511652,0.249682947,0.591395672,-0.614988666,0.54823626,-0.845358639,0.341101297,-1.253480832,0.430726422,-0.532199659,-0.381667038868652,-0.303009906303015,0.107640118087887,0.368588788330645,0.255328184235131,-0.152178893,0.374128784,0.278596978
"HVO_0699 [D4GT46] (tif2a) translation initiation factor aIF-2 alpha subunit",-0.47045339,-0.605924937,-0.463313301,0.124049696,0.047888739,-0.131401519,-0.165958718,-0.015385136,-0.071397504,0.244891707,0.833931714432009,-0.0240001904191273,-0.16410983188025,-1.01924626712002,-0.765815735210786,-0.046043973,1.672882982,1.598172841
"HVO_0700 [D4GT48] (rps27e) 30S ribosomal protein S27e",-1.2752228,-0.875116771,-0.768729058,-0.041303411,-0.361521272,-0.261291154,-0.382036246,-0.139229621,-0.265135774,0.971394426,NA,NA,NA,NA,NA,-0.090080302,0.654489698,0.56766261
"HVO_0701 [D4GT50] (rpl42e) 50S ribosomal protein L42e",-1.065812913,-1.589555337,-1.084032428,0.413277951,-0.233547413,0.069849533,0.026675445,0.148647106,0.064475772,1.133979785,0,0,0,0,0,-0.141345544,-0.541475567,-1.077926981
"HVO_0702 [D4GT53] DUF2298 family protein",0.038187181,0.062394025,0.314425385,-0.125305709,-0.259148592,-0.076899743,0.36891028,-0.133412073,0.359021706,-0.067833111,-1.05515528606141,2.08562591887708,0.0370823546706655,2.81418265340078,1.59996808680687,0.667167589,-0.812558558,-0.855336274
"HVO_0703 [D4GT52] conserved hypothetical protein",-0.592557623,-0.539995208,0.279000583,0.10782823,-0.203386817,-0.30054774,0.007951604,-0.683749379,-0.066260147,0.157730925,-0.814397877865362,-0.301550188494735,-0.849716678091485,-0.480772816261784,-0.144923524198607,-0.373897128,0.865960772,0.480251826
"HVO_0704 [D4GT55] probable glycosyltransferase, type 2",-0.429556872,-0.448324398,-0.287830403,0.180338165,-0.158988621,0.232389888,0.467573672,0.052315377,0.22280857,0.668787446,-0.830038964733787,0.782426524621098,0.62548911940237,1.67170870637382,1.88316546808362,0.140939396,-1.339198723,-0.938300487
"HVO_0705 [D4GT56] GtrA family protein",0.188190738,-0.000436369,0.169524391,0.074869179,-0.162861271,0.234289451,0.017506567,0.233538716,-0.004645059,0.046372142,0,0,0,0,0,NA,NA,NA
"HVO_0707 [D4GT58] probable iron-sulfur protein (2Fe-2S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.49968919,0.446284216,0.297597204
"HVO_0708 [D4GT60] (pabC) aminodeoxychorismate lyase",-0.505750789,-0.52863039,-0.710262305,-0.150296338,0.103711664,-0.500530495,-0.45200911,0.096712675,0.126916032,0.121500777,-3.76753214512396,-0.956961092045885,-1.27729126878903,0,0,-0.384793268,-0.284401284,-0.258794158
"HVO_0709 [D4GT61] (pabA) aminodeoxychorismate synthase component 2",-0.200948956,-0.183627863,-0.145214919,0.046596514,0.182228512,-0.045213227,0.460104381,-0.194338558,0.48750732,0.166638202,NA,NA,NA,NA,NA,-0.512535731,0.124109413,0.006715849
"HVO_0710 [D4GT63] (pabB) aminodeoxychorismate synthase component 1",-0.383839221,-0.360047057,-0.318668516,-0.186395253,0.016366358,-0.209631205,-0.139180577,-0.201107611,-0.010536184,0.139475636,6.78721843246757,7.20305365523951,0.168146586465471,0,0,-0.199917148,-0.740483645,-0.501661436
"HVO_0711 [D4GT64] conserved hypothetical protein",0.945350011,2.242081275,2.286448724,-0.538698373,-0.448766919,-0.005901097,0.455595754,-0.565650801,-0.195792086,-0.979697119,-0.0373890724619705,0.654577998663286,0.399978191256837,0.725873559675275,1.23584300331844,-0.071159762,0.526975848,0.601777182
"HVO_0712 [D4GT66] (aroE) shikimate dehydrogenase (nonfunctional)",0.370381265,0.453481787,0.308120036,-0.196319809,0.059963254,-0.05735146,-0.1929968,0.034501752,0.036569626,-0.498547755,4.85446574460453,3.23639400098635,3.85506505744949,-2.96143550697144,-2.90212964284716,0.248058431,-0.762302802,-0.764900445
"HVO_0714 [D4GT70] homolog to sodium/calcium antiporter",-1.751740209,0.385222112,-1.135949457,-0.739801893,-0.655455426,-1.029823338,-1.76721719,-0.020647259,-0.753965023,0.744862745,0,0,0,0,0,NA,NA,NA
"HVO_0715 [D4GT72] sodium/calcium antiporter",-0.151126688,-0.243890639,0.32711353,0.185227805,-0.045436418,0.326167233,0.583916387,-0.45883712,-0.205557878,0.492116829,-2.95274379543095,0.684941635130954,-1.47279251438196,2.93826490667989,1.69840296271076,NA,NA,NA
"HVO_0716 [D4GT74] (dtdA) D-aminoacyl-tRNA deacylase",-0.606538084,-0.50577931,-0.375181757,0.048391228,-0.233122346,-0.011359483,0.375936036,0.127009891,0.268762538,0.60631612,-0.231320967126569,-4.99339816502154,-1.534562679212,1.17495262440973,-2.23868703683794,0.218715872,-0.726529347,-0.657101546
"HVO_0717 [Q48327] (ftsZ1) cell division protein FtsZ, type I",-0.544547296,-0.538597829,-0.603464702,-0.008154853,0.009853409,-0.063052313,-0.156155538,0.082671039,-0.03278908,0.499146108,0.228200289203751,-0.466079835159106,0.0616416873834109,-0.953113533467738,-0.126032057084401,-0.337743556,0.251712079,0.113252036
"HVO_0718 [D4GT81] (secE) protein translocase subunit SecE",-0.198250119,-0.402415684,-0.174048146,-0.065072801,0.191002278,0.179739355,0.657088515,-0.249515219,0.197580532,0.412981106,-1.58208515978388,1.15392992814726,0.283226651638644,2.67622058564501,1.53089400466209,-0.066182462,-0.264825126,-0.162208053
"HVO_0719 [D4GT82] (spt5) transcription elongation factor Spt5",-0.061706649,0.015504183,0.261016632,0.007933065,0.073561967,0.001379953,0.334265961,-0.349057523,0.045900712,0.070366408,1.07828788713048,1.43411666619972,0.379905443146248,0.573232415477795,0.877261399924201,-0.381731344,0.366529049,0.358647535
"HVO_0720 [D4GT84] small CPxCG-related zinc finger protein",-1.161036367,-0.135129675,0.325439416,-0.760892627,-0.592569744,-0.926764212,0.24214723,-0.901501453,0.291067951,0.205876147,NA,NA,NA,NA,NA,-0.170939011,0.162579728,0.164481778
"HVO_0721 [D4GT85] PHP domain protein",0.209560437,-0.062236015,0.186131524,0.288309233,-0.086813032,0.185352184,-0.294580524,0.204598931,-0.200572169,-0.116972207,-1.27195067622834,1.34024277699182,-0.344361374141204,2.21279294625139,1.4228016497296,0.33974369,-1.279228631,-1.234396817
"HVO_0722 [D4GT87] DUF457 family protein",-1.370376885,-0.977428315,-0.798578016,-0.520931327,-0.34923107,-0.750759631,-0.551346348,-0.329844418,-0.217774463,0.675015869,-1.75789051329968,1.56025631453401,0.260810855858575,3.26189872025445,2.38775835410488,0.575206356,-0.308452067,-0.633472594
"HVO_0723 [D4GT88] nicotinamide mononucleotide deamidase",1.137766053,0.851144724,0.772289019,0.156713632,0.036010638,0.142548052,-0.19429414,0.275288873,-0.075147348,-0.972366436,NA,NA,NA,NA,NA,-0.183778274,2.126404223,-0.679760516
"HVO_0724 [D4GT90] (arsA1) ArsA family ATPase",0.326318721,0.522392355,0.594375395,-0.083941662,-0.001888009,0.055907719,0.140659856,-0.20336098,-0.141041965,-0.293367711,-0.215274756534576,0.939765063466024,0.687630222480858,1.62306583203478,1.2326459493827,-0.724862158,1.050556013,0.642714405
"HVO_0725 [D4GT91] probable oxidoreductase (short-chain dehydrogenase family)",0.184924587,-0.005092591,0.15905262,0.258059543,-0.038460109,0.433778846,0.366187598,0.091446604,0.009797009,0.233656103,-1.54205003271449,0.943360519537811,-0.158131699925586,2.43805991452037,1.63974412698988,0.475948052,-1.101265865,-0.801442361
"HVO_0726 [D4GT92] (endV) endonuclease 5",0.283855439,0.125041246,0.233134118,-0.216978036,0.28776095,-0.217742413,0.249905633,-0.007402753,0.238510903,-0.73524949,NA,NA,NA,NA,NA,0.200913083,-1.04807324,-0.716712967
"HVO_0727 [D4GT94] rhomboid family protease",-0.012742578,0.166296072,0.254148377,-0.056987736,-0.223323479,-0.038728604,0.308989493,-0.001385209,0.265115296,0.016325805,-3.64938298673854,0.0342076361988545,-2.43685863698957,3.34292168703859,2.4006235257698,0.71763364,-0.208863003,0.016158225
"HVO_0728 [D4GT95] conserved hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.167671551,1.978201921,5.732697015
"HVO_0729 [D4GT97] (ipp) inorganic pyrophosphatase",-0.698472451,0.408104503,-0.095339753,-0.982782778,0.394624734,-0.979464733,-0.187480148,-0.961485506,-0.137385315,-0.272084722,-0.0003068980278201,0.985348601599825,-0.0899052051307474,0.9151109087696,1.15933881422064,-0.794443776,0.929389874,0.831807513
"HVO_0730 [D4GT98] (rosR) PadR family transcription regulator RosR",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.851383547,1.725228827,0.511171571
"HVO_0731 [D4GTA0] conserved hypothetical protein",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-0.967204839,0.845151472,0.406237433
"HVO_0732 [D4GTA2] (rnhA2) ribonuclease H, type 1",-0.505065223,-0.316893211,-0.375061625,-0.062839858,-0.214502255,-0.231859451,-0.171644668,0.08926702,0.092323502,0.139172,0.274202725977413,-2.65645142459658,-0.566095658516592,-2.58020478142185,-2.49665068113636,-0.260298516,-0.436853351,-0.800285066
"HVO_0733 [D4GTA4] (tfb4) transcription initiation factor TFB",0.494805649,0.177917643,0.795376652,0.26063664,-0.309006263,0.50401773,0.662779986,-0.034211117,0.13829239,-0.017808542,-1.12125209352981,-0.960834886410146,-1.0067136891919,-0.711396471569571,-0.732598328901717,0.083978775,-1.361492271,-0.91850033
"HVO_0733 [D4GTA4] (tfb4) transcription initiation factor TFB<|>HVO_1478 [D4GYB5] (tfb5) transcription initiation factor TFB",-0.256252529,-0.622141848,-0.073543697,0.237928223,-0.212214866,0.277825222,0.098211734,0.02574939,-0.155464307,0.521355584,0.627144584045979,-0.297060610502764,-0.539132943985125,-1.10745410424754,-1.20666608001201,0.344681482,-0.386720209,-0.407846554
"HVO_0734 [D4GTA5] (nreA) DNA repair protein NreA",0.668926227,1.171481638,0.854470883,-0.0074275,-0.270433698,0.309238545,0.032106479,0.118371351,-0.076376064,-0.343774837,-0.357580157964776,1.9785190237297,8.66822146148963,1.3892827022144,1.56818205360354,0.633332456,-0.11925116,0.062772834
"HVO_0735 [D4GTA7] conserved hypothetical protein",0,0,0,0,-0.223471171,0,0,0,0,4.465128416,2.44629796034165,-0.439789556522446,-0.0344387963754961,-1.89519246300198,-1.73908783435503,NA,NA,NA
"HVO_0736 [D4GTA8] DUF302 family protein",0,0,0,0,0.336809232,0,0,0,0,2.414023755,NA,NA,NA,NA,NA,-0.674345308,1.746830807,1.885451271
"HVO_0738 [D4GTB1] conserved hypothetical protein",0,0,0,0,0,0,0,0,0,0,0.323115059942352,0.948500122979685,-0.550549287063453,0.914971542324963,0.565367203879094,-0.718142649,0.487128029,0.146415076
"HVO_0739 [D4GTB2] conserved hypothetical protein",-0.566450268,-0.622695357,-0.639296669,0.516117959,0.083825661,0.289387728,0.101566728,-0.004505041,-0.20102882,0.876424916,0.193418079854981,1.53102665509168,0.831971944182063,0.839848203338609,1.52339829044286,0.586531382,-0.854129385,-1.623959074
"HVO_0740 [D4GTB3] DUF82 family protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.428007585,1.129320574,0.73900619
